level,season,position_group,feature,count,mean,median,std,p05,p25,p50,p75,p95,max,fraction_zero,missing_count
player,2021,dl_edge,solo_tackles,2795,4.676923076923077,1.0,7.063607290649428,0.0,0.0,1.0,6.0,21.0,44.0,0.3810375670840787,0
player,2021,dl_edge,tackles_for_loss,2795,1.6157781753130591,0.0,2.908841262299362,0.0,0.0,0.0,2.0,8.0,20.5,0.5452593917710197,0
player,2021,dl_edge,sacks,2795,0.7899821109123435,0.0,1.6851683320583402,0.0,0.0,0.0,1.0,4.5,14.0,0.6837209302325581,0
player,2021,dl_edge,qb_hurries,2795,0.7924865831842576,0.0,1.783610759401932,0.0,0.0,0.0,1.0,4.0,19.0,0.7019677996422182,0
player,2021,dl_edge,passes_defended,2795,0.237567084078712,0.0,0.6618279711441744,0.0,0.0,0.0,0.0,2.0,6.0,0.8465116279069768,0
player,2021,dl_edge,interceptions,2795,0.014311270125223614,0.0,0.12174572345215119,0.0,0.0,0.0,0.0,0.0,2.0,0.986046511627907,0
player,2021,dl_edge,fumble_recoveries,2795,0.1556350626118068,0.0,0.4856799993944142,0.0,0.0,0.0,0.0,1.0,5.0,0.8872987477638641,0
player,2021,lb,defensive_box_score_game_rate,2442,0.3195543718270991,0.14285714285714285,0.3542806439713656,0.0,0.0,0.14285714285714285,0.5833333333333334,1.0,1.0,0.27805077805077805,0
player,2021,lb,defensive_impact,2442,-2.5036279355989593e-17,-0.39885201976482354,0.8683535834720518,-0.6918468119970305,-0.6918468119970305,-0.39885201976482354,0.37502925378135243,1.9059107571838474,3.469928539491761,0.0,0
player,2021,lb,tackles,2442,16.373873873873872,4.0,26.720070806949597,0.0,0.0,4.0,18.75,81.0,142.0,0.28869778869778867,0
player,2021,lb,solo_tackles,2442,8.623259623259623,2.0,14.16692053807405,0.0,0.0,2.0,10.0,42.94999999999982,85.0,0.35298935298935297,0
player,2021,lb,tackles_for_loss,2442,1.518018018018018,0.0,2.9982049780801248,0.0,0.0,0.0,1.5,8.0,32.0,0.5999180999181,0
player,2021,lb,sacks,2442,0.5331695331695332,0.0,1.4191727510140655,0.0,0.0,0.0,0.0,3.0,17.5,0.7583947583947583,0
player,2021,lb,qb_hurries,2442,0.6060606060606061,0.0,1.459111043785204,0.0,0.0,0.0,0.0,4.0,15.0,0.7555282555282555,0
player,2021,lb,passes_defended,2442,0.368959868959869,0.0,0.9239215902118567,0.0,0.0,0.0,0.0,2.0,8.0,0.8005733005733006,0
player,2021,lb,interceptions,2442,0.12039312039312039,0.0,0.41991985829345874,0.0,0.0,0.0,0.0,1.0,4.0,0.9062244062244063,0
player,2021,lb,fumble_recoveries,2442,0.21703521703521703,0.0,0.5985825924397414,0.0,0.0,0.0,0.0,2.0,5.0,0.8533988533988534,0
player,2021,db,defensive_box_score_game_rate,3454,0.3211378886827642,0.15384615384615385,0.3422114341641763,0.0,0.016666666666666666,0.15384615384615385,0.6,1.0,1.0,0.2501447596988998,0
player,2021,db,defensive_impact,3454,2.077060154990325e-17,-0.3483689858581369,0.8662800843743522,-0.765640781258749,-0.765640781258749,-0.3483689858581369,0.4757403495975165,1.872683887754592,3.0638577172321035,0.0,0
player,2021,db,tackles,3454,13.50810654313839,4.0,20.17567082909065,0.0,0.0,4.0,19.0,58.0,116.0,0.2617255356108859,0
player,2021,db,solo_tackles,3454,8.743775332947308,2.0,13.165225917971885,0.0,0.0,2.0,12.0,38.0,78.0,0.314997104806022,0
player,2021,db,tackles_for_loss,3454,0.5700636942675159,0.0,1.3043116537005028,0.0,0.0,0.0,0.5,3.0,18.5,0.7211928199189346,0
player,2021,db,sacks,3454,0.09105385060799073,0.0,0.36971074468783527,0.0,0.0,0.0,0.0,1.0,5.5,0.9226983207874928,0
player,2021,db,qb_hurries,3454,0.11667631731325999,0.0,0.46285894508645076,0.0,0.0,0.0,0.0,1.0,8.0,0.9148812970469021,0
player,2021,db,passes_defended,3454,1.119281991893457,0.0,2.1785430326325477,0.0,0.0,0.0,1.0,6.0,18.0,0.6496815286624203,0
player,2021,db,interceptions,3454,0.3132599884192241,0.0,0.7724731285777867,0.0,0.0,0.0,0.0,2.0,6.0,0.8123914302258252,0
player,2021,db,fumble_recoveries,3454,0.16705269253039953,0.0,0.5706107102322209,0.0,0.0,0.0,0.0,1.0,12.0,0.8867979154603358,0
team_season,2021,all,transfer_in_prior_defensive_experience_sum,54,0.5485342846453958,0.13333333333333333,0.7020034755364768,0.0,0.0,0.13333333333333333,0.9068181818181817,2.0063636363636363,2.4603174603174605,0.48148148148148145,76
team_season,2021,all,transfer_in_prior_defensive_impact_sum,54,0.30059345262645476,0.0,1.1220445262047427,-1.0110071384845192,-0.1123329277528105,0.0,0.5351583775837815,2.9316414881177137,3.9201103540540823,0.35185185185185186,76
player,2022,dl_edge,defensive_box_score_game_rate,4437,0.20773797734582047,0.07692307692307693,0.30599900662767754,0.0,0.0,0.07692307692307693,0.3076923076923077,0.9166666666666666,1.0,0.4847870182555781,0
player,2022,dl_edge,defensive_impact,4437,2.3504975293154303e-17,-0.5639396071171376,0.9149025358624601,-0.5639396071171376,-0.5639396071171376,-0.5639396071171376,0.1941415704849329,2.168329831961146,3.8939442812352922,0.0,0
player,2022,dl_edge,tackles,4437,6.0727969348659006,0.0,11.299510906163688,0.0,0.0,0.0,6.0,33.0,101.0,0.5127338291638495,0
player,2022,dl_edge,solo_tackles,4437,2.8519269776876266,0.0,5.682884877671659,0.0,0.0,0.0,3.0,16.0,51.0,0.5936443542934415,0
player,2022,dl_edge,tackles_for_loss,4437,1.001464953797611,0.0,2.346660504527007,0.0,0.0,0.0,1.0,6.0,22.5,0.7002479152580573,0
player,2022,dl_edge,sacks,4437,0.48704079332882577,0.0,1.3228973642992032,0.0,0.0,0.0,0.0,3.0,13.5,0.7913004282172639,0
player,2022,dl_edge,qb_hurries,4437,0.49605589362181657,0.0,1.3654995080553938,0.0,0.0,0.0,0.0,3.0,14.0,0.8012170385395537,0
player,2022,dl_edge,passes_defended,4437,0.15731350011268874,0.0,0.5475363670387223,0.0,0.0,0.0,0.0,1.0,6.0,0.8976786116745549,0
player,2022,dl_edge,interceptions,4437,0.020734730673878748,0.0,0.14868699229037693,0.0,0.0,0.0,0.0,0.0,2.0,0.9801667793554203,0
player,2022,dl_edge,fumble_recoveries,4437,0.17511832319134552,0.0,0.5615051617092864,0.0,0.0,0.0,0.0,2.0,6.0,0.889790398918188,0
player,2022,lb,defensive_box_score_game_rate,3745,0.20197420144015604,0.07692307692307693,0.3034358428302275,0.0,0.0,0.07692307692307693,0.25,0.9230769230769231,1.0,0.4761014686248331,0
player,2022,lb,defensive_impact,3745,-1.6949800115605694e-17,-0.5066500602018533,0.8868726789171343,-0.5066500602018533,-0.5066500602018533,-0.5066500602018533,0.029148641104505518,2.2063036144817896,4.302219394622895,0.0,0
player,2022,lb,tackles,3745,10.138050734312417,0.0,21.896672191823985,0.0,0.0,0.0,7.0,65.0,179.0,0.509479305740988,0
player,2022,lb,solo_tackles,3745,5.17196261682243,0.0,11.309120060759335,0.0,0.0,0.0,4.0,33.0,90.0,0.5690253671562083,0
player,2022,lb,tackles_for_loss,3745,0.891588785046729,0.0,2.270521901546337,0.0,0.0,0.0,0.5,6.0,20.5,0.7436582109479306,0
player,2022,lb,sacks,3745,0.330173564753004,0.0,1.0601395967205558,0.0,0.0,0.0,0.0,2.0,11.0,0.8488651535380507,0
player,2022,lb,qb_hurries,3745,0.369826435246996,0.0,1.1793495058398404,0.0,0.0,0.0,0.0,3.0,23.0,0.8456608811748999,0
player,2022,lb,passes_defended,3745,0.26114819759679575,0.0,0.8504451143902287,0.0,0.0,0.0,0.0,2.0,12.0,0.8688918558077436,0
player,2022,lb,interceptions,3745,0.13271028037383178,0.0,0.4357345717258589,0.0,0.0,0.0,0.0,1.0,5.0,0.8966622162883845,0
player,2022,lb,fumble_recoveries,3745,0.19759679572763686,0.0,0.6507217665020991,0.0,0.0,0.0,0.0,2.0,9.0,0.8870493991989319,0
player,2022,db,defensive_box_score_game_rate,5383,0.2155874426727111,0.08333333333333333,0.30023231458815125,0.0,0.0,0.08333333333333333,0.3076923076923077,0.9166666666666666,1.0,0.4335872190228497,0
player,2022,db,defensive_impact,5383,-1.4974437257702823e-17,-0.4347848155786524,0.841197538871416,-0.6014265660772212,-0.6014265660772212,-0.4347848155786524,0.3357369524021651,1.9563537351812241,3.4998768023381324,0.0,0
player,2022,db,tackles,5383,8.49173323425599,1.0,16.71628038013101,0.0,0.0,1.0,7.0,48.0,108.0,0.4939624744566227,0
player,2022,db,solo_tackles,5383,5.385287014675831,0.0,10.637464896942864,0.0,0.0,0.0,4.0,31.0,72.0,0.5365038082853427,0
player,2022,db,tackles_for_loss,5383,0.35565669700910274,0.0,1.0189861437756529,0.0,0.0,0.0,0.0,2.5,12.5,0.8138584432472599,0
player,2022,db,sacks,5383,0.0678989411109047,0.0,0.3350903114335572,0.0,0.0,0.0,0.0,0.5,6.0,0.9444547650009288,0
player,2022,db,qb_hurries,5383,0.08508266765744009,0.0,0.4068501630984606,0.0,0.0,0.0,0.0,1.0,8.0,0.939624744566227,0
player,2022,db,passes_defended,5383,0.7525543377298904,0.0,1.909352130394142,0.0,0.0,0.0,0.0,5.0,17.0,0.7685305591677504,0
player,2022,db,interceptions,5383,0.3687534831878135,0.0,0.8400861946205342,0.0,0.0,0.0,0.0,2.0,7.0,0.7796767601709084,0
player,2022,db,fumble_recoveries,5383,0.1707226453650381,0.0,0.56888578828225,0.0,0.0,0.0,0.0,2.0,5.0,0.8985695708712613,0
team_season,2022,all,transfer_in_prior_defensive_experience_sum,53,0.8565066484877806,0.6666666666666666,0.9954871395773045,0.0,0.0,0.6666666666666666,1.2714285714285714,2.9608424908424893,4.691391941391942,0.2830188679245283,78
team_season,2022,all,transfer_in_prior_defensive_impact_sum,53,0.3946620812011838,0.0,1.6416421240464747,-1.5252477412272365,-0.6918468119970305,0.0,1.463044807466889,3.1653360269253463,6.057005051475925,0.11320754716981132,78
player,2023,dl_edge,defensive_box_score_game_rate,3087,0.3103448489745866,0.14285714285714285,0.33795795850213217,0.0,0.0,0.14285714285714285,0.6153846153846154,0.9230769230769231,1.0,0.2675736961451247,0
player,2023,dl_edge,defensive_impact,3087,2.9007588542249038e-18,-0.4505004721171051,0.9097730636274485,-0.7558645053872324,-0.7558645053872324,-0.4505004721171051,0.5373985521321757,1.913592612998064,3.1358095161116957,0.0,0
player,2023,dl_edge,tackles,3087,9.054097829608034,2.0,12.935688093551972,0.0,0.0,2.0,14.0,38.0,74.0,0.3048266925817946,0
player,2023,dl_edge,solo_tackles,3087,4.182053773890509,1.0,6.40784478769212,0.0,0.0,1.0,6.0,18.0,40.0,0.41690962099125367,0
player,2023,dl_edge,tackles_for_loss,3087,1.4899578879170716,0.0,2.7124166314704485,0.0,0.0,0.0,2.0,7.5,21.5,0.5552316164561063,0
player,2023,dl_edge,sacks,3087,0.7115322319403952,0.0,1.550976938282722,0.0,0.0,0.0,1.0,4.0,15.5,0.6893424036281179,0
player,2023,dl_edge,qb_hurries,3087,0.8198898607061872,0.0,1.7929656635316198,0.0,0.0,0.0,1.0,4.0,16.0,0.6967930029154519,0
player,2023,dl_edge,passes_defended,3087,0.2387431162941367,0.0,0.7079186342887962,0.0,0.0,0.0,0.0,2.0,9.0,0.8513119533527697,0
player,2023,dl_edge,interceptions,3087,0.02850664075153871,0.0,0.17026382053272104,0.0,0.0,0.0,0.0,0.0,2.0,0.9721412374473599,0
player,2023,dl_edge,fumble_recoveries,3087,0.16229348882410108,0.0,0.43557801002574364,0.0,0.0,0.0,0.0,1.0,4.0,0.8607061872367995,0
player,2023,lb,defensive_box_score_game_rate,2595,0.29434205058482515,0.13333333333333333,0.34047356846090315,0.0,0.0,0.13333333333333333,0.5384615384615384,1.0,1.0,0.28709055876685935,0
player,2023,lb,defensive_impact,2595,-1.257557534877676e-17,-0.3944839214917572,0.8773825682175506,-0.6472824254356951,-0.6472824254356951,-0.3944839214917572,0.3061214168558065,1.9818330727641587,3.4243395473652916,0.0,0
player,2023,lb,tackles,2595,14.464354527938342,3.0,25.017970056330213,0.0,0.0,3.0,15.0,74.29999999999973,171.0,0.33371868978805397,0
player,2023,lb,solo_tackles,2595,7.407321772639691,1.0,12.976909401144722,0.0,0.0,1.0,8.0,38.0,83.0,0.4077071290944123,0
player,2023,lb,tackles_for_loss,2595,1.2878612716763005,0.0,2.677888308337334,0.0,0.0,0.0,1.0,7.0,20.0,0.6339113680154143,0
player,2023,lb,sacks,2595,0.4578034682080925,0.0,1.2302590669366673,0.0,0.0,0.0,0.0,3.0,15.5,0.7791907514450868,0
player,2023,lb,qb_hurries,2595,0.5603082851637765,0.0,1.3871571340674311,0.0,0.0,0.0,0.0,4.0,13.0,0.771868978805395,0
player,2023,lb,passes_defended,2595,0.320616570327553,0.0,0.8613398653139124,0.0,0.0,0.0,0.0,2.0,7.0,0.8269749518304431,0
