portal_index,season,player_name,normalized_player_name,origin,destination,destination_team_id,destination_team_name,destination_match_status,position,portal_position_group,position_semantics,transfer_date,cutoff_status,in_model_relevant_population,defensive_candidate,identity_join_method,identity_status,experience_status,impact_status,prior_position,prior_position_group,prior_player_id,prior_team_games,prior_defensive_games,prior_defensive_experience,prior_defensive_impact,prior_stats
6359,2023,Brian George,brian george,Texas A&M,Houston,248,Houston,exact_normalized_name,CB,db,defensive,2022-12-02,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DB,db,4692671,12,4,0.3333333333333333,-0.14458615964933075,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 1.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 4.0, ""tackles"": 7.0, ""tackles_for_loss"": 0.0}"
6360,2023,Tymir Brown,tymir brown,North Carolina,East Carolina,151,East Carolina,exact_normalized_name,CB,db,defensive,2022-12-05,on_or_before_cutoff,True,True,normalized_name_source_team,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,DB,db,4431510,1,0,0.0,0.0,{}
6361,2023,Nyles Gaddy,nyles gaddy,Jackson State,Missouri,142,Missouri,exact_normalized_name,EDGE,dl_edge,defensive,2022-12-20,on_or_before_cutoff,True,True,normalized_name_source_team,position_mismatch,position_mismatch,position_mismatch,LB,lb,4711030,,,,,{}
6362,2023,Denzel Daxon,denzel daxon,Ohio,Illinois,356,Illinois,exact_normalized_name,DL,dl_edge,defensive,2023-01-19,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DL,dl_edge,4577735,14,3,0.21428571428571427,-0.7096048352396871,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 2.0, ""tackles"": 3.0, ""tackles_for_loss"": 0.0}"
6363,2023,Chris Thomas,chris thomas,Florida,Marshall,276,Marshall,exact_normalized_name,DL,dl_edge,defensive,2022-12-09,on_or_before_cutoff,True,True,normalized_name_source_team,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,DL,dl_edge,4589439,1,0,0.0,0.0,{}
6364,2023,Lyndell Hudson,lyndell hudson,Florida International,Florida,57,Florida,exact_normalized_name,OT,,non_defensive,2023-05-13,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6365,2023,Gilbert Frierson,gilbert frierson,Miami,Louisville,97,Louisville,exact_normalized_name,S,db,defensive,2022-11-16,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DB,db,4362498,12,2,0.16666666666666666,-0.17534509390002107,"{""fumble_recoveries"": 0.0, ""interceptions"": 1.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 2.0, ""tackles"": 3.0, ""tackles_for_loss"": 0.0}"
6366,2023,A.J. Hampton,aj hampton,Northwestern,Tulane,2655,Tulane,exact_normalized_name,CB,db,defensive,2022-12-05,on_or_before_cutoff,True,True,none,identity_resolution_failure,identity_resolution_failure,identity_resolution_failure,,,,,,,,{}
6367,2023,Trevell Johnson,trevell johnson,Texas,UL Monroe,2433,UL Monroe,exact_normalized_name,LB,lb,defensive,2023-04-15,on_or_before_cutoff,True,True,normalized_name_source_team,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,LB,lb,4702827,1,0,0.0,0.0,{}
6368,2023,Vincent Lumia,vincent lumia,Duquesne,Louisville,97,Louisville,exact_normalized_name,OT,,non_defensive,2023-04-01,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6369,2023,Joey Gatewood,joey gatewood,UCF,Louisville,97,Louisville,exact_normalized_name,WR,,non_defensive,2022-12-14,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6370,2023,Akelo Stone,akelo stone,Georgia Tech,Ole Miss,145,Ole Miss,exact_normalized_name,DL,dl_edge,defensive,2023-04-28,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DL,dl_edge,4432575,12,10,0.8333333333333334,0.626095897362746,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 1.0, ""qb_hurries"": 1.0, ""sacks"": 1.0, ""solo_tackles"": 4.0, ""tackles"": 12.0, ""tackles_for_loss"": 4.0}"
6371,2023,Jake Eichorn,jake eichorn,Weber State,BYU,252,BYU,exact_normalized_name,IOL,,non_defensive,2023-04-11,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6372,2023,Tyrin Bradley,tyrin bradley,Abilene Christian,West Virginia,277,West Virginia,exact_normalized_name,EDGE,dl_edge,defensive,2023-04-17,on_or_before_cutoff,True,True,none,identity_resolution_failure,identity_resolution_failure,identity_resolution_failure,,,,,,,,{}
6373,2023,Devin Richardson,devin richardson,Texas,Washington State,265,Washington State,exact_normalized_name,LB,lb,defensive,2022-12-02,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,LB,lb,4361480,13,6,0.46153846153846156,-0.11980577867480491,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 6.0, ""tackles"": 11.0, ""tackles_for_loss"": 1.5}"
6374,2023,Isaiah Paul,isaiah paul,Washington State,UCF,2116,UCF,exact_normalized_name,LB,lb,defensive,2023-04-15,on_or_before_cutoff,True,True,none,identity_resolution_failure,identity_resolution_failure,identity_resolution_failure,,,,,,,,{}
6375,2023,Trevor Radosevich,trevor radosevich,Pennsylvania,Cincinnati,2132,Cincinnati,exact_normalized_name,IOL,,non_defensive,2022-11-21,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6376,2023,Tyler Manoa,tyler manoa,UCLA,Arizona,12,Arizona,exact_normalized_name,DL,dl_edge,defensive,2022-10-10,on_or_before_cutoff,True,True,normalized_name_source_team,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,DL,dl_edge,4367195,1,0,0.0,0.0,{}
6377,2023,Corey Gammage,corey gammage,Marshall,UCF,2116,UCF,exact_normalized_name,WR,,non_defensive,2023-01-18,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6378,2023,Joshua Rudolph,joshua rudolph,Austin Peay,Indiana,84,Indiana,exact_normalized_name,LB,lb,defensive,2022-12-26,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,LB,lb,4879286,11,2,0.18181818181818182,-0.17554920212062664,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 10.0, ""tackles"": 12.0, ""tackles_for_loss"": 1.0}"
6379,2023,Kentrel Bullock,kentrel bullock,Ole Miss,South Alabama,6,South Alabama,exact_normalized_name,RB,,non_defensive,2022-12-05,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6380,2023,Lanell Carr,lanell carr,West Virginia,Indiana,84,Indiana,exact_normalized_name,LB,lb,defensive,2023-01-05,on_or_before_cutoff,True,True,none,identity_resolution_failure,identity_resolution_failure,identity_resolution_failure,,,,,,,,{}
6381,2023,Jackson Long,jackson long,South Florida,Georgia Tech,59,Georgia Tech,exact_normalized_name,TE,,non_defensive,2022-12-05,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6382,2023,Connor Soelle,connor soelle,Arizona State,Oregon,2483,Oregon,exact_normalized_name,LB,lb,defensive,2023-01-04,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,LB,lb,4428543,12,11,0.9166666666666666,0.25354057908810956,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 1.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 13.0, ""tackles"": 29.0, ""tackles_for_loss"": 0.5}"
6383,2023,Bradley Archer,bradley archer,Stanford,Indiana,84,Indiana,exact_normalized_name,TE,,non_defensive,2023-04-13,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6384,2023,Noah Potter,noah potter,Cincinnati,NC State,152,NC State,exact_normalized_name,DL,dl_edge,defensive,2022-12-07,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DE,dl_edge,4430332,13,10,0.7692307692307693,1.1600506673696769,"{""fumble_recoveries"": 1.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 5.0, ""sacks"": 1.5, ""solo_tackles"": 6.0, ""tackles"": 17.0, ""tackles_for_loss"": 3.0}"
6385,2023,Patrick Joyner,patrick joyner,Utah State,Kansas,2305,Kansas,exact_normalized_name,EDGE,dl_edge,defensive,2023-01-11,on_or_before_cutoff,True,True,none,identity_resolution_failure,identity_resolution_failure,identity_resolution_failure,,,,,,,,{}
6386,2023,Max Longman,max longman,Massachusetts,Indiana,84,Indiana,exact_normalized_name,OT,,non_defensive,2022-11-28,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6387,2023,CJ Ogbonna,cj ogbonna,Southeast Missouri State,Buffalo,2084,Buffalo,exact_normalized_name,QB,,non_defensive,2022-12-01,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6388,2023,Sio Nofoagatoto'a,sio nofoagatotoa,Indiana,Arizona,12,Arizona,exact_normalized_name,DL,dl_edge,defensive,2023-01-13,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DL,dl_edge,4428131,12,9,0.75,0.036322450122782735,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 8.0, ""tackles"": 18.0, ""tackles_for_loss"": 2.5}"
6389,2023,Rance Conner,rance conner,Louisville,East Carolina,151,East Carolina,exact_normalized_name,CB,db,defensive,2022-12-12,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DB,db,4595351,13,3,0.23076923076923078,-0.3547964175064081,"{""fumble_recoveries"": 1.0, ""interceptions"": 1.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 1.0, ""tackles"": 1.0, ""tackles_for_loss"": 0.0}"
6390,2023,Shilo Sanders,shilo sanders,Jackson State,Colorado,38,Colorado,exact_normalized_name,S,db,defensive,2022-12-18,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,S,db,4426508,12,1,0.08333333333333333,-0.5342477411127953,"{""fumble_recoveries"": 0.0, ""interceptions"": 1.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 0.0, ""tackles"": 0.0, ""tackles_for_loss"": 0.0}"
