target_season,subdivision,team_id,team_name,lag1_rank_mean,lag1_rank_median,lag1_usable_systems,lag1_z_mean,lag2_rank_mean,lag2_rank_median,lag2_usable_systems,lag2_z_mean,lag3_rank_mean,lag3_rank_median,lag3_usable_systems,lag3_z_mean,long_run_rank_percentile_mean,long_run_z_mean,history_seasons
2026,fbs,2,Auburn,52.67123287671233,54.0,73,-0.5138206951744938,61.026666666666664,62.0,75,-0.20819265710371523,53.2027027027027,54.0,74,-0.44030480987003728,0.24019967079362617,-1.5611062923936061,23
2026,fbs,5,UAB,113.43835616438356,113.0,73,1.6418930487165595,117.05333333333333,118.0,75,1.9315158979930045,111.64864864864865,112.0,74,1.642398435630043,0.7136232530642953,1.1188856283529387,21
2026,fbs,6,South Alabama,112.26027397260275,114.0,73,1.5553258449304612,76.66666666666667,75.0,75,0.27957417471239548,66.8108108108108,65.5,74,-0.0058929912505884963,0.7455079861909093,1.3059379710459464,14
2026,fbs,8,Arkansas,82.87671232876713,84.0,73,0.50815180774605118,45.64,45.0,75,-0.69494776501233158,80.8108108108108,83.0,74,0.43937391129834613,0.38871223987775244,-0.58903033113487235,23
2026,fbs,9,Arizona State,39.657534246575345,38.0,73,-0.91677813459511615,14.2,13.0,75,-2.2185831625555394,90.39189189189189,92.0,74,0.75953081049993998,0.36833504312091447,-0.65816450515624647,23
2026,fbs,12,Arizona,26.945205479452056,26.0,73,-1.4384290818227226,89.66666666666667,88.0,75,0.7137702470657582,15.202702702702704,16.0,74,-2.1264416775381236,0.48397951475109752,-0.059241902788636794,23
2026,fbs,16,Sacramento State,,,,,,,,,,,,,,,0
2026,fbs,21,San Diego State,54.89041095890411,52.0,73,-0.4164800286859458,124.25333333333333,125.0,75,2.5448739364865669,105.82432432432432,106.0,74,1.354291023950837,0.55396673924054607,0.2943951860845534,23
2026,fbs,23,San José State,121.02739726027397,121.0,73,2.0882637911390645,90.14666666666666,92.0,75,0.71352370125315578,63.445945945945944,62.0,74,-0.10757620550797786,0.72578649335581391,1.2647735107432674,23
2026,fbs,24,Stanford,86.3013698630137,85.0,73,0.55152703608173448,98.76,99.0,75,1.0522740170269289,95.16216216216216,95.0,74,0.95814558096361968,0.39301741508763277,-0.76250634009263474,23
2026,fbs,25,California,72.43835616438356,72.0,73,0.11767632279289089,71.62666666666667,72.0,75,0.12637182443468503,57.067567567567565,55.0,74,-0.3080730457192955,0.42318846625394635,-0.39334006008949968,23
2026,fbs,26,UCLA,83.06849315068493,79.0,73,0.4749186399505203,55.38666666666666,54.0,75,-0.37488103194980554,37.986486486486484,36.0,74,-0.9468297922653196,0.39253242099448082,-0.53915427960519113,23
2026,fbs,30,USC,16.534246575342465,16.0,73,-2.0336619460863163,27.88,26.0,75,-1.4177815610806939,24.675675675675677,23.0,74,-1.5291862961417964,0.16366528028663332,-2.201752332515825,23
2026,fbs,36,Colorado State,123.08219178082192,124.0,73,2.2940656877512433,85.86666666666666,88.0,75,0.58392281620338926,102.64864864864865,103.0,74,1.2107938087137846,0.70360493193160156,1.0244182826558181,23
2026,fbs,38,Colorado,88.83561643835617,88.0,73,0.6357703506416762,27.85333333333333,29.0,75,-1.385708169994587,78.25675675675676,77.0,74,0.3552213215412946,0.57902574550793862,0.40201902443271564,23
2026,fbs,41,UConn,72.98630136986301,76.0,73,0.13359815682795886,65.6,66.0,75,-0.058941281638565109,119.87837837837837,120.5,74,2.1995115908836866,0.6511537888330835,1.0081186728591272,22
2026,fbs,48,Delaware,103.26027397260275,104.0,73,1.1681364038520614,,,,,,,,,0.75559024979854961,1.1681364038520614,1
2026,fbs,52,Florida State,55.97260273972603,56.0,73,-0.39896350995080643,101.52,103.0,75,1.193448063639327,8.716216216216216,8.0,74,-2.8341332231936835,0.2677651679876949,-1.4174533168171188,23
2026,fbs,55,Jacksonville State,85.41095890410959,86.0,73,0.53460829287852718,71.78666666666666,73.0,75,0.13148414438840111,67.94594594594595,69.5,74,0.029354696316481105,0.55448257044810045,0.23181571119446978,3
2026,fbs,57,Florida,57.89041095890411,58.0,73,-0.33077312989029273,25.64,25.0,75,-1.5165444053296178,57.054054054054056,59.5,74,-0.31691821015400873,0.21566038678243041,-1.7992019585112886,23
2026,fbs,58,South Florida,32.205479452054796,32.0,73,-1.218636219396672,85.42666666666666,86.0,75,0.55754875467951415,87.95945945945945,89.0,74,0.66805186952384987,0.5539067780075424,0.32734181950294439,23
2026,fbs,59,Georgia Tech,35.58904109589041,35.0,73,-1.0650015782322741,47.04,46.0,75,-0.63554035810333132,49.28378378378378,50.0,74,-0.55604925332897703,0.40072117801120299,-0.47280096018374312,23
2026,fbs,61,Georgia,6.739726027397261,7.0,73,-3.0697082615976834,6.84,7.0,75,-3.0325898607179909,2.6621621621621623,3.0,74,-4.1937206986581375,0.10515750064679504,-2.7415089665828778,23
2026,fbs,62,Hawai'i,67.86301369863014,67.0,73,-0.019002470871006517,108.86666666666666,110.0,75,1.4769868634310135,109.54054054054055,109.0,74,1.5972204329498692,0.6540965003766217,0.84591879361412603,23
2026,fbs,66,Iowa State,34.56164383561644,34.0,73,-1.1110470675030477,18.386666666666667,18.0,75,-1.9358795011261434,37.351351351351354,36.0,74,-0.9781424050647034,0.46534684889925076,-0.16884354006507185,23
2026,fbs,68,Boise State,52.013698630136986,52.0,73,-0.50477128817286432,19.066666666666666,17.0,75,-1.9746549780509024,47.810810810810814,48.5,74,-0.60118856580827551,0.21281764842040563,-1.5940330215211624,23
2026,fbs,77,Northwestern,51.24657534246575,50.0,73,-0.52401116797194636,84.12,83.0,75,0.52531003574476176,46.054054054054056,45.5,74,-0.67347469460006815,0.44919010422789324,-0.24535351985395976,23
2026,fbs,84,Indiana,1.0,1.0,73,-5.602118820879701,7.36,7.0,75,-2.9626342360232099,95.13513513513513,97.0,74,0.94852686314533252,0.56814091665874777,0.15134251095717796,23
2026,fbs,87,Notre Dame,6.8493150684931505,6.0,73,-3.1664290208597561,2.44,2.0,75,-4.2553448543333312,12.162162162162161,13.0,74,-2.3973712771270215,0.20343439804302105,-1.8131904615764569,23
