season,period,cutoff_label,cutoff_index,is_final_cutoff,prior_family,candidate,n_teams,nll,crps,interval_80_coverage,interval_80_width,mean_entropy,mean_max_probability
2022,final_2022_2025,q1_2022-08-27,0,False,context,v1,131,4.46020139944818,0.07373297771583764,0.8267267543456268,70.35114503816794,4.4775861178350835,0.026497333500565576
2022,final_2022_2025,q1_2022-08-27,0,False,context,a,131,4.460345321593579,0.07374722632739017,0.8261749287225236,70.35114503816794,4.477651233775745,0.02649715338335517
2022,final_2022_2025,q1_2022-08-27,0,False,context,b,131,4.460868887406565,0.07381346922142779,0.8249793065391336,70.32824427480917,4.477369577688687,0.026524840766883558
2022,final_2022_2025,q1_2022-08-27,0,False,context,c,131,4.460758267673671,0.07378679925431739,0.8258070449737882,70.36641221374046,4.4774807241896415,0.02651892755791768
2022,final_2022_2025,q1_2022-08-27,0,False,context,ypp_supported,131,4.45934372664186,0.07359756896340267,0.8271866090315461,70.33587786259542,4.477931654739594,0.02649369633610272
2022,final_2022_2025,q1_2022-08-27,0,False,history,v1,131,4.519058671900622,0.08158211774035715,0.8455807964683161,74.72519083969466,4.5399177080406545,0.023607467931219418
2022,final_2022_2025,q1_2022-08-27,0,False,history,a,131,4.519229634158444,0.08159926509709366,0.8456727674054999,74.72519083969466,4.539985813907091,0.023605481869377505
2022,final_2022_2025,q1_2022-08-27,0,False,history,b,131,4.519854658456135,0.08167728716820287,0.8445691161592938,74.74045801526718,4.5396855390520985,0.023637460460367677
2022,final_2022_2025,q1_2022-08-27,0,False,history,c,131,4.519691968317809,0.08164093472653153,0.8446610870964776,74.74809160305344,4.539819075683548,0.023629831565213255
2022,final_2022_2025,q1_2022-08-27,0,False,history,ypp_supported,131,4.51798499922175,0.08140164878163916,0.8463165639657868,74.77862595419847,4.540545975802804,0.023597598765872016
2022,final_2022_2025,q2_2022-09-25,1,False,context,v1,131,4.231104889440128,0.0488513324333302,0.7825807044973789,45.3206106870229,4.093399838401268,0.03903189045298241
2022,final_2022_2025,q2_2022-09-25,1,False,context,a,131,4.22305785337433,0.04833464612468528,0.7863515129219167,45.13740458015267,4.089614512502869,0.039131311360462745
2022,final_2022_2025,q2_2022-09-25,1,False,context,b,131,4.226701737238314,0.04836361739221272,0.7874551641681229,45.12213740458015,4.089127495963139,0.03909511178516548
2022,final_2022_2025,q2_2022-09-25,1,False,context,c,131,4.230581892742877,0.04863977878092163,0.784971948864159,45.25190839694657,4.091144739369459,0.03904413565068699
2022,final_2022_2025,q2_2022-09-25,1,False,context,ypp_supported,131,4.211464048282943,0.047200491468645626,0.7857077163616297,44.44274809160305,4.0752380239655235,0.0396349205452478
2022,final_2022_2025,q2_2022-09-25,1,False,history,v1,131,4.252437367719801,0.05125726811323321,0.7900303504092706,46.6793893129771,4.125219071696682,0.03699925313332061
2022,final_2022_2025,q2_2022-09-25,1,False,history,a,131,4.244497025262242,0.05070807414960491,0.7906741469695576,46.54961832061068,4.121269584940077,0.037096192267273516
2022,final_2022_2025,q2_2022-09-25,1,False,history,b,131,4.2503342356114695,0.050887579845220854,0.7871792513565713,46.404580152671755,4.119708699059088,0.037112762031358895
2022,final_2022_2025,q2_2022-09-25,1,False,history,c,131,4.253679370597673,0.0511416893675738,0.7863515129219167,46.54961832061068,4.121884365593667,0.03705780000946773
2022,final_2022_2025,q2_2022-09-25,1,False,history,ypp_supported,131,4.2328413033363175,0.04938531718332753,0.7889266991630645,45.69465648854962,4.104994937659746,0.03763252054741649
2022,final_2022_2025,q3_2022-10-16,2,False,context,v1,131,4.129211041665256,0.03955850709857034,0.7651981973696311,38.11450381679389,3.9558826049764373,0.04244785925335043
2022,final_2022_2025,q3_2022-10-16,2,False,context,a,131,4.120734243155213,0.039102635808378666,0.7642784879977926,37.89312977099237,3.9509628240742933,0.04267747495666083
2022,final_2022_2025,q3_2022-10-16,2,False,context,b,131,4.128124502886114,0.039323540000160466,0.7599558539501517,37.74809160305343,3.948825883210539,0.0427376589419941
2022,final_2022_2025,q3_2022-10-16,2,False,context,c,131,4.130343608372594,0.03946331893926397,0.764646371746528,37.847328244274806,3.9520588157618013,0.04256460033238818
2022,final_2022_2025,q3_2022-10-16,2,False,context,ypp_supported,131,4.114887975775299,0.03882706878557451,0.7617033017566448,37.29007633587786,3.9360519178196984,0.04326722677919219
2022,final_2022_2025,q3_2022-10-16,2,False,history,v1,131,4.136710613225598,0.040861516383104916,0.7617952726938289,38.98473282442748,3.983549200267577,0.04031683654698804
2022,final_2022_2025,q3_2022-10-16,2,False,history,a,131,4.12860877973334,0.040442871301253944,0.7625310401912996,38.732824427480914,3.9781560535966354,0.040597132980424076
2022,final_2022_2025,q3_2022-10-16,2,False,history,b,131,4.1380225522535365,0.04072675941484539,0.75609307458843,38.603053435114504,3.9761958773661683,0.040640157683651625
2022,final_2022_2025,q3_2022-10-16,2,False,history,c,131,4.140198863754402,0.040862316399034274,0.7594040283270486,38.732824427480914,3.979592686112663,0.04043926893129299
2022,final_2022_2025,q3_2022-10-16,2,False,history,ypp_supported,131,4.125047319111711,0.04027346385321165,0.7528740917869953,37.99236641221374,3.9605756118889484,0.04127926265884207
2022,final_2022_2025,q4_2022-11-09,3,False,context,v1,131,3.9904433950064595,0.029970217834983496,0.7655660811183668,33.045801526717554,3.8340940194507738,0.046513302696231676
2022,final_2022_2025,q4_2022-11-09,3,False,context,a,131,3.9899916643302884,0.029926783524846998,0.7648303136208958,32.87786259541985,3.827672006999169,0.046802154134234684
2022,final_2022_2025,q4_2022-11-09,3,False,context,b,131,3.9919522838438035,0.02982486463582142,0.7663018486158374,32.74809160305343,3.8258994161592907,0.04676093894807677
2022,final_2022_2025,q4_2022-11-09,3,False,context,c,131,3.994132892883499,0.030017877799016674,0.7638186333118735,32.908396946564885,3.830366201167578,0.046502444319087136
2022,final_2022_2025,q4_2022-11-09,3,False,context,ypp_supported,131,4.006668726962716,0.030976127909886957,0.7553573070909593,32.51145038167939,3.8169919162184214,0.047193121832631205
2022,final_2022_2025,q4_2022-11-09,3,False,history,v1,131,3.994105164405072,0.03036352763010565,0.7673135289248598,33.6412213740458,3.8569058216094594,0.04461525151418092
2022,final_2022_2025,q4_2022-11-09,3,False,history,a,131,3.99463511760215,0.030419772328085928,0.7691529476685368,33.42748091603053,3.8497560993494324,0.04497108248082513
2022,final_2022_2025,q4_2022-11-09,3,False,history,b,131,3.996725649635887,0.030274897756221577,0.7682332382966983,33.38167938931298,3.8485105537883024,0.04487502774926011
2022,final_2022_2025,q4_2022-11-09,3,False,history,c,131,3.9991171570261823,0.030455985173142453,0.7681412673595144,33.51145038167939,3.8533104910385347,0.04458700698694947
2022,final_2022_2025,q4_2022-11-09,3,False,history,ypp_supported,131,4.017386163914134,0.031901821679450305,0.75370183022165,32.86259541984733,3.8364581155559727,0.04551163697379346
2022,final_2022_2025,q5_2022-11-27,4,False,context,v1,131,3.8080232079717358,0.01952817784402722,0.7991354731904718,29.229007633587788,3.7237259027139253,0.05016718951485288
2022,final_2022_2025,q5_2022-11-27,4,False,context,a,131,3.8134648088629075,0.019810034222448664,0.7961924032005887,29.022900763358777,3.716623401400943,0.05052281841829099
2022,final_2022_2025,q5_2022-11-27,4,False,context,b,131,3.818223204915337,0.019866017715793206,0.7967442288236917,28.923664122137403,3.7147772691496974,0.050467595069361264
2022,final_2022_2025,q5_2022-11-27,4,False,context,c,131,3.8162545706571946,0.019782558851180906,0.7988595603789204,29.206106870229007,3.7205878244992707,0.050073229432582876
2022,final_2022_2025,q5_2022-11-27,4,False,context,ypp_supported,131,3.8354000817187535,0.020966942626475735,0.7835923848064013,28.633587786259543,3.703207829640328,0.05120156647485848
2022,final_2022_2025,q5_2022-11-27,4,False,history,v1,131,3.8059107849326193,0.019330002134836967,0.8084245378460407,29.709923664122137,3.7426881038693844,0.04856234642861349
2022,final_2022_2025,q5_2022-11-27,4,False,history,a,131,3.8106623179044576,0.019601739190860924,0.803917961924032,29.412213740458014,3.7352843585516733,0.04894873160356715
2022,final_2022_2025,q5_2022-11-27,4,False,history,b,131,3.815921056470753,0.019697716212042457,0.8025383978662742,29.35114503816794,3.7337119783893704,0.04882592766401646
2022,final_2022_2025,q5_2022-11-27,4,False,history,c,131,3.8145529881439324,0.019622821673539403,0.8049296422330544,29.541984732824428,3.739681797366271,0.048418530347201144
2022,final_2022_2025,q5_2022-11-27,4,False,history,ypp_supported,131,3.8378696202474556,0.021151842882154156,0.7821208498114597,28.931297709923665,3.7201474077742915,0.04968484205136756
2022,final_2022_2025,q6_2022-12-23,5,False,context,v1,131,3.78387099387483,0.01807754160742948,0.805665409730525,28.885496183206108,3.715346297986932,0.050240354246610705
2022,final_2022_2025,q6_2022-12-23,5,False,context,a,131,3.787729865604375,0.018256998481535402,0.8017106594316196,28.633587786259543,3.7083936915870863,0.050529988509975796
2022,final_2022_2025,q6_2022-12-23,5,False,context,b,131,3.7930878069916734,0.01835546315942993,0.8015267175572519,28.519083969465647,3.705990241421231,0.05049794380923172
2022,final_2022_2025,q6_2022-12-23,5,False,context,c,131,3.791825926626691,0.018318008569889056,0.801434746620068,28.64885496183206,3.7117497960855617,0.05012889807129871
2022,final_2022_2025,q6_2022-12-23,5,False,context,ypp_supported,131,3.8049551983988774,0.019094091267874844,0.7900303504092706,28.236641221374047,3.695262430879816,0.0512370045800876
2022,final_2022_2025,q6_2022-12-23,5,False,history,v1,131,3.7754548795007077,0.01747276793380759,0.8054814678561575,29.3206106870229,3.7346049520076545,0.04865518732175332
2022,final_2022_2025,q6_2022-12-23,5,False,history,a,131,3.778602502082824,0.01764206054226613,0.8039179619240319,29.106870229007633,3.7273742721016316,0.04897776063470425
2022,final_2022_2025,q6_2022-12-23,5,False,history,b,131,3.7849343865985996,0.01780247764719458,0.801434746620068,29.053435114503817,3.725274945221786,0.048882141285064386
2022,final_2022_2025,q6_2022-12-23,5,False,history,c,131,3.784357289101172,0.017775965949533856,0.8035500781752966,29.137404580152673,3.7311596014546176,0.0485090908102487
2022,final_2022_2025,q6_2022-12-23,5,False,history,ypp_supported,131,3.802042440643806,0.018918036157656425,0.7847880069897912,28.603053435114504,3.7125722438320583,0.049756330799874106
2022,final_2022_2025,q7_2023-01-10,6,True,context,v1,131,3.7953128611502134,0.018409233383537418,0.7970201416352432,28.31297709923664,3.6988025031788214,0.05150686314567564
2022,final_2022_2025,q7_2023-01-10,6,True,context,a,131,3.79840945494254,0.01851355292507241,0.7962843741377724,28.206106870229007,3.6916266181334594,0.05183797727375348
2022,final_2022_2025,q7_2023-01-10,6,True,context,b,131,3.8037810424480667,0.018604202426844695,0.7996872988135749,28.076335877862597,3.689446833167327,0.051805443225535514
2022,final_2022_2025,q7_2023-01-10,6,True,context,c,131,3.8031986016868813,0.018626983108908268,0.7991354731904718,28.297709923664122,3.6952185236693764,0.05143575893045651
2022,final_2022_2025,q7_2023-01-10,6,True,context,ypp_supported,131,3.815473057760881,0.019311428941425787,0.785523774487262,27.83969465648855,3.680159555272082,0.052443648945087386
