season,prior_family,candidate,baseline,delta_nll,delta_crps,delta_expected_rank_mae,delta_median_rank_mae,delta_interval_80_coverage,delta_interval_80_width,delta_top5_brier,delta_top10_brier,delta_top25_brier,delta_mean_entropy,delta_mean_max_probability
2022,context,a,v1,0.0030965937923266296,0.00010431954153499248,0.020907966992223415,0.04580152671755666,-0.0007357674974707296,-0.1068702290076331,9.572723747010292e-05,-4.300891358407794e-05,-0.0008412040739092345,-0.00717588504536204,0.0003311141280778404
2022,context,b,v1,0.008468181297853317,0.0001949690433072776,0.019661013876555167,0.07633587786259532,0.0026671571783317694,-0.2366412213740432,0.0002120488883099467,0.00017837594512460937,-0.0013910699877769661,-0.00935567001149451,0.00029858007985987534
2022,context,c,v1,0.007885740536667907,0.0002177497253708499,0.04982489038861715,0.09160305343511421,0.0021153315552286944,-0.015267175572518,0.0001868564325529223,0.0001460245202439623,-0.0005590420792452623,-0.003583979509445001,-7.110421521912963e-05
2022,context,ypp_supported,v1,0.02016019661066748,0.0009021955578883689,0.2118706888261208,0.2137404580152671,-0.01149636714798119,-0.47328244274808995,-1.1953929398309058e-05,-8.69543018588671e-05,-0.0013695728164552952,-0.018642947906739593,0.0009367857994117476
2022,history,a,v1,0.002575809113924521,0.0001137270691396533,0.02871918383127703,0.007633587786259888,-0.0007357674974708406,-0.1908396946564892,0.00010462196499508736,-4.1339580763926145e-05,-0.0007153918528442112,-0.007484828807612143,0.00037652090925061055
2022,history,b,v1,0.009397677869462662,0.000287221636010266,0.08509122582886164,0.04580152671755755,-0.0061620527913178735,-0.3053435114503813,0.00023610775324274047,0.00021610024845415167,-0.0011009370028592785,-0.009346776898855325,0.00026285936541751986
2022,history,c,v1,0.009038581817227165,0.0002928111596872396,0.0817956753375002,0.04580152671755755,-0.0041386921732733395,-0.0916030534351151,0.00021587026232096481,0.00018187733725472804,-0.00045542334821861014,-0.0034034455194356106,-0.00011491025958224738
2022,history,ypp_supported,v1,0.02576338889197194,0.0013563969550182374,0.32077854937150185,0.2671755725190845,-0.01784236181366694,-0.6335877862595432,-2.8768497730545343e-05,-6.783223892343777e-05,-0.0010909886140720755,-0.020660509394441195,0.001067943315138091
2023,context,a,v1,0.0023303553191516,4.629450706678667e-05,-0.06818707457236961,-0.06766917293233199,-0.002946555578134502,-0.16541353383458457,0.00017995371609119508,-0.000142245639331854,-0.00018380749180654452,-0.007778839743822097,0.0005289331094453509
2023,context,b,v1,-0.008158496142622873,-0.0004625178295466874,-0.15660311810101568,-0.20300751879699241,-0.00802682381629749,-0.16541353383458457,-0.0001493420664937092,-0.0003993059652578207,-0.0005262887928349017,-0.005480396560137546,0.0003501703804962633
2023,context,c,v1,-0.014138307687216134,-0.0006764452713608413,-0.1562648856570945,-0.20300751879699241,-0.004267425320056861,0.0,-0.00017115489575875165,-0.0003844724450285438,-0.00023621695361159684,-0.0012339069196305452,0.0001033778989085049
2023,context,ypp_supported,v1,-0.004373924107314409,-0.0006101260830948599,-0.28441559557388807,-0.40601503759398483,-0.011176590123958663,-0.5112781954887211,0.0003681324944114755,1.2674583076658849e-05,-0.0009423444492685298,-0.01657940059021934,0.0010063909598224605
2023,history,a,v1,0.0027110436067445676,0.0001887236399312625,-0.014972096513478306,-0.030075187969925032,-0.00335297703718751,-0.16541353383458457,0.00010443119663845236,-0.00024989605254801227,-3.149333963706202e-05,-0.008273244554552583,0.0005019256300448777
2023,history,b,v1,-0.0041082262744653875,-0.00027623352326329453,-0.15804678589134635,-0.18796992481203034,-0.0023369233895550456,-0.19548872180451227,-0.0001703185432592744,-0.0003642545566449277,-0.00020200861119614583,-0.005971239265578632,0.000374297991524844
2023,history,c,v1,-0.00900331936224541,-0.0005196980218833518,-0.1639799407779563,-0.1804511278195493,0.0014224751066855834,-0.007518796992481924,-0.00017802624540719843,-0.00032718979365477935,-5.8882066359003046e-05,-0.0012875838260946182,0.00012526886192306547
2023,history,ypp_supported,v1,0.010935015108443302,0.0005342761090864276,0.04687880588302651,0.007518796992481036,-0.01290388132493403,-0.5789473684210513,0.0003274044925507258,-4.397782371624512e-05,-0.0003016055675507147,-0.019979293534607034,0.0011525000800318708
