season,period,cutoff_label,cutoff,cutoff_index,is_final_cutoff,prior_family,candidate,population_view,game_count,primitive_complete_game_count,game_key_sha256,team_key_sha256,matched_fbs_teams,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_width,mean_entropy,mean_max_probability,top5_brier,top10_brier,top25_brier,posterior_converged,posterior_iterations,posterior_max_message_delta
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,context,v1,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.46020139944818,0.07373297771583764,18.69966999941962,18.80916030534351,0.8267267543456268,70.35114503816794,4.4775861178350835,0.026497333500565576,0.013083061899408239,0.028467665383567264,0.08760103742944406,True,12,6.791179737314357e-07
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,context,a,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.460345321593579,0.07374722632739017,18.70404511294901,18.83206106870229,0.8261749287225236,70.35114503816794,4.477651233775745,0.02649715338335517,0.013083082550026506,0.028467304060938392,0.0875955345572869,True,12,6.791179737314357e-07
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,context,b,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.460868887406565,0.07381346922142779,18.716242876720138,18.82442748091603,0.8249793065391336,70.32824427480917,4.477369577688687,0.026524840766883558,0.013082329405718752,0.02847095997737397,0.08769781117327037,True,12,6.791179737314357e-07
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,context,c,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.460758267673671,0.07378679925431739,18.70976928799197,18.80916030534351,0.8258070449737882,70.36641221374046,4.4774807241896415,0.02651892755791768,0.013082379627018099,0.028470417427006227,0.08771596448148808,True,12,6.791179737314357e-07
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,context,ypp_supported,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.45934372664186,0.07359756896340267,18.68490876211943,18.778625954198475,0.8271866090315461,70.33587786259542,4.477931654739594,0.02649369633610272,0.013083975949480148,0.02846413824214958,0.08731532966539765,True,12,6.791179737314357e-07
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,history,v1,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.519058671900622,0.08158211774035715,21.067931227720557,21.15267175572519,0.8455807964683161,74.72519083969466,4.5399177080406545,0.023607467931219418,0.01574673844374604,0.03262775133913097,0.09366203294809182,True,12,6.791179737314357e-07
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,history,a,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.519229634158444,0.08159926509709366,21.07246740260376,21.16793893129771,0.8456727674054999,74.72519083969466,4.539985813907091,0.023605481869377505,0.01574670075745497,0.032627009983951724,0.09365569582550702,True,12,6.791179737314357e-07
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,history,b,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.519854658456135,0.08167728716820287,21.08643567506495,21.18320610687023,0.8445691161592938,74.74045801526718,4.5396855390520985,0.023637460460367677,0.015746617276438956,0.03263327628466119,0.09375170569971925,True,12,6.791179737314357e-07
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,history,c,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.519691968317809,0.08164093472653153,21.078268088905826,21.17557251908397,0.8446610870964776,74.74809160305344,4.539819075683548,0.023629831565213255,0.015746599115344047,0.03263242572296218,0.0937690928497676,True,12,6.791179737314357e-07
2022,final_2022_2025,q1_2022-08-27,2022-08-27T23:59:59+00:00,0,False,history,ypp_supported,full,10,7,3326a2a32dc4b5614ba594ed2d20f49e789f967f8de078278d95f6dfee184f8f,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.51798499922175,0.08140164878163916,21.049754469301043,21.137404580152673,0.8463165639657868,74.77862595419847,4.540545975802804,0.023597598765872016,0.015746814887971132,0.03261842196080644,0.09332810298353834,True,12,6.791179737314357e-07
2022,final_2022_2025,q2_2022-09-25,2022-09-25T23:59:59+00:00,1,False,context,v1,full,478,314,f982351bf30c58e3d81f9a98050ae99cb75fdc6bdb750476a8f8cb6811996883,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.231104889440128,0.0488513324333302,13.84204381637101,14.16030534351145,0.7825807044973789,45.3206106870229,4.093399838401268,0.03903189045298241,0.0092959679366288,0.01983108447948188,0.06075065643443281,True,23,7.673864807350439e-07
2022,final_2022_2025,q2_2022-09-25,2022-09-25T23:59:59+00:00,1,False,context,a,full,478,314,f982351bf30c58e3d81f9a98050ae99cb75fdc6bdb750476a8f8cb6811996883,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.22305785337433,0.04833464612468528,13.771239256249142,14.129770992366412,0.7863515129219167,45.13740458015267,4.089614512502869,0.039131311360462745,0.009149038433026049,0.019797166436123347,0.06008392282691516,True,23,7.882785963281291e-07
2022,final_2022_2025,q2_2022-09-25,2022-09-25T23:59:59+00:00,1,False,context,b,full,478,314,f982351bf30c58e3d81f9a98050ae99cb75fdc6bdb750476a8f8cb6811996883,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.226701737238314,0.04836361739221272,13.742566485968077,14.13740458015267,0.7874551641681229,45.12213740458015,4.089127495963139,0.03909511178516548,0.009555424972445176,0.02060623424696618,0.06044521379999476,True,23,8.347204433489797e-07
2022,final_2022_2025,q2_2022-09-25,2022-09-25T23:59:59+00:00,1,False,context,c,full,478,314,f982351bf30c58e3d81f9a98050ae99cb75fdc6bdb750476a8f8cb6811996883,49743212ca21de2549dcf9059f615351c6f2df2ee6b3cb2e27fabaf419a4e300,131,4.230581892742877,0.04863977878092163,13.771579605473462,14.122137404580153,0.784971948864159,45.25190839694657,4.091144739369459,0.03904413565068699,0.009546708434136488,0.02050459844693469,0.06097313833917633,True,23,8.272179988499939e-07
