candidate,target_kind,season,n,margin_nll,margin_mae,win_brier
R112,next_game,2018,459,4.332806394221428,14.542937033861394,0.1898683725097469
R112,next_game,2019,473,4.2462449716529695,13.700979467737298,0.1891600125025002
R112,next_game,2020,196,4.3011803894334735,13.363083280840407,0.23001307167594723
R112,next_game,2021,463,4.256516171077722,13.401018580781427,0.17548309819759236
R14,next_game,2018,459,4.3315981021720775,14.742976004477764,0.19102560670587526
R14,next_game,2019,473,4.256076866644429,13.786267140664554,0.18943571901001172
R14,next_game,2020,196,4.322164130048441,13.44676896724666,0.23155741981367464
R14,next_game,2021,463,4.274893048372209,13.749803226696065,0.18008445328919223
R28,next_game,2018,459,4.32744926669374,14.583922781474236,0.18951706416660735
R28,next_game,2019,473,4.2463690867893575,13.694116048516458,0.18853671675280748
R28,next_game,2020,196,4.310721012447975,13.416316400434544,0.23055211838195788
R28,next_game,2021,463,4.260564210644865,13.4901884906044,0.17654683762126147
R56,next_game,2018,459,4.329822960324788,14.535639557778715,0.18953238067715408
R56,next_game,2019,473,4.245222091061596,13.681390951426753,0.1887378954741201
R56,next_game,2020,196,4.304341410682388,13.379848619831495,0.2302507380595655
R56,next_game,2021,463,4.256723172899417,13.415776006045249,0.17563666293435704
Static V1,next_game,2018,459,4.3374001626840615,14.564785868083165,0.19049199657928428
Static V1,next_game,2019,473,4.248765620099696,13.745018224870945,0.18991291887240513
Static V1,next_game,2020,196,4.29867707510893,13.381746710089155,0.22967760672681445
Static V1,next_game,2021,463,4.258007786022724,13.407393146486958,0.1756315750887493
