candidate,target_kind,season,n,margin_nll,margin_mae,win_brier
R112,next_game,all,1591,4.280974450080098,13.814963741501348,0.19041703671252508
R14,next_game,all,1591,4.29148179616947,14.009840323777658,0.19236216513268922
R28,next_game,all,1591,4.281819195117642,13.857255017774962,0.19050634852172124
R56,next_game,all,1591,4.280259291896537,13.813394781477818,0.1902685775539627
Static V1,next_game,all,1591,4.283174811206167,13.838513963428703,0.19082266954185148
