team_id,team_name,subdivision,conference,record_through_cutoff,movement_from_previous,expected_rank,median_rank,interval_80_low,interval_80_high,top5_probability,top10_probability,top25_probability,display_rank
194,Ohio State,fbs,,,,5.735833349435094,4.0,1.0,12.0,0.6335667963905821,0.8654033403718615,0.9887238754219047,1
333,Alabama,fbs,,,,7.732595446546163,6.0,2.0,16.0,0.47104952165592795,0.7718772410858407,0.9754972215987768,2
87,Notre Dame,fbs,,,,7.871333708376353,6.0,2.0,16.0,0.47450340060084306,0.7631323074782567,0.9708394423931629,3
61,Georgia,fbs,,,,8.061192078591903,6.0,2.0,17.0,0.4814607784635334,0.7534542178914674,0.9647894814722293,4
84,Indiana,fbs,,,,8.121497189389467,6.0,2.0,17.0,0.48145966748715574,0.7515933806173916,0.9631325098083694,5
2390,Miami,fbs,,,,10.027919481541543,8.0,2.0,20.0,0.3552452971061659,0.6575801107387373,0.943903255808698,6
251,Texas,fbs,,,,10.205053750658955,8.0,3.0,21.0,0.3362125182920215,0.6455505216947958,0.9436266949801292,7
99,LSU,fbs,,,,13.727576764189386,11.0,4.0,27.0,0.19974936081859893,0.48365268621560825,0.8813993371916579,8
254,Utah,fbs,,,,14.415349743811309,11.0,3.0,30.0,0.21755522051114803,0.47994321106485555,0.8575900352794095,9
2483,Oregon,fbs,,,,14.52968389339669,10.0,3.0,33.0,0.2638761698630452,0.503866300919779,0.8462941339281519,10
213,Penn State,fbs,,,,14.787827890453718,11.0,4.0,31.0,0.2056135123827605,0.4620886963256046,0.8471093224549491,11
145,Ole Miss,fbs,,,,17.27335021741061,13.0,4.0,37.0,0.16945663657464444,0.39708873175286247,0.7920499063931441,12
245,Texas A&M,fbs,,,,18.534865258033417,15.0,5.0,38.0,0.1340377147333033,0.3443509397411317,0.7613421870854759,13
2633,Tennessee,fbs,,,,18.97872833707471,15.0,5.0,39.0,0.12590989000930472,0.3386648960040644,0.7562221999411006,14
201,Oklahoma,fbs,,,,19.138059618588716,16.0,5.0,38.0,0.11605888305606285,0.3137186983111333,0.7471359060984535,15
