protocol,target_season,train_through,candidate,n_team_seasons,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_average_width,delta_nll_vs_R0,delta_crps_vs_R0,delta_expected_rank_mae_vs_R0,delta_median_rank_mae_vs_R0,delta_interval_80_coverage_vs_R0,delta_interval_80_average_width_vs_R0,delta_nll_vs_R1,delta_crps_vs_R1,delta_expected_rank_mae_vs_R1,delta_median_rank_mae_vs_R1,delta_interval_80_coverage_vs_R1,delta_interval_80_average_width_vs_R1
frozen_through_2021,2022,2021,R0,131,4.46687895474135,0.1070808440668973,18.68027501528254,18.85496183206107,0.8258070449737882,72.09923664122137,0.0,0.0,0.0,0.0,0.0,0.0,-0.020326444641029617,-0.0019486462793328885,-0.5985678248380282,-0.8244274809160324,-0.0067138784144210595,-1.6488549618320718
frozen_through_2021,2022,2021,R1,131,4.48720539938238,0.10902949034623019,19.278842840120568,19.6793893129771,0.8325209233882093,73.74809160305344,0.020326444641029617,0.0019486462793328885,0.5985678248380282,0.8244274809160324,0.0067138784144210595,1.6488549618320718,0.0,0.0,0.0,0.0,0.0,0.0
frozen_through_2021,2022,2021,R2,131,4.4563787950709415,0.10561449458364564,18.51603490979311,18.52671755725191,0.8331647199484964,71.69465648854961,-0.010500159670408848,-0.0014663494832516666,-0.16424010548943002,-0.3282442748091583,0.007357674974708184,-0.4045801526717554,-0.030826604311438466,-0.003414995762584555,-0.7628079303274582,-1.1526717557251906,0.0006437965602871243,-2.053435114503827
frozen_through_2021,2023,2021,R0,133,4.4722065703866205,0.10443224457695163,19.27912267013667,19.545112781954888,0.8669985775248933,72.1203007518797,0.0,0.0,0.0,0.0,0.0,0.0,-0.032483007078392134,-0.0033746184232127108,-0.8235847447437408,-0.864661654135336,0.0055882950619792204,-2.563909774436098
frozen_through_2021,2023,2021,R1,133,4.504689577465013,0.10780686300016434,20.10270741488041,20.409774436090224,0.8614102824629141,74.6842105263158,0.032483007078392134,0.0033746184232127108,0.8235847447437408,0.864661654135336,-0.0055882950619792204,2.563909774436098,0.0,0.0,0.0,0.0,0.0,0.0
frozen_through_2021,2023,2021,R2,133,4.468424225691642,0.10400838900406108,19.155870103218493,19.402255639097746,0.8710627921154237,72.35338345864662,-0.0037823446949785122,-0.0004238555728905552,-0.12325256691817543,-0.14285714285714235,0.004064214590530413,0.2330827067669219,-0.036265351773370647,-0.003798473996103266,-0.9468373116619162,-1.0075187969924784,0.009652509652509633,-2.3308270676691762
frozen_through_2021,2024,2021,R0,134,4.584023541620271,0.11828325718207185,21.017995994307483,21.708955223880597,0.8045771144278607,70.8731343283582,0.0,0.0,0.0,0.0,0.0,0.0,0.030128665384242304,0.002255431887990364,0.2562439958770071,0.7835820895522403,-0.01054726368159209,-2.4552238805970177
frozen_through_2021,2024,2021,R1,134,4.553894876236028,0.11602782529408148,20.761751998430476,20.925373134328357,0.8151243781094528,73.32835820895522,-0.030128665384242304,-0.002255431887990364,-0.2562439958770071,-0.7835820895522403,0.01054726368159209,2.4552238805970177,0.0,0.0,0.0,0.0,0.0,0.0
frozen_through_2021,2024,2021,R2,134,4.549217101618224,0.11447798382293448,20.414504191358315,20.70149253731343,0.8148258706467661,70.4776119402985,-0.03480644000204691,-0.0038052733591373705,-0.6034918029491685,-1.007462686567166,0.01024875621890542,-0.3955223880597032,-0.004677774617804609,-0.0015498414711470065,-0.3472478070721614,-0.2238805970149258,-0.00029850746268667017,-2.850746268656721
frozen_through_2021,2025,2021,R0,136,4.642490544301942,0.11772472513966825,21.61321294045643,22.198529411764707,0.8031829170024174,72.58088235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.07337563440660944,0.006201821426591189,0.8816323456872439,1.3161764705882355,-0.023368251410152974,-4.0
frozen_through_2021,2025,2021,R1,136,4.569114909895332,0.11152290371307706,20.731580594769188,20.88235294117647,0.8265511684125704,76.58088235294117,-0.07337563440660944,-0.006201821426591189,-0.8816323456872439,-1.3161764705882355,0.023368251410152974,4.0,0.0,0.0,0.0,0.0,0.0,0.0
frozen_through_2021,2025,2021,R2,136,4.556131769173409,0.10776439201485094,19.84233825319237,20.03676470588235,0.8319903303787268,73.28676470588235,-0.08635877512853263,-0.009960333124817311,-1.7708746872640617,-2.161764705882355,0.028807413376309432,0.705882352941174,-0.012983140721923192,-0.003758511698226122,-0.8892423415768178,-0.8455882352941195,0.005439161966156458,-3.294117647058826
