target_season,left_candidate,right_candidate,n_team_seasons,delta_nll,delta_crps,delta_expected_rank_mae,delta_median_rank_mae,delta_interval_80_coverage,delta_interval_80_average_width
2022,R2,R0,131,-0.010500159670408848,-0.0014663494832516666,-0.16424010548943002,-0.3282442748091583,0.007357674974708184,-0.4045801526717554
2022,R2,R1,131,-0.030826604311438466,-0.003414995762584555,-0.7628079303274582,-1.1526717557251906,0.0006437965602871243,-2.053435114503827
2022,R1,R0,131,0.020326444641029617,0.0019486462793328885,0.5985678248380282,0.8244274809160324,0.0067138784144210595,1.6488549618320718
2023,R2,R0,133,-0.0005141720014343321,2.20623721919333e-05,-0.053884004823022025,-0.23308270676691834,-0.0013208697419224702,0.09022556390978309
2023,R2,R1,133,-0.03509972643828618,-0.003535301030940033,-0.8792518379014673,-0.9849624060150362,0.00802682381629738,-2.383458646616532
2023,R1,R0,133,0.03458555443685185,0.003557363403131966,0.8253678330784453,0.7518796992481178,-0.00934769355821985,2.473684210526315
2024,R2,R0,134,-0.026081620690099783,-0.0028866603264876417,-0.38783708779868675,-0.6044776119403004,0.019291380933171953,-0.1641791044776113
2024,R2,R1,134,-0.002702558153183432,-0.0012592711137520973,-0.2387131141465204,0.02238805970149116,0.00029850746268655914,-2.6791044776119435
2024,R1,R0,134,-0.02337906253691635,-0.0016273892127355444,-0.14912397365216634,-0.6268656716417915,0.018992873470485394,2.514925373134332
2025,R2,R0,136,-0.05636072581455398,-0.0067233376209979295,-1.2274801247558536,-1.5735294117647065,0.015511684125705028,0.08088235294117396
2025,R2,R1,136,-0.012868944515063596,-0.00359632459191106,-0.8380848183574798,-0.867647058823529,0.0013094278807412874,-3.007352941176478
2025,R1,R0,136,-0.043491781299490384,-0.0031270130290868697,-0.3893953063983737,-0.7058823529411775,0.01420225624496374,3.088235294117652
