protocol,target_season,train_through,candidate,n_team_seasons,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_average_width,delta_nll_vs_R0,delta_crps_vs_R0,delta_expected_rank_mae_vs_R0,delta_median_rank_mae_vs_R0,delta_interval_80_coverage_vs_R0,delta_interval_80_average_width_vs_R0,delta_nll_vs_R1,delta_crps_vs_R1,delta_expected_rank_mae_vs_R1,delta_median_rank_mae_vs_R1,delta_interval_80_coverage_vs_R1,delta_interval_80_average_width_vs_R1
rolling_origin,2022,2021,R0,131,4.46687895474135,0.1070808440668973,18.68027501528254,18.85496183206107,0.8258070449737882,72.09923664122137,0.0,0.0,0.0,0.0,0.0,0.0,-0.020326444641029617,-0.0019486462793328885,-0.5985678248380282,-0.8244274809160324,-0.0067138784144210595,-1.6488549618320718
rolling_origin,2022,2021,R1,131,4.48720539938238,0.10902949034623019,19.278842840120568,19.6793893129771,0.8325209233882093,73.74809160305344,0.020326444641029617,0.0019486462793328885,0.5985678248380282,0.8244274809160324,0.0067138784144210595,1.6488549618320718,0.0,0.0,0.0,0.0,0.0,0.0
rolling_origin,2022,2021,R2,131,4.456531695645112,0.1057341445234835,18.548339499137665,18.519083969465647,0.8293939115239585,71.74045801526718,-0.010347259096238126,-0.0013466995434138068,-0.13193551614487475,-0.33587786259542085,0.0035868665501702646,-0.3587786259541872,-0.030673703737267743,-0.0032953458227466953,-0.7305033409829029,-1.1603053435114532,-0.003127011864250795,-2.007633587786259
rolling_origin,2023,2022,R0,133,4.468551237350579,0.10406083971082318,19.209350371986613,19.590225563909776,0.8709611867506605,71.9172932330827,0.0,0.0,0.0,0.0,0.0,0.0,-0.03458555443685185,-0.003557363403131966,-0.8253678330784453,-0.7518796992481178,0.00934769355821985,-2.473684210526315
rolling_origin,2023,2022,R1,133,4.503136791787431,0.10761820311395515,20.034718205065058,20.342105263157894,0.8616134931924406,74.39097744360902,0.03458555443685185,0.003557363403131966,0.8253678330784453,0.7518796992481178,-0.00934769355821985,2.473684210526315,0.0,0.0,0.0,0.0,0.0,0.0
rolling_origin,2023,2022,R2,133,4.470348798140382,0.1051508274755627,19.347533524818278,19.642857142857142,0.8683194472668156,71.45864661654136,0.0017975607898028656,0.0010899877647395223,0.13818315283166527,0.052631578947366364,-0.0026417394838448294,-0.4586466165413441,-0.032787993647048985,-0.002467375638392444,-0.68718468024678,-0.6992481203007515,0.00670595407437502,-2.932330827067659
rolling_origin,2024,2023,R0,134,4.579347380759295,0.1179393845632902,20.977878422460595,21.64179104477612,0.7941414548877236,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02337906253691635,0.0016273892127355444,0.14912397365216634,0.6268656716417915,-0.018992873470485394,-2.514925373134332
rolling_origin,2024,2023,R1,134,4.555968318222378,0.11631199535055466,20.82875444880843,21.01492537313433,0.813134328358209,73.01492537313433,-0.02337906253691635,-0.0016273892127355444,-0.14912397365216634,-0.6268656716417915,0.018992873470485394,2.514925373134332,0.0,0.0,0.0,0.0,0.0,0.0
rolling_origin,2024,2023,R2,134,4.558011724910717,0.11548924452748867,20.621777693206493,21.119402985074625,0.8183084577114428,69.69402985074628,-0.021335655848577773,-0.002450140035801532,-0.3561007292541021,-0.5223880597014947,0.024167002823719197,-0.8059701492537243,0.002043406688338578,-0.0008227508230659875,-0.20697675560193574,0.10447761194029681,0.005174129353233803,-3.3208955223880565
rolling_origin,2025,2024,R0,136,4.608738296292714,0.11451622740360197,21.15256981194185,21.647058823529413,0.8126510878323933,73.45588235294117,0.0,0.0,0.0,0.0,0.0,0.0,0.043491781299490384,0.0031270130290868697,0.3893953063983737,0.7058823529411775,-0.01420225624496374,-3.088235294117652
rolling_origin,2025,2024,R1,136,4.565246514993223,0.1113892143745151,20.763174505543475,20.941176470588236,0.826853344077357,76.54411764705883,-0.043491781299490384,-0.0031270130290868697,-0.3893953063983737,-0.7058823529411775,0.01420225624496374,3.088235294117652,0.0,0.0,0.0,0.0,0.0,0.0
rolling_origin,2025,2024,R2,136,4.560369272156403,0.10878969861223615,19.981446149241616,20.235294117647058,0.8275584206285255,72.8970588235294,-0.048369024136310834,-0.005726528791365815,-1.1711236627002322,-1.411764705882355,0.014907332796132211,-0.558823529411768,-0.00487724283682045,-0.002599515762278945,-0.7817283563018584,-0.7058823529411775,0.0007050765511684709,-3.64705882352942
