season,transfer_bucket,n_team_seasons,mean_rp_contribution_nll,mean_diagnostic_minus_c0_nll,mean_c0_nll,mean_minus_rp_nll
2022,high_tertile,43,0.044099243521994146,-0.025358238605264805,4.4303439091118895,4.474443152633883
2022,low_tertile,44,0.0029512715062328916,0.017128131083312056,4.387591076929817,4.390542348436049
2022,middle_tertile,43,0.014805600703598841,-0.023691266261550926,4.568596315299523,4.583401916003123
2022,unknown,1,0.0,0.0,5.152706036514329,5.152706036514329
2023,high_tertile,43,0.00853485083172086,-0.010180626805652286,4.52084310737956,4.529377958211281
2023,low_tertile,44,0.0413103430117776,0.00589654381379742,4.463315818721483,4.504626161733261
2023,middle_tertile,44,0.048536051435084375,0.01310365525926991,4.432429639383831,4.480965690818915
2023,unknown,2,0.0,0.0,4.497210043732888,4.497210043732888
2024,high_tertile,44,-0.07605793334611764,-0.09898118555936802,4.725524574907961,4.649466641561844
2024,low_tertile,45,-0.018803577912001775,-0.008595262385841332,4.453834770039701,4.435031192127699
2024,middle_tertile,44,0.003533384358658313,0.017890306501469732,4.612411662363439,4.6159450467220955
2024,unknown,1,0.0,0.0,2.967395485388066,2.967395485388066
2025,high_tertile,44,-0.10647294020120307,-0.10728259211129565,4.899790967446653,4.79331802724545
2025,low_tertile,45,-0.013722757909835664,0.005255446587356488,4.345991091294325,4.332268333384487
2025,middle_tertile,45,-0.10392784010007274,-0.10314163079004292,4.685111934942162,4.581184094842089
2025,unknown,2,0.0,0.0,4.694137638384779,4.694137638384779
