candidate,protocol,target_seasons,n_target_seasons,n_team_seasons,candidate_nll,c0_nll,minus_rp_nll,delta_vs_c0_nll,delta_vs_minus_rp_nll,candidate_crps,c0_crps,minus_rp_crps,delta_vs_c0_crps,delta_vs_minus_rp_crps,candidate_expected_rank_mae,c0_expected_rank_mae,minus_rp_expected_rank_mae,delta_vs_c0_expected_rank_mae,delta_vs_minus_rp_expected_rank_mae,candidate_median_rank_mae,c0_median_rank_mae,minus_rp_median_rank_mae,delta_vs_c0_median_rank_mae,delta_vs_minus_rp_median_rank_mae,candidate_interval_80_coverage,c0_interval_80_coverage,minus_rp_interval_80_coverage,delta_vs_c0_interval_80_coverage,delta_vs_minus_rp_interval_80_coverage,candidate_interval_80_average_width,c0_interval_80_average_width,minus_rp_interval_80_average_width,delta_vs_c0_interval_80_average_width,delta_vs_minus_rp_interval_80_average_width,development_bootstrap
C0_full,frozen_through_2021,2022;2023;2024;2025,4,534,4.542326751937674,4.542326751937674,4.5291557346129805,0.0,0.01317101732469348,0.11194306775822213,0.11194306775822213,0.11111614140217868,0.0,0.0008269263560434672,20.16301079638477,20.16301079638477,20.226139001710077,0.0,-0.06312820532530922,20.594569288389515,20.594569288389515,20.480337078651687,0.0,0.11423220973782824,0.8249770482173018,0.8249770482173018,0.833830400940448,0.0,-0.008853352723146194,71.91947565543072,71.91947565543072,74.59737827715355,0.0,-2.6779026217228514,
C10_transfer_production,development_through_2017,2018;2019;2020;2021,4,513,4.482915313972518,4.483502733561398,4.505401642134815,-0.0005874195888794874,-0.02248632816229697,0.11199652588506678,0.1121072808988425,0.1149309548828541,-0.00011075501377571977,-0.002934428997787305,19.09585936919337,19.096830844076308,19.8937301489744,-0.0009714748829338109,-0.7978707797810283,19.86549707602339,19.89083820662768,20.50682261208577,-0.025341130604288893,-0.6413255360623789,0.8358755251988335,0.8353394628206657,0.8267756234297587,0.0005360623781676624,0.00909990176907474,71.23586744639377,71.21052631578948,72.56140350877193,0.02534113060429066,-1.3255360623781676,
C10_transfer_production,frozen_through_2021,2022;2023;2024;2025,4,534,4.516039585340363,4.542326751937674,4.5291557346129805,-0.02628716659731017,-0.01311614927261669,0.10893665903765455,0.11194306775822213,0.11111614140217868,-0.0030064087205675955,-0.002179482364524128,19.65669264524181,20.16301079638477,20.226139001710077,-0.5063181511429597,-0.5694463564682688,19.8061797752809,20.594569288389515,20.480337078651687,-0.7883895131086156,-0.6741573033707873,0.8332048266502539,0.8249770482173018,0.833830400940448,0.008227778432951941,-0.0006255742901942531,71.74157303370787,71.91947565543072,74.59737827715355,-0.17790262172283952,-2.8558052434456913,
C1_minus_rp,frozen_through_2021,2022;2023;2024;2025,4,534,4.5291557346129805,4.542326751937674,4.5291557346129805,-0.01317101732469348,0.0,0.11111614140217868,0.11194306775822213,0.11111614140217868,-0.0008269263560434672,0.0,20.226139001710077,20.16301079638477,20.226139001710077,0.06312820532530922,0.0,20.480337078651687,20.594569288389515,20.480337078651687,-0.11423220973782824,0.0,0.833830400940448,0.8249770482173018,0.833830400940448,0.008853352723146194,0.0,74.59737827715355,71.91947565543072,74.59737827715355,2.6779026217228514,0.0,
C2_transfer_volume,development_through_2017,2018;2019;2020;2021,4,513,4.4817701793897085,4.483502733561398,4.505401642134815,-0.0017325541716902394,-0.023631462745107717,0.11178460377091368,0.1121072808988425,0.1149309548828541,-0.00032267712792883923,-0.003146351111940424,19.065289346341736,19.096830844076308,19.8937301489744,-0.03154149773457341,-0.8284408026326678,19.826510721247562,19.89083820662768,20.50682261208577,-0.06432748538011729,-0.6803118908382072,0.8367770846530245,0.8353394628206657,0.8267756234297587,0.0014376218323586883,0.010001461223265767,71.30799220272904,71.21052631578948,72.56140350877193,0.0974658869395701,-1.2534113060428884,
C2_transfer_volume,frozen_through_2021,2022;2023;2024;2025,4,534,4.654935660392957,4.542326751937674,4.5291557346129805,0.11260890845528314,0.1257799257799766,0.12279119762470012,0.11194306775822213,0.11111614140217868,0.010848129866477974,0.011675056222521442,21.78982154132308,20.16301079638477,20.226139001710077,1.6268107449383091,1.5636825396129999,22.536516853932586,20.594569288389515,20.480337078651687,1.9419475655430694,2.056179775280898,0.7812328299340656,0.8249770482173018,0.833830400940448,-0.04374421828323626,-0.052597571006382446,69.80524344569288,71.91947565543072,74.59737827715355,-2.1142322097378243,-4.792134831460675,
C3_minus_rp_transfer_volume,development_through_2017,2018;2019;2020;2021,4,513,4.505980890243953,4.483502733561398,4.505401642134815,0.022478156682554765,0.0005792481091372793,0.11503105489145396,0.1121072808988425,0.1149309548828541,0.002923773992611456,0.00010010000859987177,19.949233616715652,19.096830844076308,19.8937301489744,0.8524027726393447,0.05550346774125034,20.567251461988302,19.89083820662768,20.50682261208577,0.6764132553606235,0.060428849902533555,0.8267512569580238,0.8353394628206657,0.8267756234297587,-0.008588205862641982,-2.4366471734903737e-05,72.5672514619883,71.21052631578948,72.56140350877193,1.3567251461988312,0.005847953216372939,
C3_minus_rp_transfer_volume,frozen_through_2021,2022;2023;2024;2025,4,534,4.653124458599244,4.542326751937674,4.5291557346129805,0.1107977066615706,0.12396872398626407,0.12479318355137423,0.11194306775822213,0.11111614140217868,0.012850115793152081,0.013677042149195549,22.47741820389678,20.16301079638477,20.226139001710077,2.3144074075120105,2.2512792021867014,23.278089887640448,20.594569288389515,20.480337078651687,2.683520599250936,2.797752808988765,0.7853915262390166,0.8249770482173018,0.833830400940448,-0.03958552197828526,-0.04843887470143144,71.77902621722846,71.91947565543072,74.59737827715355,-0.14044943820224304,-2.818352059925095,
C4_rp_x_transfer_volume,development_through_2017,2018;2019;2020;2021,4,513,4.4835046340457865,4.483502733561398,4.505401642134815,1.9004843890166502e-06,-0.021897008089028464,0.11210733195168984,0.1121072808988425,0.1149309548828541,5.105284734913302e-08,-0.0028236229311642356,19.096838693125104,19.096830844076308,19.8937301489744,7.849048794641485e-06,-0.7968914558492999,19.89083820662768,19.89083820662768,20.50682261208577,0.0,-0.6159844054580899,0.8353394628206657,0.8353394628206657,0.8267756234297587,0.0,0.00856383939090708,71.21442495126706,71.21052631578948,72.56140350877193,0.0038986354775819593,-1.3469785575048765,
C4_rp_x_transfer_volume,frozen_through_2021,2022;2023;2024;2025,4,534,4.532243586800571,4.542326751937674,4.5291557346129805,-0.010083165137103077,0.003087852187590403,0.11087592150792178,0.11194306775822213,0.11111614140217868,-0.0010671462503003533,-0.0002402198942568863,20.031918637091046,20.16301079638477,20.226139001710077,-0.13109215929372317,-0.19422036461903233,20.431647940074907,20.594569288389515,20.480337078651687,-0.16292134831460722,-0.04868913857677897,0.8273004396828182,0.8249770482173018,0.833830400940448,0.0023233914655164493,-0.006529961257629743,72.35955056179775,71.91947565543072,74.59737827715355,0.44007490636704705,-2.2378277153558046,
