season,candidate,control,seed,real_delta_nll_vs_c0,permuted_delta_nll_vs_c0,permuted_delta_nll_vs_real,real_delta_crps_vs_c0,permuted_delta_crps_vs_c0,permuted_delta_crps_vs_real
2022,C10_transfer_production,within_season_c10_production_permutation,7,-0.010347259096238126,0.008057170831865967,0.018404429928104094,-0.0013466995434138068,0.0010518028461341117,0.0023985023895479185
2023,C10_transfer_production,within_season_c10_production_permutation,7,0.002994299297533587,0.009917869662467993,0.006923570364934406,0.0005874945479045074,0.0011036418895035843,0.0005161473415990769
2024,C10_transfer_production,within_season_c10_production_permutation,7,-0.029513324521720286,0.01715398038048921,0.046667304902209494,-0.0033731619126883966,0.0016492114405556313,0.005022373353244028
2025,C10_transfer_production,within_season_c10_production_permutation,7,-0.06709788486777857,0.026757304415022887,0.09385518928280145,-0.007758365405639275,0.0025776797145124625,0.010336045120151738
