candidate,protocol,target_season,n_team_seasons,n_training_rows,n_training_seasons,same_population_keys,candidate_nll,c0_nll,minus_rp_nll,delta_vs_c0_nll,delta_vs_minus_rp_nll,candidate_crps,c0_crps,minus_rp_crps,delta_vs_c0_crps,delta_vs_minus_rp_crps,candidate_expected_rank_mae,c0_expected_rank_mae,minus_rp_expected_rank_mae,delta_vs_c0_expected_rank_mae,delta_vs_minus_rp_expected_rank_mae,candidate_median_rank_mae,c0_median_rank_mae,minus_rp_median_rank_mae,delta_vs_c0_median_rank_mae,delta_vs_minus_rp_median_rank_mae,candidate_interval_80_coverage,c0_interval_80_coverage,minus_rp_interval_80_coverage,delta_vs_c0_interval_80_coverage,delta_vs_minus_rp_interval_80_coverage,candidate_interval_80_average_width,c0_interval_80_average_width,minus_rp_interval_80_average_width,delta_vs_c0_interval_80_average_width,delta_vs_minus_rp_interval_80_average_width
C2_transfer_volume,frozen_through_2021,2022,131,2216,18,True,4.532546367981893,4.46687895474135,4.48720539938238,0.0656674132405426,0.045340968599512976,0.11110320135051427,0.1070808440668973,0.10902949034623019,0.004022357283616967,0.002073711004284079,19.344919637213497,18.68027501528254,19.278842840120568,0.6646446219309574,0.06607679709292924,19.374045801526716,18.85496183206107,19.6793893129771,0.5190839694656475,-0.30534351145038485,0.8105398694012692,0.8258070449737882,0.8325209233882093,-0.015267175572518998,-0.021981053986940058,68.49618320610686,72.09923664122137,73.74809160305344,-3.6030534351145036,-5.251908396946575
C2_transfer_volume,frozen_through_2021,2023,133,2216,18,True,4.579704790504318,4.4722065703866205,4.504689577465013,0.10749822011769705,0.07501521303930492,0.1173406501751181,0.10443224457695163,0.10780686300016434,0.012908405598166472,0.009533787174953762,20.810404310817134,19.27912267013667,20.10270741488041,1.531281640680465,0.7076968959367242,21.898496240601503,19.545112781954888,20.409774436090224,2.353383458646615,1.488721804511279,0.8127413127413128,0.8669985775248933,0.8614102824629141,-0.054257264783580506,-0.048668969721601285,68.45112781954887,72.1203007518797,74.6842105263158,-3.6691729323308238,-6.233082706766922
C2_transfer_volume,frozen_through_2021,2024,134,2216,18,True,4.7547530712843535,4.584023541620271,4.553894876236028,0.17072952966408295,0.20085819504832525,0.13204958931175786,0.11828325718207185,0.11602782529408148,0.013766332129686018,0.016021764017676382,23.039851226777486,21.017995994307483,20.761751998430476,2.0218552324700028,2.27809922834701,23.71641791044776,21.708955223880597,20.925373134328357,2.0074626865671625,2.791044776119403,0.7465671641791044,0.8045771144278607,0.8151243781094528,-0.058009950248756326,-0.06855721393034842,70.96268656716418,70.8731343283582,73.32835820895522,0.08955223880597885,-2.365671641791039
C2_transfer_volume,frozen_through_2021,2025,136,2216,18,True,4.748047204081128,4.642490544301942,4.569114909895332,0.10555665977918594,0.17893229418579537,0.13025756407063405,0.11772472513966825,0.11152290371307706,0.012532838930965795,0.018734660357556984,23.871002888710986,21.61321294045643,20.731580594769188,2.2577899482545547,3.1394222939417986,25.044117647058822,22.198529411764707,20.88235294117647,2.845588235294116,4.1617647058823515,0.7563456889605158,0.8031829170024174,0.8265511684125704,-0.0468372280419016,-0.07020547945205458,71.25,72.58088235294117,76.58088235294117,-1.330882352941174,-5.330882352941174
C2_transfer_volume,development_through_2017,2018,129,1703,14,True,4.438608882119784,4.43859426526967,4.459946838910857,1.4616850113391422e-05,-0.021337956791072976,0.10559668248804628,0.10559534436422642,0.10695260810626545,1.3381238198606482e-06,-0.0013559256182191642,18.415457958707808,18.41534639864679,18.845883609140852,0.00011156006101842308,-0.4304256504330439,18.914728682170544,18.914728682170544,19.13953488372093,0.0,-0.22480620155038622,0.8529367918902803,0.8529367918902803,0.8447376267143708,0.0,0.008199165175909462,69.70542635658914,69.69767441860465,71.44186046511628,0.0077519379844943614,-1.7364341085271349
C2_transfer_volume,development_through_2017,2019,130,1703,14,True,4.4280425383399,4.4280347082085045,4.470340822962781,7.83013139571409e-06,-0.042298284622880544,0.10620986542207722,0.1062089046127766,0.11275738693953084,9.60809300620813e-07,-0.006547521517453622,18.23116116545133,18.231054106651438,19.886998814209164,0.0001070587998910355,-1.655837648757835,18.81153846153846,18.81153846153846,20.342307692307692,0.0,-1.5307692307692307,0.8507064364207222,0.8507064364207222,0.836734693877551,0.0,0.01397174254317124,70.31538461538462,70.31538461538462,72.36923076923077,0.0,-2.053846153846152
C2_transfer_volume,development_through_2017,2020,127,1703,14,True,4.5684376707929655,4.56839992928216,4.595814988614702,3.774151080548904e-05,-0.02737731782173647,0.12309418081663191,0.12308934760021478,0.12694639635682511,4.833216417129971e-06,-0.0038522155401932018,19.48307464015783,19.482032420283947,20.452560488570924,0.0010422198738844202,-0.9694858484130933,20.81496062992126,20.81496062992126,21.85433070866142,0.0,-1.0393700787401592,0.791405208964264,0.791405208964264,0.7825923682616597,0.0,0.008812840702604352,70.80314960629921,70.80314960629921,71.53543307086615,0.0,-0.7322834645669332
C2_transfer_volume,development_through_2017,2021,127,1703,14,True,4.493940488650192,4.500999519773778,4.497047950050639,-0.007059031123586301,-0.0031074614004475976,0.11246682066880667,0.1137774089230926,0.1132444155097646,-0.001310588254285927,-0.0007775948409579347,20.16140100150618,20.290073908228045,20.406138212196847,-0.1286729067218637,-0.24473721069066556,20.80314960629921,21.062992125984252,20.716535433070867,-0.2598425196850407,0.08661417322834453,0.8514763779527559,0.8456692913385826,0.84251968503937,0.005807086614173285,0.008956692913385855,74.45669291338582,74.07086614173228,74.92125984251969,0.38582677165354085,-0.4645669291338663
C3_minus_rp_transfer_volume,frozen_through_2021,2022,131,2216,18,True,4.5407464614318345,4.46687895474135,4.48720539938238,0.07386750669048414,0.053541062049454524,0.11328163292114336,0.1070808440668973,0.10902949034623019,0.0062007888542460615,0.004252142574913173,19.629132081225592,18.68027501528254,19.278842840120568,0.9488570659430522,0.350289241105024,19.793893129770993,18.85496183206107,19.6793893129771,0.9389312977099245,0.1145038167938921,0.806401177227996,0.8258070449737882,0.8325209233882093,-0.019405867745792227,-0.026119746160213286,70.52671755725191,72.09923664122137,73.74809160305344,-1.5725190839694534,-3.221374045801525
C3_minus_rp_transfer_volume,frozen_through_2021,2023,133,2216,18,True,4.607152087046473,4.4722065703866205,4.504689577465013,0.13494551665985277,0.10246250958146064,0.12117670238220404,0.10443224457695163,0.10780686300016434,0.01674445780525241,0.0133698393820397,22.08498731960815,19.27912267013667,20.10270741488041,2.8058646494714807,1.98227990472774,22.981203007518797,19.545112781954888,20.409774436090224,3.436090225563909,2.571428571428573,0.8206665311928469,0.8669985775248933,0.8614102824629141,-0.04633204633204635,-0.04074375127006713,71.03007518796993,72.1203007518797,74.6842105263158,-1.0902255639097689,-3.654135338345867
