rp_component,candidate,nll,delta_nll_vs_c_minus_rp,crps,delta_crps_vs_c_minus_rp
total,rp_total_plus_transfer_production,4.5112566324662495,-0.01789910214673185,0.1082934593310095,-0.0028226820711691747
passing,rp_passing_plus_transfer_production,4.524256115227356,-0.004899619385625442,0.11074093276545577,-0.0003752086367229124
receiving,rp_receiving_plus_transfer_production,4.5270529209707355,-0.0021028136422458488,0.11084799629804089,-0.000268145104137793
rushing,rp_rushing_plus_transfer_production,4.524481025028236,-0.004674709584745251,0.11077264973267459,-0.0003434916695040924
