season,team_id,team_name,transfer_bucket,transfer_in_count,transfer_in_weighted_rating_sum,transfer_in_prior_usage_sum,transfer_in_count_qb,transfer_data_available,c0_nll,minus_rp_nll,selected_transfer_nll,rp_contribution_nll,selected_minus_c0_nll
2022,103,Boston College,high_4_plus,4.0,1.7,0.028,0.0,1.0,4.988416435909931,4.965825873887268,5.354534654309159,-0.022590562022663185,0.36611821839922776
2022,113,Massachusetts,high_4_plus,19.0,9.3465,0.129,0.0,1.0,2.7893032468145726,2.5083673090928156,3.180477227582691,-0.28093593772175707,0.3911739807681185
2022,12,Arizona,high_4_plus,8.0,6.348,0.669,1.0,1.0,4.815389729062993,4.7281651696071405,4.759188572562769,-0.08722455945585228,-0.05620115650022406
2022,120,Maryland,high_4_plus,6.0,1.638,0.064,1.0,1.0,4.392780878255158,4.420806291994793,4.63316005889968,0.028025413739634963,0.24037918064452235
2022,127,Michigan State,high_4_plus,10.0,5.965,0.358,0.0,1.0,5.4688832310662905,5.361289084665545,6.108852136166315,-0.1075941464007455,0.6399689051000248
2022,130,Michigan,medium_1_3,3.0,2.7,,0.0,1.0,2.3859922896652583,2.6111781452702028,2.901271550202573,0.22518585560494442,0.5152792605373149
2022,135,Minnesota,high_4_plus,8.0,4.974,,0.0,1.0,4.2036802235064865,4.2536154477351005,4.327673892562531,0.04993522422861396,0.12399366905604481
2022,142,Missouri,high_4_plus,13.0,10.202,0.166,1.0,1.0,4.579346729216468,4.587484095265392,4.706418700100372,0.008137366048924122,0.12707197088390387
2022,145,Ole Miss,high_4_plus,17.0,14.454,0.9420000000000001,1.0,1.0,4.322629781404671,4.159111337078426,4.222780476280831,-0.16351844432624496,-0.09984930512383983
2022,150,Duke,high_4_plus,8.0,2.042,,0.0,1.0,5.837661232666025,5.4392555321611,6.1989150598577485,-0.39840570050492463,0.3612538271917236
2022,151,East Carolina,high_4_plus,14.0,5.8,0.125,0.0,1.0,4.64426516269969,4.680113608832099,4.603914563951759,0.035848446132408895,-0.04035059874793134
2022,152,NC State,medium_1_3,2.0,1.6440000000000001,0.049,0.0,1.0,4.431900367332098,4.437405336152017,4.418453421333873,0.005504968819919576,-0.013446945998224713
2022,153,North Carolina,high_4_plus,5.0,4.193,,0.0,1.0,4.486234851321755,4.497934734029796,4.484548785873518,0.01169988270804101,-0.0016860654482373505
