season,total_portal_records,records_with_destination,records_with_transfer_date,records_on_or_before_cutoff,incoming_fbs_transfers,incoming_from_fbs_source,incoming_from_non_fbs_or_unrecognized_source,incoming_fbs_with_exact_successful_join,incoming_fbs_with_alias_successful_join,failed_prior_usage_joins,ambiguous_joins,usage_records_without_value,source_team_mismatches,missing_usage_records,normalization_changed_matches,portal_normalized_name_collision_keys,portal_records_in_normalized_name_collisions,usage_normalized_name_collision_keys,destination_alias_matches,origin_alias_matches,recoverable_source_usage_mass,recoverable_unique_usage_mass,any_name_usage_mass,usage_weighted_join_coverage_proxy,usage_weighted_denominator_definition
2021,1770,1053,1770,1770,816,737,79,173,0,643,2,0,7,634,4,0,0,31,0,0,24.97,24.686,26.137,0.9444848299345755,"unique numeric usage records whose normalized player name appears in at least one in-scope transfer; the numerator additionally requires a unique source-team/player join. This is a recoverable identity-resolution proxy, not a full-population denominator."
2022,2273,1367,2273,2268,1089,964,125,257,0,832,2,0,17,813,2,1,2,32,0,0,36.312,35.222,37.657000000000004,0.9353373874711208,"unique numeric usage records whose normalized player name appears in at least one in-scope transfer; the numerator additionally requires a unique source-team/player join. This is a recoverable identity-resolution proxy, not a full-population denominator."
2023,2502,1607,2502,2502,1418,1218,200,362,0,1056,5,0,19,1032,8,0,0,43,0,0,50.281,48.051,52.333,0.9181778227886802,"unique numeric usage records whose normalized player name appears in at least one in-scope transfer; the numerator additionally requires a unique source-team/player join. This is a recoverable identity-resolution proxy, not a full-population denominator."
2024,3378,2654,3378,3378,2066,1712,354,473,0,1593,3,0,27,1563,10,1,2,44,0,0,64.792,64.16,67.438,0.9513923900471544,"unique numeric usage records whose normalized player name appears in at least one in-scope transfer; the numerator additionally requires a unique source-team/player join. This is a recoverable identity-resolution proxy, not a full-population denominator."
2025,4499,3770,4499,4497,2905,2271,634,557,0,2348,13,0,54,2281,6,0,0,45,0,0,67.807,63.311,73.976,0.8558316210662917,"unique numeric usage records whose normalized player name appears in at least one in-scope transfer; the numerator additionally requires a unique source-team/player join. This is a recoverable identity-resolution proxy, not a full-population denominator."
