season,field,raw_name,normalized_name,team_id,canonical_name,match_method,record_count
2023,destination,Ole Miss,ole miss,145,Ole Miss,exact_normalized_name,25
2023,destination,Oregon,oregon,2483,Oregon,exact_normalized_name,15
2023,destination,Oregon State,oregon state,204,Oregon State,exact_normalized_name,7
2023,destination,Palomar College,palomar college,,,not_in_fbs_population_or_unrecognized,1
2023,destination,Penn State,penn state,213,Penn State,exact_normalized_name,6
2023,destination,Pittsburgh,pittsburgh,221,Pittsburgh,exact_normalized_name,7
2023,destination,Portland State,portland state,,,not_in_fbs_population_or_unrecognized,4
2023,destination,Professional,professional,,,not_in_fbs_population_or_unrecognized,2
2023,destination,Purdue,purdue,2509,Purdue,exact_normalized_name,15
2023,destination,Rhode Island,rhode island,,,not_in_fbs_population_or_unrecognized,4
2023,destination,Rice,rice,242,Rice,exact_normalized_name,5
2023,destination,Riverside C.C.,riverside c c,,,not_in_fbs_population_or_unrecognized,1
2023,destination,Robert Morris,robert morris,,,not_in_fbs_population_or_unrecognized,3
2023,destination,Rutgers,rutgers,164,Rutgers,exact_normalized_name,7
2023,destination,SE Louisiana,se louisiana,,,not_in_fbs_population_or_unrecognized,2
2023,destination,SMU,smu,2567,SMU,exact_normalized_name,26
2023,destination,Sacramento State,sacramento state,,,not_in_fbs_population_or_unrecognized,1
2023,destination,Sam Houston,sam houston,2534,Sam Houston,exact_normalized_name,5
2023,destination,Samford,samford,,,not_in_fbs_population_or_unrecognized,1
2023,destination,San Diego State,san diego state,21,San Diego State,exact_normalized_name,5
2023,destination,San José State,san josé state,23,San José State,exact_normalized_name,7
2023,destination,Snow College,snow college,,,not_in_fbs_population_or_unrecognized,1
2023,destination,South Alabama,south alabama,6,South Alabama,exact_normalized_name,9
2023,destination,South Carolina,south carolina,2579,South Carolina,exact_normalized_name,10
2023,destination,South Dakota State,south dakota state,,,not_in_fbs_population_or_unrecognized,1
2023,destination,South Florida,south florida,58,South Florida,exact_normalized_name,19
2023,destination,Southern Illinois,southern illinois,,,not_in_fbs_population_or_unrecognized,2
2023,destination,Southern Miss,southern miss,2572,Southern Miss,exact_normalized_name,8
2023,destination,Southern Utah,southern utah,,,not_in_fbs_population_or_unrecognized,1
2023,destination,St. Thomas,st thomas,,,not_in_fbs_population_or_unrecognized,1
2023,destination,Stanford,stanford,24,Stanford,exact_normalized_name,4
2023,destination,Stephen F. Austin,stephen f austin,,,not_in_fbs_population_or_unrecognized,3
2023,destination,Stony Brook,stony brook,,,not_in_fbs_population_or_unrecognized,7
2023,destination,Syracuse,syracuse,183,Syracuse,exact_normalized_name,9
2023,destination,TCU,tcu,2628,TCU,exact_normalized_name,13
2023,destination,Tarleton State,tarleton state,,,not_in_fbs_population_or_unrecognized,2
2023,destination,Temple,temple,218,Temple,exact_normalized_name,11
2023,destination,Tennessee,tennessee,2633,Tennessee,exact_normalized_name,8
2023,destination,Tennessee State,tennessee state,,,not_in_fbs_population_or_unrecognized,1
2023,destination,Texas,texas,251,Texas,exact_normalized_name,5
2023,destination,Texas A&M,texas aandm,245,Texas A&M,exact_normalized_name,13
2023,destination,Texas Southern,texas southern,,,not_in_fbs_population_or_unrecognized,2
2023,destination,Texas State,texas state,326,Texas State,exact_normalized_name,37
2023,destination,Texas Tech,texas tech,2641,Texas Tech,exact_normalized_name,7
2023,destination,Toledo,toledo,2649,Toledo,exact_normalized_name,3
2023,destination,Towson,towson,,,not_in_fbs_population_or_unrecognized,1
2023,destination,Troy,troy,2653,Troy,exact_normalized_name,8
2023,destination,Tulane,tulane,2655,Tulane,exact_normalized_name,7
2023,destination,Tulsa,tulsa,202,Tulsa,exact_normalized_name,8
2023,destination,Tusculum,tusculum,,,not_in_fbs_population_or_unrecognized,1
2023,destination,UAB,uab,5,UAB,exact_normalized_name,7
2023,destination,UAlbany,ualbany,,,not_in_fbs_population_or_unrecognized,1
2023,destination,UCF,ucf,2116,UCF,exact_normalized_name,18
2023,destination,UCLA,ucla,26,UCLA,exact_normalized_name,14
2023,destination,UConn,uconn,41,UConn,exact_normalized_name,12
2023,destination,UL Monroe,ul monroe,2433,UL Monroe,exact_normalized_name,7
2023,destination,UNLV,unlv,2439,UNLV,exact_normalized_name,9
2023,destination,USC,usc,30,USC,exact_normalized_name,16
2023,destination,UT Martin,ut martin,,,not_in_fbs_population_or_unrecognized,1
2023,destination,UTEP,utep,2638,UTEP,exact_normalized_name,2
2023,destination,UTSA,utsa,2636,UTSA,exact_normalized_name,8
2023,destination,Utah,utah,254,Utah,exact_normalized_name,9
2023,destination,Utah State,utah state,328,Utah State,exact_normalized_name,7
2023,destination,Valdosta State,valdosta state,,,not_in_fbs_population_or_unrecognized,2
2023,destination,Vanderbilt,vanderbilt,238,Vanderbilt,exact_normalized_name,3
2023,destination,Virginia,virginia,258,Virginia,exact_normalized_name,8
2023,destination,Virginia Tech,virginia tech,259,Virginia Tech,exact_normalized_name,9
2023,destination,Wagner,wagner,,,not_in_fbs_population_or_unrecognized,1
2023,destination,Wake Forest,wake forest,154,Wake Forest,exact_normalized_name,3
2023,destination,Washington,washington,264,Washington,exact_normalized_name,10
2023,destination,Washington State,washington state,265,Washington State,exact_normalized_name,9
2023,destination,Weber State,weber state,,,not_in_fbs_population_or_unrecognized,2
2023,destination,West Virginia,west virginia,277,West Virginia,exact_normalized_name,14
2023,destination,Western Carolina,western carolina,,,not_in_fbs_population_or_unrecognized,1
2023,destination,Western Kentucky,western kentucky,98,Western Kentucky,exact_normalized_name,12
2023,destination,Western Michigan,western michigan,2711,Western Michigan,exact_normalized_name,6
2023,destination,Wisconsin,wisconsin,275,Wisconsin,exact_normalized_name,14
2023,destination,Wyoming,wyoming,2751,Wyoming,exact_normalized_name,3
2023,origin,Abilene Christian,abilene christian,,,not_in_fbs_population_or_unrecognized,2
2023,origin,Air Force,air force,2005,Air Force,exact_normalized_name,8
2023,origin,Akron,akron,2006,Akron,exact_normalized_name,12
2023,origin,Alabama,alabama,333,Alabama,exact_normalized_name,21
2023,origin,Alabama State,alabama state,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Angelo State,angelo state,,,not_in_fbs_population_or_unrecognized,3
2023,origin,App State,app state,2026,App State,exact_normalized_name,14
2023,origin,Arizona,arizona,12,Arizona,exact_normalized_name,26
2023,origin,Arizona State,arizona state,9,Arizona State,exact_normalized_name,30
2023,origin,Arkansas,arkansas,8,Arkansas,exact_normalized_name,31
2023,origin,Arkansas State,arkansas state,2032,Arkansas State,exact_normalized_name,13
2023,origin,Army,army,349,Army,exact_normalized_name,1
2023,origin,Assumption,assumption,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Auburn,auburn,2,Auburn,exact_normalized_name,21
2023,origin,Austin Peay,austin peay,,,not_in_fbs_population_or_unrecognized,4
2023,origin,BYU,byu,252,BYU,exact_normalized_name,21
2023,origin,Ball State,ball state,2050,Ball State,exact_normalized_name,10
2023,origin,Baylor,baylor,239,Baylor,exact_normalized_name,12
2023,origin,Boise State,boise state,68,Boise State,exact_normalized_name,17
2023,origin,Boston College,boston college,103,Boston College,exact_normalized_name,11
2023,origin,Bowling Green,bowling green,189,Bowling Green,exact_normalized_name,16
2023,origin,Bryant,bryant,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Bucknell,bucknell,,,not_in_fbs_population_or_unrecognized,2
2023,origin,Buffalo,buffalo,2084,Buffalo,exact_normalized_name,14
2023,origin,Cal Poly,cal poly,,,not_in_fbs_population_or_unrecognized,3
2023,origin,California,california,25,California,exact_normalized_name,26
2023,origin,"California, Pa.",california pa,,,not_in_fbs_population_or_unrecognized,2
2023,origin,Campbell,campbell,,,not_in_fbs_population_or_unrecognized,3
2023,origin,Central Michigan,central michigan,2117,Central Michigan,exact_normalized_name,11
2023,origin,Central Missouri,central missouri,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Central Washington,central washington,,,not_in_fbs_population_or_unrecognized,1
2023,origin,Charlotte,charlotte,2429,Charlotte,exact_normalized_name,21
2023,origin,Cincinnati,cincinnati,2132,Cincinnati,exact_normalized_name,25
2023,origin,Clemson,clemson,228,Clemson,exact_normalized_name,11
2023,origin,Coastal Carolina,coastal carolina,324,Coastal Carolina,exact_normalized_name,19
2023,origin,Colgate,colgate,,,not_in_fbs_population_or_unrecognized,2
