candidate,target_season,n_team_seasons,nll,delta_vs_D0_nll,crps,delta_vs_D0_crps,expected_rank_mae,delta_vs_D0_expected_rank_mae,median_rank_mae,delta_vs_D0_median_rank_mae,interval_80_coverage,delta_vs_D0_interval_80_coverage,interval_80_average_width,delta_vs_D0_interval_80_average_width
D0_C0_full,aggregate,534,4.542326751937674,0.0,0.11194306775822215,0.0,20.16301079638477,0.0,20.594569288389515,0.0,0.8249770482173018,0.0,71.91947565543072,0.0
D1_no_returning_production,aggregate,534,4.529155734612981,-0.013171017324692613,0.11111614140217868,-0.0008269263560434642,20.226139001710077,0.06312820532530594,20.480337078651687,-0.11423220973782833,0.833830400940448,0.008853352723146246,74.59737827715355,2.6779026217228363
D2_total_rp_only,aggregate,534,4.535361000659863,-0.006965751277810739,0.11107627633737303,-0.0008667914208491112,20.033790830306792,-0.12921996607797936,20.433520599250937,-0.16104868913857828,0.8269578995018354,0.0019808512845336246,72.34269662921348,0.4232209737827617
D3_incoming_transfer_production_only,aggregate,534,4.526288526896159,-0.016038225041515197,0.11097512860845649,-0.0009679391497656592,20.120218867982082,-0.042791928402689194,20.435393258426966,-0.15917602996254843,0.8326719954459356,0.007694947228633842,74.01498127340824,2.0955056179775227
D4_outgoing_transfer_production_only,aggregate,534,4.530920840943353,-0.011405910994320756,0.11134206593230964,-0.0006010018259125088,20.256906897063782,0.09389610067901089,20.510299625468164,-0.08426966292135063,0.8327997079009316,0.007822659683629829,74.64232209737828,2.722846441947567
D5_total_rp_plus_incoming,aggregate,534,4.5080806299545095,-0.03424612198316446,0.10798618291065663,-0.003956884847565512,19.489574646043323,-0.6734361503414483,19.675093632958802,-0.9194756554307126,0.8377027739003331,0.01272572568303132,71.95880149812734,0.03932584269662698
D6_total_rp_plus_outgoing,aggregate,534,4.530205438910354,-0.012121313027320113,0.11044266684708215,-0.0015004009111399957,19.986975107574317,-0.17603568881045462,20.23876404494382,-0.355805243445694,0.823369151616554,-0.0016078966007477824,73.07677902621722,1.157303370786508
D7_total_rp_plus_incoming_plus_outgoing,aggregate,534,4.509936363931636,-0.03239038800603833,0.10817476947447598,-0.0037682982837461687,19.585003154433362,-0.5780076419514089,19.68445692883895,-0.9101123595505634,0.8343278262342112,0.009350778016909422,72.47191011235955,0.552434456928836
D8_existing_c10,aggregate,534,4.516039585340365,-0.02628716659730923,0.10893665903765455,-0.003006408720567594,19.656692645241808,-0.5063181511429633,19.8061797752809,-0.7883895131086156,0.8332048266502536,0.00822777843295186,71.74157303370787,-0.17790262172285054
