candidate,feature,input_mean,input_scale,location_coefficient_standardized,location_missingness_coefficient,log_scale_coefficient_standardized,log_scale_missingness_coefficient,training_observed_n,training_missing_n
D2_total_rp_only,returning_pct_ppa,0.6294837545126355,0.1698476427794769,-0.20157712434574826,0.006593952326134031,0.0,0.0,1021,1195
D3_incoming_transfer_production_only,transfer_in_prior_usage_sum,0.18544900722021657,0.05406517759720462,-0.023964900427966777,0.028486426640676712,0.0,0.0,94,2122
D4_outgoing_transfer_production_only,transfer_out_prior_usage_sum,0.21498781588447655,0.06452714241205028,-0.002051570465048756,0.06425044759700228,0.0,0.0,105,2111
D5_total_rp_plus_incoming,returning_pct_ppa,0.6294837545126355,0.1698476427794769,-0.2041858833275452,0.006320949168478655,0.0,0.0,1021,1195
D5_total_rp_plus_incoming,transfer_in_prior_usage_sum,0.18544900722021657,0.05406517759720462,-0.03738748722763817,-0.07130208142149533,0.0,0.0,94,2122
D6_total_rp_plus_outgoing,returning_pct_ppa,0.6294837545126355,0.1698476427794769,-0.20590978350259115,0.008071950298366076,0.0,0.0,1021,1195
D6_total_rp_plus_outgoing,transfer_out_prior_usage_sum,0.21498781588447655,0.06452714241205028,-0.03172584193458987,-0.0591749561618537,0.0,0.0,105,2111
D7_total_rp_plus_incoming_plus_outgoing,returning_pct_ppa,0.6294837545126355,0.1698476427794769,-0.2066653893133305,0.007495435380757569,0.0,0.0,1021,1195
D7_total_rp_plus_incoming_plus_outgoing,transfer_in_prior_usage_sum,0.18544900722021657,0.05406517759720462,-0.030495321593446787,-0.05873455510729406,0.0,0.0,94,2122
D7_total_rp_plus_incoming_plus_outgoing,transfer_out_prior_usage_sum,0.21498781588447655,0.06452714241205028,-0.020855062702474846,-0.044861365534747545,0.0,0.0,105,2111
D8_existing_c10,returning_pct_ppa,0.6294837545126355,0.1698476427794769,-0.15646433968844403,0.0033598971246376246,0.0,0.0,1021,1195
D8_existing_c10,returning_pct_passing_ppa,0.6054986462093862,3.4153150663893,-0.025346315400113163,0.0033598971246376246,0.0,0.0,1021,1195
D8_existing_c10,returning_pct_receiving_ppa,0.6281601985559566,0.1443042847345163,-0.07526456779163822,0.0033598971246376246,0.0,0.0,1021,1195
D8_existing_c10,returning_pct_rushing_ppa,0.6187107400722022,2.3934258477381567,-0.0005197203956131459,0.003359897124632496,0.0,0.0,1021,1195
D8_existing_c10,transfer_in_prior_usage_sum,0.18544900722021657,0.05406517759720462,-0.03905022141107544,-0.16982977025271076,0.0,0.0,94,2122
D8_existing_c10,transfer_net_prior_usage,-0.01792599277978341,0.05569594100319156,0.005119190913621487,0.0750682014674069,0.0,0.0,77,2139
