candidate,target_season,n_team_seasons,nll,delta_vs_D0_nll,crps,delta_vs_D0_crps,expected_rank_mae,delta_vs_D0_expected_rank_mae,median_rank_mae,delta_vs_D0_median_rank_mae,interval_80_coverage,delta_vs_D0_interval_80_coverage,interval_80_average_width,delta_vs_D0_interval_80_average_width
D0_C0_full,2022,131,4.46687895474135,0.0,0.1070808440668973,0.0,18.68027501528254,0.0,18.85496183206107,0.0,0.8258070449737882,0.0,72.09923664122137,0.0
D0_C0_full,2023,133,4.4722065703866205,0.0,0.10443224457695163,0.0,19.27912267013667,0.0,19.545112781954888,0.0,0.8669985775248933,0.0,72.1203007518797,0.0
D0_C0_full,2024,134,4.584023541620271,0.0,0.11828325718207185,0.0,21.017995994307483,0.0,21.708955223880597,0.0,0.8045771144278607,0.0,70.8731343283582,0.0
D0_C0_full,2025,136,4.642490544301942,0.0,0.11772472513966825,0.0,21.61321294045643,0.0,22.198529411764707,0.0,0.8031829170024174,0.0,72.58088235294117,0.0
D1_no_returning_production,2022,131,4.48720539938238,0.020326444641029617,0.10902949034623019,0.0019486462793328885,19.278842840120568,0.5985678248380282,19.6793893129771,0.8244274809160324,0.8325209233882093,0.0067138784144210595,73.74809160305344,1.6488549618320718
D1_no_returning_production,2023,133,4.504689577465013,0.032483007078392134,0.10780686300016434,0.0033746184232127108,20.10270741488041,0.8235847447437408,20.409774436090224,0.864661654135336,0.8614102824629141,-0.0055882950619792204,74.6842105263158,2.563909774436098
D1_no_returning_production,2024,134,4.553894876236028,-0.030128665384242304,0.11602782529408148,-0.002255431887990364,20.761751998430476,-0.2562439958770071,20.925373134328357,-0.7835820895522403,0.8151243781094528,0.01054726368159209,73.32835820895522,2.4552238805970177
D1_no_returning_production,2025,136,4.569114909895332,-0.07337563440660944,0.11152290371307706,-0.006201821426591189,20.731580594769188,-0.8816323456872439,20.88235294117647,-1.3161764705882355,0.8265511684125704,0.023368251410152974,76.58088235294117,4.0
D2_total_rp_only,2022,131,4.469371008158963,0.0024920534176127163,0.10744159525810061,0.00036075119120330956,18.756947185320904,0.07667217003836413,18.900763358778626,0.04580152671755755,0.8253471902878691,-0.0004598546859191366,72.17557251908397,0.0763358778626042
D2_total_rp_only,2023,133,4.467915468052616,-0.004291102334004648,0.10345350199929651,-0.0009787425776551228,19.09213870282392,-0.1869839673127487,19.3796992481203,-0.16541353383458812,0.873501320869742,0.006502743344848683,72.57894736842105,0.4586466165413583
D2_total_rp_only,2024,134,4.58039277324683,-0.0036307683734406737,0.11800369728858147,-0.0002795598934903776,20.952167010967468,-0.06582898334001541,21.53731343283582,-0.1716417910447774,0.8027860696517413,-0.0017910447761194659,71.2089552238806,0.3358208955223887
D2_total_rp_only,2025,136,4.620513113363747,-0.02197743093819504,0.11520640722624755,-0.002518317913420706,21.279701435011535,-0.3335115054448963,21.852941176470587,-0.34558823529411953,0.806809024979855,0.003626107977437565,73.38970588235294,0.808823529411768
D3_incoming_transfer_production_only,2022,131,4.489126391367272,0.022247436625921324,0.10901833787944305,0.0019374938125457514,19.11377888355316,0.4335038682706198,19.541984732824428,0.6870229007633597,0.8341764002575186,0.008369355283730395,73.31297709923665,1.2137404580152804
D3_incoming_transfer_production_only,2023,133,4.512463964698299,0.04025739431167885,0.10934307563243015,0.004910831055478515,20.16444996631064,0.8853272961739727,20.43984962406015,0.8947368421052637,0.8548059337533022,-0.012192643771591127,74.22556390977444,2.10526315789474
