comparison,candidate,reference,n_team_seasons,delta_nll,delta_crps,delta_expected_rank_mae,delta_median_rank_mae,delta_interval_80_coverage,delta_interval_80_average_width
incoming_unconditional,D3_incoming_transfer_production_only,D1_no_returning_production,534,-0.002867207716822584,-0.000141012793722195,-0.10592013372799514,-0.0449438202247201,-0.0011584054945124045,-0.5823970037453137
outgoing_unconditional,D4_outgoing_transfer_production_only,D1_no_returning_production,534,0.0017651063303718573,0.00022592453013095537,0.030767895353704944,0.029962546816477698,-0.0010306930395164171,0.04494382022473076
incoming_conditional_on_rp,D5_total_rp_plus_incoming,D2_total_rp_only,534,-0.027280370705353718,-0.0030900934267164004,-0.544216184263469,-0.7584269662921344,0.010744874398497695,-0.3838951310861347
outgoing_conditional_on_rp,D6_total_rp_plus_outgoing,D2_total_rp_only,534,-0.005155561749509374,-0.0006336094902908845,-0.04681572273247525,-0.1947565543071157,-0.003588747885281407,0.7340823970037462
outgoing_beyond_rp_plus_incoming,D7_total_rp_plus_incoming_plus_outgoing,D5_total_rp_plus_incoming,534,0.0018557339771261283,0.0001885865638193429,0.09542850839003947,0.00936329588014928,-0.003374947666121897,0.513108614232209
simplified_vs_c10,D5_total_rp_plus_incoming,D8_existing_c10,534,-0.007958955385855226,-0.0009504761269979178,-0.16711799919848502,-0.13108614232209703,0.004497947250079459,0.21722846441947752
