comparison,candidate,reference,scope,n_team_seasons,mean_delta_nll,median_delta_nll,fraction_team_seasons_improved
E6_vs_E6M,E6_D5_plus_experience_plus_impact,E6-M_availability_only,2023,133,0.004213142556317443,0.0,0.48872180451127817
E6_vs_E6M,E6_D5_plus_experience_plus_impact,E6-M_availability_only,2024,134,-0.0001269710525998662,0.0007781859822875159,0.44776119402985076
E6_vs_E6M,E6_D5_plus_experience_plus_impact,E6-M_availability_only,2025,136,-0.007884258443706719,-6.564480249870996e-05,0.5
E4M_vs_E2,E4-M_experience_availability_only,E2_D5,aggregate,534,0.0008249911174655347,0.0,0.4943820224719101
E4M_vs_E2,E4-M_experience_availability_only,E2_D5,2022,131,-0.0017838498141287502,-0.0011575920198243494,0.5419847328244275
E4M_vs_E2,E4-M_experience_availability_only,E2_D5,2023,133,0.0006096263596159065,0.0013483202231068248,0.43609022556390975
E4M_vs_E2,E4-M_experience_availability_only,E2_D5,2024,134,0.001603445741546689,-0.0017762969246226668,0.5373134328358209
E4M_vs_E2,E4-M_experience_availability_only,E2_D5,2025,136,0.0027815260822153668,0.0009112085848315132,0.4632352941176471
E5M_vs_E2,E5-M_impact_availability_only,E2_D5,aggregate,534,0.0008249911174655347,0.0,0.4943820224719101
E5M_vs_E2,E5-M_impact_availability_only,E2_D5,2022,131,-0.0017838498141287502,-0.0011575920198243494,0.5419847328244275
E5M_vs_E2,E5-M_impact_availability_only,E2_D5,2023,133,0.0006096263596159065,0.0013483202231068248,0.43609022556390975
E5M_vs_E2,E5-M_impact_availability_only,E2_D5,2024,134,0.001603445741546689,-0.0017762969246226668,0.5373134328358209
E5M_vs_E2,E5-M_impact_availability_only,E2_D5,2025,136,0.0027815260822153668,0.0009112085848315132,0.4632352941176471
E6M_vs_E2,E6-M_availability_only,E2_D5,aggregate,534,0.0008291576579233347,0.0,0.49625468164794007
E6M_vs_E2,E6-M_availability_only,E2_D5,2022,131,-0.001777922262272579,-0.0011824339288626362,0.549618320610687
E6M_vs_E2,E6-M_availability_only,E2_D5,2023,133,0.0005960625773758818,0.0013567616439109642,0.43609022556390975
E6M_vs_E2,E6-M_availability_only,E2_D5,2024,134,0.0016014080726894108,-0.001769977512385168,0.5373134328358209
E6M_vs_E2,E6-M_availability_only,E2_D5,2025,136,0.002807448537922024,0.0008901777400742716,0.4632352941176471
E4_vs_E4P,E4_D5_plus_defensive_experience,E4P_experience_within_season_permutation,aggregate,534,-0.0016407674502643848,0.00010572529346619675,0.4850187265917603
E4_vs_E4P,E4_D5_plus_defensive_experience,E4P_experience_within_season_permutation,2022,131,0.006726969163382822,0.0005090834564791535,0.4580152671755725
E4_vs_E4P,E4_D5_plus_defensive_experience,E4P_experience_within_season_permutation,2023,133,0.0012132941306951502,0.0,0.48872180451127817
E4_vs_E4P,E4_D5_plus_defensive_experience,E4P_experience_within_season_permutation,2024,134,-0.003015765785535438,0.00016989110282805697,0.47761194029850745
E4_vs_E4P,E4_D5_plus_defensive_experience,E4P_experience_within_season_permutation,2025,136,-0.011137193257095864,-0.00011769001298889137,0.5147058823529411
E5_vs_E5P,E5_D5_plus_defensive_impact,E5P_impact_within_season_permutation,aggregate,534,0.0012039542455972913,0.0,0.49250936329588013
E5_vs_E5P,E5_D5_plus_defensive_impact,E5P_impact_within_season_permutation,2022,131,-0.004997501919635209,-5.079587088818727e-05,0.5114503816793893
E5_vs_E5P,E5_D5_plus_defensive_impact,E5P_impact_within_season_permutation,2023,133,0.002780665282863003,-0.0001409928300821761,0.5263157894736842
E5_vs_E5P,E5_D5_plus_defensive_impact,E5P_impact_within_season_permutation,2024,134,0.0008449119994228973,6.037864524288672e-05,0.4701492537313433
E5_vs_E5P,E5_D5_plus_defensive_impact,E5P_impact_within_season_permutation,2025,136,0.0059892472652773405,4.460525131677606e-05,0.4632352941176471
E6_vs_E6P,E6_D5_plus_experience_plus_impact,E6P_defense_within_season_permutation,aggregate,534,-0.0017499822962165103,5.8786505710006765e-06,0.4887640449438202
E6_vs_E6P,E6_D5_plus_experience_plus_impact,E6P_defense_within_season_permutation,2022,131,-0.00015411209103190608,-0.0002152334575109549,0.5114503816793893
E6_vs_E6P,E6_D5_plus_experience_plus_impact,E6P_defense_within_season_permutation,2023,133,0.00536565335920481,0.00022478506222434191,0.48120300751879697
E6_vs_E6P,E6_D5_plus_experience_plus_impact,E6P_defense_within_season_permutation,2024,134,-0.0015704383916365,0.00045466797265336645,0.44776119402985076
E6_vs_E6P,E6_D5_plus_experience_plus_impact,E6P_defense_within_season_permutation,2025,136,-0.010422757459921952,-0.00017264012146034347,0.5147058823529411
