comparison,season,subdivision,team_id,team_name,candidate,reference,candidate_nll,reference_nll,candidate_minus_reference_nll
E4_vs_E2,2022,fbs,103,Boston College,E4_D5_plus_defensive_experience,E2_D5,4.6861835334653765,4.793747892282249,-0.10756435881687221
E4_vs_E2,2022,fbs,113,Massachusetts,E4_D5_plus_defensive_experience,E2_D5,2.676654409405756,2.592652228377728,0.08400218102802803
E4_vs_E2,2022,fbs,12,Arizona,E4_D5_plus_defensive_experience,E2_D5,4.693181950244128,4.68113452526869,0.01204742497543787
E4_vs_E2,2022,fbs,120,Maryland,E4_D5_plus_defensive_experience,E2_D5,4.412604896239341,4.433042459814765,-0.020437563575423923
E4_vs_E2,2022,fbs,127,Michigan State,E4_D5_plus_defensive_experience,E2_D5,5.876858931516897,5.520797706065371,0.3560612254515263
E4_vs_E2,2022,fbs,130,Michigan,E4_D5_plus_defensive_experience,E2_D5,2.441250629266812,2.442061465270898,-0.0008108360040859353
E4_vs_E2,2022,fbs,135,Minnesota,E4_D5_plus_defensive_experience,E2_D5,4.205059437572448,4.205766915496461,-0.0007074779240134887
E4_vs_E2,2022,fbs,142,Missouri,E4_D5_plus_defensive_experience,E2_D5,4.586154130198953,4.596570269826954,-0.010416139628001808
E4_vs_E2,2022,fbs,145,Ole Miss,E4_D5_plus_defensive_experience,E2_D5,4.159875615903713,4.1589640278275315,0.0009115880761818573
E4_vs_E2,2022,fbs,150,Duke,E4_D5_plus_defensive_experience,E2_D5,5.867758436210577,5.869961417401547,-0.002202981190969844
E4_vs_E2,2022,fbs,151,East Carolina,E4_D5_plus_defensive_experience,E2_D5,4.642841496458847,4.658474390183437,-0.015632893724589536
E4_vs_E2,2022,fbs,152,NC State,E4_D5_plus_defensive_experience,E2_D5,4.423385258550704,4.419799907229224,0.0035853513214805233
E4_vs_E2,2022,fbs,153,North Carolina,E4_D5_plus_defensive_experience,E2_D5,4.49824767745662,4.500459539180241,-0.002211861723621311
E4_vs_E2,2022,fbs,154,Wake Forest,E4_D5_plus_defensive_experience,E2_D5,4.3297514758178774,4.333866402958978,-0.0041149271411002886
E4_vs_E2,2022,fbs,158,Nebraska,E4_D5_plus_defensive_experience,E2_D5,4.7743697385198836,4.769669619391025,0.004700119128858482
E4_vs_E2,2022,fbs,164,Rutgers,E4_D5_plus_defensive_experience,E2_D5,4.57674277510715,4.645260900473408,-0.0685181253662579
E4_vs_E2,2022,fbs,166,New Mexico State,E4_D5_plus_defensive_experience,E2_D5,4.594931804025202,4.640782464553352,-0.04585066052815012
E4_vs_E2,2022,fbs,167,New Mexico,E4_D5_plus_defensive_experience,E2_D5,3.1576379904216756,3.3005285104263096,-0.14289052000463398
E4_vs_E2,2022,fbs,183,Syracuse,E4_D5_plus_defensive_experience,E2_D5,4.6783607931397855,4.709376411919633,-0.03101561877984782
E4_vs_E2,2022,fbs,189,Bowling Green,E4_D5_plus_defensive_experience,E2_D5,4.223909816026864,4.207106022011264,0.016803794015599394
E4_vs_E2,2022,fbs,193,Miami (OH),E4_D5_plus_defensive_experience,E2_D5,4.560665031272748,4.5205355319928655,0.04012949927988263
E4_vs_E2,2022,fbs,194,Ohio State,E4_D5_plus_defensive_experience,E2_D5,2.403180799736118,2.4205680504440723,-0.017387250707954216
E4_vs_E2,2022,fbs,195,Ohio,E4_D5_plus_defensive_experience,E2_D5,6.193232189581856,6.02880506749893,0.16442712208292587
E4_vs_E2,2022,fbs,197,Oklahoma State,E4_D5_plus_defensive_experience,E2_D5,5.809485712962567,5.96552483570359,-0.15603912274102338
E4_vs_E2,2022,fbs,2,Auburn,E4_D5_plus_defensive_experience,E2_D5,4.696413640349049,4.607325251375561,0.08908838897348836
E4_vs_E2,2022,fbs,2005,Air Force,E4_D5_plus_defensive_experience,E2_D5,4.587235859306684,4.563622690035739,0.023613169270944923
E4_vs_E2,2022,fbs,2006,Akron,E4_D5_plus_defensive_experience,E2_D5,2.8135518177796484,2.8119558198239445,0.001595997955703865
E4_vs_E2,2022,fbs,201,Oklahoma,E4_D5_plus_defensive_experience,E2_D5,5.620522660270104,5.211978695708456,0.4085439645616473
E4_vs_E2,2022,fbs,202,Tulsa,E4_D5_plus_defensive_experience,E2_D5,4.474037219979776,4.480788856316943,-0.006751636337167355
E4_vs_E2,2022,fbs,2026,App State,E4_D5_plus_defensive_experience,E2_D5,4.984568842542608,4.971719915686778,0.01284892685582939
