season,tier,candidate_minus_h_nll
2017,middle_fbs,-0.04920827961816965
2017,lower_fbs,-0.0648423752237477
2017,middle_fbs,-0.013128878520061171
2017,middle_fbs,0.0016697748860536876
2017,middle_fbs,0.8330476943015954
2017,middle_fbs,-0.03295462433080054
2017,middle_fbs,-0.14482824658170212
2017,middle_fbs,0.02445789175400126
2017,middle_fbs,-0.09573758589438608
2017,middle_fbs,-0.17325952950415058
2017,lower_fbs,-0.10580733184993552
2017,middle_fbs,-0.23100134434299857
2017,middle_fbs,-0.40735417694823983
2017,middle_fbs,-0.45040566936423154
2017,middle_fbs,-0.4519573999584541
2017,lower_fbs,0.018266546903611847
2017,lower_fbs,-0.19001931608295664
2017,middle_fbs,-0.0065336249478606945
2017,middle_fbs,0.010628593024743616
2017,lower_fbs,0.17700687055410835
2017,lower_fbs,0.0323595474724252
2017,expected_top25,-0.003017929469813385
2017,middle_fbs,0.2945458189536678
2017,middle_fbs,-0.08260849072183563
2017,middle_fbs,0.012568298119779886
2017,middle_fbs,-0.08066790193699092
2017,lower_fbs,0.04241371175262376
2017,expected_top25,-0.010773712010644587
2017,middle_fbs,-0.5613386031681502
2017,middle_fbs,0.009824348670305127
2017,middle_fbs,0.005256029554464803
2017,middle_fbs,-0.22996093610013357
2017,lower_fbs,-0.3917709738825099
2017,lower_fbs,0.7563846598116664
2017,middle_fbs,-0.11088935770744168
2017,middle_fbs,-0.7183976307008137
2017,lower_fbs,-0.07765284254241855
2017,middle_fbs,-0.33549044281421914
2017,middle_fbs,0.059908155237805794
2017,middle_fbs,-0.07250955647284218
2017,lower_fbs,-0.10881214842521647
2017,middle_fbs,-0.12023433916429305
2017,lower_fbs,-0.4388424197767904
2017,lower_fbs,-0.012750979832661713
2017,lower_fbs,-0.02135552269595209
2017,expected_top25,0.017436081784741653
2017,middle_fbs,0.22259029379500994
2017,lower_fbs,-0.2131937228232239
2017,lower_fbs,-0.46913421027482594
2017,middle_fbs,0.027229727704561668
2017,lower_fbs,0.24609055648638734
2017,middle_fbs,-0.05909219508304098
2017,middle_fbs,-0.30244308123988173
2017,middle_fbs,0.22398733591029973
2017,middle_fbs,-0.19466577292069953
2017,middle_fbs,0.2593337204111381
2017,lower_fbs,-0.024698205855290034
2017,middle_fbs,-0.08265176786006556
2017,lower_fbs,-0.4077564945467542
2017,middle_fbs,0.058361672434148915
2017,lower_fbs,-0.19515273389583587
2017,lower_fbs,0.02633185019167783
2017,lower_fbs,-0.042587966820135215
2017,lower_fbs,-0.08222397458742314
2017,middle_fbs,-0.09352666639517082
2017,middle_fbs,0.05313532305277757
2017,middle_fbs,-0.07820562643180917
2017,middle_fbs,-0.07993106432276953
2017,lower_fbs,0.5977185537405383
2017,middle_fbs,-0.10375110654653952
2017,lower_fbs,0.2935969598034731
2017,middle_fbs,0.005959947368026519
2017,middle_fbs,-0.4952032073353836
2017,middle_fbs,-0.0827970374544682
2017,lower_fbs,-0.20506105410615838
2017,middle_fbs,-0.039265910488377465
2017,middle_fbs,-0.1700022267190633
2017,lower_fbs,-0.01952411164924328
2017,middle_fbs,0.05766913406717622
2017,middle_fbs,-0.0176021001540434
2017,middle_fbs,-0.37286608539847954
2017,middle_fbs,-0.44005329470976484
2017,lower_fbs,0.048173191646639246
2017,lower_fbs,-0.9347946797447686
2017,middle_fbs,-0.1018643801778043
2017,middle_fbs,0.016365103807581605
2017,middle_fbs,-0.0718603682982808
2017,middle_fbs,-0.11643397797011978
2017,middle_fbs,-0.2931771499930207
2017,lower_fbs,0.22905755544659812
2017,middle_fbs,-0.2833574322590078
2017,expected_top25,-0.14712041157583755
