population,kind,season,n_team_seasons,n_seasons,teams_per_season,features_required,coverage_definition
P,season,2017,128,1,128,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2018,129,1,129,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2019,130,1,130,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2020,127,1,127,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2021,127,1,127,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2022,130,1,130,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2023,131,1,131,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2024,133,1,133,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
P,season,2025,134,1,134,returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,summary,all,1407,11,,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2015,124,1,124,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2016,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2017,128,1,128,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2018,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2019,129,1,129,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2020,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2021,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2022,127,1,127,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2023,130,1,130,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2024,130,1,130,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
RTP,season,2025,131,1,131,recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,summary,all,1122,11,,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2015,96,1,96,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2016,104,1,104,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2017,104,1,104,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2018,101,1,101,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2019,105,1,105,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2020,110,1,110,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2021,98,1,98,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2022,102,1,102,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2023,103,1,103,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2024,101,1,101,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
ALL_CONTEXT,season,2025,98,1,98,coach_tenure_seasons;recruiting_class_rank;recruiting_class_points;recruiting_points_2y_mean;recruiting_points_3y_mean;recruiting_points_4y_mean;recruiting_points_trend;talent_composite;returning_pct_ppa;returning_pct_passing_ppa;returning_pct_receiving_ppa;returning_pct_rushing_ppa,all raw source values observed before imputation
COACH,summary,all,2201,22,,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2004,93,1,93,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2005,106,1,106,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2006,95,1,95,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2007,100,1,100,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2008,96,1,96,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2009,94,1,94,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2010,94,1,94,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2011,91,1,91,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2012,87,1,87,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2013,105,1,105,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2014,107,1,107,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2015,98,1,98,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2016,105,1,105,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2017,104,1,104,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2018,102,1,102,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2019,106,1,106,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2020,110,1,110,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2021,98,1,98,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2022,105,1,105,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2023,103,1,103,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2024,101,1,101,coach_tenure_seasons,all raw source values observed before imputation
COACH,season,2025,101,1,101,coach_tenure_seasons,all raw source values observed before imputation
raw_feature_missingness,feature,all,2201,22,,coach_tenure_seasons,raw missingness=0.1979
raw_feature_missingness,feature,all,2732,22,,recruiting_class_rank,raw missingness=0.0044
raw_feature_missingness,feature,all,2732,22,,recruiting_class_points,raw missingness=0.0044
raw_feature_missingness,feature,all,2738,22,,recruiting_points_2y_mean,raw missingness=0.0022
raw_feature_missingness,feature,all,2741,22,,recruiting_points_3y_mean,raw missingness=0.0011
raw_feature_missingness,feature,all,2743,22,,recruiting_points_4y_mean,raw missingness=0.0004
raw_feature_missingness,feature,all,2586,22,,recruiting_points_trend,raw missingness=0.0576
raw_feature_missingness,feature,all,1422,22,,talent_composite,raw missingness=0.4818
raw_feature_missingness,feature,all,1549,22,,returning_pct_ppa,raw missingness=0.4355
raw_feature_missingness,feature,all,1549,22,,returning_pct_passing_ppa,raw missingness=0.4355
raw_feature_missingness,feature,all,1549,22,,returning_pct_receiving_ppa,raw missingness=0.4355
raw_feature_missingness,feature,all,1549,22,,returning_pct_rushing_ppa,raw missingness=0.4355
