population,candidate,season,subdivision,team_id,team_name,h_nll,candidate_nll,candidate_minus_h_nll,h_crps,candidate_crps,candidate_minus_h_crps
single_coach,single_coach,2007,fbs,103,Boston College,3.9586191208311114,3.9914400709548277,0.03282095012371622,0.07628830979712921,0.08193151125860527,0.005643201461476066
single_coach,single_coach,2007,fbs,12,Arizona,4.543573229875171,4.548966948715317,0.005393718840146278,0.08318866996847736,0.083990314865374,0.0008016448968966444
single_coach,single_coach,2007,fbs,120,Maryland,4.599925089061255,4.606577909856054,0.006652820794799119,0.08682474562826252,0.08731666012612123,0.0004919144978587087
single_coach,single_coach,2007,fbs,127,Michigan State,4.553522680716728,4.569172648810242,0.0156499680935136,0.09008114748815511,0.09290726847309347,0.0028261209849383545
single_coach,single_coach,2007,fbs,135,Minnesota,6.217194807418435,6.105731722178587,-0.1114630852398486,0.362265752002629,0.35232960926643153,-0.009936142736197473
single_coach,single_coach,2007,fbs,142,Missouri,5.476367988873758,5.435804044038567,-0.0405639448351911,0.23089627848167474,0.2299258128782467,-0.0009704656034280335
single_coach,single_coach,2007,fbs,151,East Carolina,4.6641580940393315,4.681671501543057,0.017513407503725098,0.10993517469592963,0.11271278908944705,0.0027776143935174247
single_coach,single_coach,2007,fbs,152,NC State,4.601309793025658,4.599062390600252,-0.0022474024254064418,0.08521660761842753,0.08394831564259612,-0.0012682919758314065
single_coach,single_coach,2007,fbs,153,North Carolina,4.590468564723904,4.589350849231757,-0.0011177154921462318,0.08451555250603797,0.08344577273901659,-0.0010697797670213838
single_coach,single_coach,2007,fbs,154,Wake Forest,4.252886474718045,4.258347958602076,0.005461483884031004,0.07384784534191997,0.07458297162348822,0.0007351262815682436
single_coach,single_coach,2007,fbs,164,Rutgers,4.384547478555999,4.386157895806083,0.0016104172500845948,0.06154670207602594,0.06147621323838828,-7.048883763765418e-05
single_coach,single_coach,2007,fbs,166,New Mexico State,3.6691603689878196,3.668297865477549,-0.000862503510270507,0.0788139672769088,0.07866967209382407,-0.00014429518308473055
single_coach,single_coach,2007,fbs,167,New Mexico,4.611783541944079,4.606960754283355,-0.004822787660724082,0.08445968355067349,0.08250121884185355,-0.0019584647088199403
single_coach,single_coach,2007,fbs,183,Syracuse,4.602724629017518,4.588971111590479,-0.013753517427039341,0.16654814484600686,0.16411795374268748,-0.002430191103319379
single_coach,single_coach,2007,fbs,189,Bowling Green,4.576818990103929,4.578746928544966,0.0019279384410371136,0.08229810390913246,0.0826314512166884,0.0003333473075559368
single_coach,single_coach,2007,fbs,193,Miami (OH),4.353435731766388,4.360683937118566,0.007248205352177628,0.08471296883520404,0.08596728955770153,0.0012543207224974817
single_coach,single_coach,2007,fbs,194,Ohio State,3.065434080186198,3.0797622868810133,0.014328206694815382,0.024494848635281542,0.025535318019601655,0.0010404693843201127
single_coach,single_coach,2007,fbs,195,Ohio,4.268418969973835,4.26091938384708,-0.0074995861267552755,0.07878369252227674,0.07699650915609331,-0.0017871833661834285
