population,candidate,target_season,same_population_keys,n_team_seasons,n_training_rows,n_training_seasons,h_n_team_seasons,h_nll,h_crps,h_expected_rank_mae,h_median_rank_mae,h_interval_80_coverage,h_interval_80_average_width,h_top5_brier,h_top10_brier,h_top25_brier,candidate_n_team_seasons,candidate_nll,candidate_crps,candidate_expected_rank_mae,candidate_median_rank_mae,candidate_interval_80_coverage,candidate_interval_80_average_width,candidate_top5_brier,candidate_top10_brier,candidate_top25_brier,delta_n_team_seasons,delta_nll,delta_crps,delta_expected_rank_mae,delta_median_rank_mae,delta_interval_80_coverage,delta_interval_80_average_width,delta_top5_brier,delta_top10_brier,delta_top25_brier
single_coach,single_coach,2007,True,100,294,3,100.0,4.403694251212698,0.10632831055973928,17.91046745015067,16.92,0.8729323264505328,69.85,0.02217043213712032,0.04187562656895834,0.08606450825408014,100.0,4.400757299723779,0.10583996866103089,17.82278731279198,16.72,0.8773327849234653,70.09,0.02213495051063503,0.0416508231921273,0.08542113476422887,0.0,-0.0029369514889197035,-0.0004883418987083887,-0.08768013735868863,-0.20000000000000284,0.004400458472932578,0.2400000000000091,-3.548162648528766e-05,-0.00022480337683104118,-0.0006433734898512733
single_coach,single_coach,2008,True,96,394,4,96.0,4.47563431324143,0.11032034692198484,17.725007411263004,17.755208333333332,0.8464471726190476,69.625,0.033095612399141154,0.059543735812700636,0.0928755951524136,96.0,4.466408966139471,0.10916378871817008,17.590293296230943,17.682291666666668,0.8529575892857144,69.5625,0.03270871143128158,0.057770620449535647,0.08887037879822275,0.0,-0.009225347101958548,-0.0011565582038147587,-0.134714115032061,-0.0729166666666643,0.006510416666666852,-0.0625,-0.0003869009678595728,-0.0017731153631649899,-0.004005216354190849
single_coach,single_coach,2009,True,94,490,5,94.0,4.37713323144058,0.10227399092540518,17.54840374181619,16.80851063829787,0.8812689969604864,69.98936170212765,0.0233946612970265,0.03789139351123658,0.0650302088046592,94.0,4.374852723016599,0.10206312870597173,17.485240474590217,16.79787234042553,0.8825987841945289,69.77659574468085,0.024468465863125958,0.03753080016153803,0.06439851659735131,0.0,-0.002280508423980976,-0.00021086221943344974,-0.0631632672259741,-0.010638297872340274,0.0013297872340424233,-0.2127659574468055,0.0010738045660994566,-0.00036059334969855417,-0.0006316922073078962
single_coach,single_coach,2010,True,94,584,6,94.0,4.458659391216769,0.11564544162134356,19.907434417841102,19.77659574468085,0.833040267276244,68.7872340425532,0.023762588518553087,0.041459497812299496,0.10511598076684744,94.0,4.4635953955843615,0.11584722010973039,19.93721674039994,19.840425531914892,0.8236328468436787,68.53191489361703,0.0249796204752612,0.04406727019443025,0.10732297615384294,0.0,0.004936004367592339,0.00020177848838683066,0.029782322558837393,0.06382978723404165,-0.009407420432565372,-0.2553191489361666,0.0012170319567081124,0.002607772382130752,0.0022069953869954945
single_coach,single_coach,2011,True,91,678,7,91.0,4.440622640163402,0.1046883885674642,16.91145454136383,17.318681318681318,0.8629032258064515,69.37362637362638,0.025667348856542194,0.03753097750873359,0.07499210068943352,91.0,4.441809732465014,0.10494593049929209,16.972785972381324,17.45054945054945,0.8636121942573555,69.36263736263736,0.026088418208336503,0.03825387519473459,0.07427018439972767,0.0,0.0011870923016124024,0.00025754193182789265,0.06133143101749283,0.1318681318681314,0.0007089684509039573,-0.010989010989021608,0.00042106935179430857,0.0007228976860009992,-0.0007219162897058456
single_coach,single_coach,2012,True,87,769,8,87.0,4.392912346269236,0.09899374150735647,16.626831172905177,16.879310344827587,0.9086045912617919,71.22988505747126,0.022072937264123377,0.057045396594775845,0.07728203727416867,87.0,4.401700257902523,0.10022642541358086,16.88180429640347,17.17816091954023,0.8996007598441674,71.19540229885058,0.022708184967725042,0.05864987668954452,0.07944004781084271,0.0,0.00878791163328696,0.0012326839062243855,0.25497312349829215,0.29885057471264176,-0.009003831417624508,-0.034482758620683285,0.000635247703601665,0.0016044800947686774,0.0021580105366740404
single_coach,single_coach,2013,True,105,856,9,105.0,4.489922551337127,0.1106811536638819,19.14066864830987,18.98095238095238,0.8437602627257799,72.55238095238096,0.02149020988961897,0.04058090011588643,0.06979631844199126,105.0,4.486550921222615,0.11016703653151885,19.148256308952288,18.857142857142858,0.8460591133004925,72.62857142857143,0.021508205051525706,0.04060590291899127,0.07020390332030668,0.0,-0.0033716301145121363,-0.0005141171323630456,0.007587660642418115,-0.12380952380952337,0.0022988505747126853,0.07619047619047592,1.7995161906737833e-05,2.5002803104842708e-05,0.0004075848783154229
single_coach,single_coach,2014,True,107,961,10,107.0,4.40255608553643,0.09893065644941731,17.621982605460193,16.80373831775701,0.8863617566785211,73.19626168224299,0.023086475725252086,0.04001024586178491,0.07248076269326305,107.0,4.401732530756381,0.09887234587611346,17.716902707936992,16.822429906542055,0.8839632784715904,73.1214953271028,0.023465651429422373,0.04038635779019794,0.0730245936254239,0.0,-0.0008235547800490295,-5.8310573303854696e-05,0.09492010247679872,0.018691588785046065,-0.002398478206930732,-0.07476635514018426,0.000379175704170287,0.00037611192841303237,0.0005438309321608575
single_coach,single_coach,2015,True,98,1068,11,98.0,4.423811443793662,0.10151616366228294,17.78096516288194,18.168367346938776,0.8691371285356249,71.20408163265306,0.023309233718678227,0.04057989839350865,0.07834480967057661,98.0,4.417712493385454,0.10082715870806802,17.61653644173802,17.95408163265306,0.8724489795918368,71.3061224489796,0.02311568712565135,0.039433866434509884,0.07633347330883768,0.0,-0.006098950408207848,-0.0006890049542149224,-0.1644287211439206,-0.2142857142857153,0.003311851056211901,0.10204081632653583,-0.0001935465930268769,-0.001146031958998768,-0.002011336361738933
single_coach,single_coach,2016,True,105,1166,12,105.0,4.49388857475842,0.10994812859059194,19.44146306742538,19.438095238095237,0.8461152882205512,71.97142857142858,0.017059758650193893,0.03532562627346284,0.07043964257568183,105.0,4.49708104024244,0.11024702543155994,19.577665897512365,19.523809523809526,0.8461152882205514,72.03809523809524,0.01737838361725814,0.036498282037120855,0.07252637200356275,0.0,0.0031924654840205235,0.0002988968409679965,0.13620283008698308,0.08571428571428896,2.220446049250313e-16,0.06666666666666288,0.0003186249670642481,0.0011726557636580134,0.0020867294278809206
