variant,n_team_seasons,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_average_width,top5_brier,top10_brier,top25_brier,delta_nll_vs_c0,delta_crps_vs_c0,delta_expected_rank_mae_vs_c0,delta_median_rank_mae_vs_c0,delta_interval_80_coverage_vs_c0,delta_interval_80_average_width_vs_c0,delta_top5_brier_vs_c0,delta_top10_brier_vs_c0,delta_top25_brier_vs_c0
C0_current_location,534,4.542326751937675,0.11194306775822212,20.16301079638477,20.594569288389515,0.8249770482173019,71.91947565543072,0.01678044549695795,0.03113643706059292,0.07147816327411728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1_no_rp,534,4.5291557346129805,0.11111614140217868,20.226139001710077,20.480337078651687,0.833830400940448,74.59737827715355,0.01640003200813567,0.03144794555093823,0.07219717408073795,-0.01317101732469439,-0.0008269263560434365,0.06312820532530594,-0.11423220973782833,0.008853352723146135,2.6779026217228363,-0.0003804134888222774,0.0003115084903453115,0.0007190108066206652
C2_rp_scale_only,534,4.528224411220282,0.11107543065184743,20.21611446144756,20.491573033707866,0.8398347516641966,75.33333333333333,0.016420330510640038,0.031659040143517524,0.07295358356259084,-0.014102340717393247,-0.0008676371063746913,0.05310366506278896,-0.10299625468164919,0.014857703446894743,3.4138576779026124,-0.00036011498631791095,0.0005226030829246046,0.0014754202884735557
C3_rp_both,534,4.539729029042111,0.1117278904474444,20.11868202016929,20.560861423220974,0.8178587535687848,70.82584269662921,0.016696893476529993,0.030957190604751862,0.07143762254652702,-0.0025977228955635923,-0.00021517731077771995,-0.04432877621547959,-0.03370786516854096,-0.007118294648517098,-1.093632958801507,-8.355202042795509e-05,-0.00017924645584105683,-4.054072759025751e-05
