variant,target_season,n_team_seasons,n_training_seasons,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_average_width,top5_brier,top10_brier,top25_brier,delta_nll_vs_c0,delta_crps_vs_c0,delta_expected_rank_mae_vs_c0,delta_median_rank_mae_vs_c0,delta_interval_80_coverage_vs_c0,delta_interval_80_average_width_vs_c0,delta_top5_brier_vs_c0,delta_top10_brier_vs_c0,delta_top25_brier_vs_c0
C0_current_location,2022,131,18,4.466878954741351,0.1070808440668973,18.68027501528254,18.85496183206107,0.8258070449737882,72.09923664122137,0.013082708426546732,0.02847075473934195,0.08848425521373005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0_current_location,2023,133,18,4.472206570386621,0.10443224457695163,19.279122670136665,19.545112781954888,0.8669985775248933,72.1203007518797,0.012720476200651887,0.02780114230446528,0.05764716726148189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0_current_location,2024,134,18,4.584023541620271,0.11828325718207185,21.017995994307483,21.708955223880597,0.8045771144278607,70.8731343283582,0.02313888406774239,0.031079501301544327,0.06960347554016746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0_current_location,2025,136,18,4.642490544301942,0.11772472513966825,21.61321294045643,22.198529411764707,0.8031829170024174,72.58088235294117,0.018047715380395155,0.03702193690148529,0.07047031461191518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1_no_rp,2022,131,18,4.48720539938238,0.10902949034623016,19.27884284012057,19.6793893129771,0.8325209233882093,73.74809160305344,0.014256175145941533,0.03057027928460021,0.09116916437290468,0.02032644464102873,0.0019486462793328607,0.5985678248380317,0.8244274809160324,0.0067138784144210595,1.6488549618320718,0.0011734667193948004,0.0020995245452582606,0.002684909159174631
C1_no_rp,2023,133,18,4.504689577465013,0.10780686300016434,20.102707414880406,20.409774436090224,0.8614102824629142,74.6842105263158,0.01372139669259043,0.031094482706940905,0.06047124789372772,0.032483007078391246,0.0033746184232127108,0.8235847447437408,0.864661654135336,-0.005588295061979109,2.563909774436098,0.0010009204919385426,0.0032933404024756245,0.0028240806322458317
C1_no_rp,2024,134,18,4.553894876236028,0.1160278252940815,20.761751998430476,20.925373134328357,0.8151243781094528,73.32835820895522,0.02122702793032868,0.030909622469192044,0.07128424293777949,-0.030128665384242304,-0.00225543188799035,-0.2562439958770071,-0.7835820895522403,0.01054726368159209,2.4552238805970177,-0.0019118561374137089,-0.00016987883235228263,0.0016807673976120263
C1_no_rp,2025,136,18,4.569114909895333,0.11152290371307708,20.731580594769184,20.88235294117647,0.8265511684125704,76.58088235294117,0.01632860768711425,0.03316941711046702,0.06628945516717138,-0.07337563440660855,-0.006201821426591175,-0.8816323456872475,-1.3161764705882355,0.023368251410152974,4.0,-0.0017191076932809059,-0.0038525197910182704,-0.0041808594447437925
C2_rp_scale_only,2022,131,18,4.4934705187464985,0.1092846458510938,19.2662866863734,19.65648854961832,0.833900487445967,73.6793893129771,0.014324206750390998,0.03105017782520636,0.092451405913092,0.026591564005147283,0.0022038017841965046,0.586011671090862,0.8015267175572518,0.008093442472178802,1.5801526717557266,0.0012414983238442662,0.00257942308586441,0.00396715069936196
C2_rp_scale_only,2023,133,18,4.500564873675478,0.10765079261684155,20.064782227866772,20.394736842105264,0.860191018085755,74.99248120300751,0.013917737547064813,0.03139025350779937,0.06085463024317319,0.028358303288857023,0.0032185480398899124,0.7856595577301064,0.8496240601503757,-0.006807559439138244,2.872180451127818,0.001197261346412926,0.0035891112033340916,0.003207462981691299
C2_rp_scale_only,2024,134,18,4.551217575723755,0.11582610273737114,20.7817375337023,20.940298507462686,0.823681592039801,73.8955223880597,0.02123799157382377,0.031153615545897764,0.07164671207908713,-0.03280596589651541,-0.00245715444470071,-0.23625846060518185,-0.7686567164179117,0.01910447761194023,3.0223880597014983,-0.001900892493918619,7.411424435343691e-05,0.0020432365389196627
C2_rp_scale_only,2025,136,18,4.566094958014836,0.1114686630643057,20.721711034380093,20.948529411764707,0.8415592264302981,78.67647058823529,0.016139966498004074,0.03300636721947577,0.06729231034462314,-0.07639558628710574,-0.006256062075362556,-0.8915019060763392,-1.25,0.03837630942788073,6.095588235294116,-0.0019077488823910811,-0.004015569682009515,-0.003178004267292034
