season,subdivision,team_id,team_name,c1_nll,c2_nll,delta_nll_c2_minus_c1,c1_crps,c2_crps,delta_crps_c2_minus_c1
2022,fbs,103,Boston College,4.965825873887268,4.9973941568362275,0.031568282948959414,0.20381736735534026,0.20767924791422188,0.0038618805588816196
2022,fbs,113,Massachusetts,2.5083673090928156,2.6103802538637138,0.10201294477089817,0.03110795808185426,0.031033178822146113,-7.477925970814786e-05
2022,fbs,12,Arizona,4.7281651696071405,4.739693398304607,0.011528228697466503,0.09102835706973213,0.09112031877500502,9.196170527289715e-05
2022,fbs,120,Maryland,4.420806291994793,4.403135298264761,-0.017670993730031448,0.08284895995732229,0.08110833868172357,-0.0017406212755987222
2022,fbs,127,Michigan State,5.361289084665545,5.386612058443983,0.025322973778438396,0.18714874687661334,0.190184158169238,0.0030354112926246624
2022,fbs,130,Michigan,2.6111781452702028,2.6149370216283376,0.003758876358134877,0.032976878602543176,0.03183625330597836,-0.0011406252965648137
2022,fbs,135,Minnesota,4.2536154477351005,4.191996369953811,-0.06161907778128928,0.06510890669733417,0.06118606636966805,-0.00392284032766612
2022,fbs,142,Missouri,4.587484095265392,4.614077345440967,0.026593250175575456,0.07017198284324724,0.07163871669349779,0.0014667338502505484
2022,fbs,145,Ole Miss,4.159111337078426,4.2435532260155595,0.08444188893713367,0.047956851609339365,0.05126919254304505,0.003312340933705686
2022,fbs,150,Duke,5.4392555321611,5.407440856756567,-0.03181467540453298,0.2507171651481136,0.24663438904192242,-0.004082776106191177
2022,fbs,151,East Carolina,4.680113608832099,4.6579765921058165,-0.022137016726282432,0.08637289452329085,0.08481776876985737,-0.0015551257534334728
2022,fbs,152,NC State,4.437405336152017,4.4242142953352905,-0.01319104081672684,0.06126702185181731,0.06058122756335509,-0.0006857942884622159
2022,fbs,153,North Carolina,4.497934734029796,4.489200114015529,-0.008734620014267058,0.0691144518322679,0.068321640636819,-0.0007928111954488976
2022,fbs,154,Wake Forest,4.351215311416391,4.318663885420329,-0.0325514259960622,0.06053764525808671,0.05828605212944099,-0.002251593128645722
2022,fbs,158,Nebraska,4.712072074782096,4.726391540524511,0.014319465742414828,0.11338621633371768,0.11518492947060648,0.0017987131368887993
2022,fbs,164,Rutgers,4.708196538626193,4.71517493334576,0.0069783947195674045,0.1389556583219146,0.1403889535102458,0.0014332951883312128
2022,fbs,166,New Mexico State,4.329543476020428,4.343930304676139,0.01438682865571117,0.06321724734201482,0.062497427164989315,-0.0007198201770255083
2022,fbs,167,New Mexico,3.939555160903918,4.117205734011752,0.17765057310783394,0.11116824559941274,0.11306439134743311,0.0018961457480203697
2022,fbs,183,Syracuse,4.669091425539165,4.654601868633306,-0.014489556905858514,0.09796979610467463,0.0965287204333554,-0.0014410756713192224
2022,fbs,189,Bowling Green,4.170527669967486,4.116959961253325,-0.05356770871416039,0.061509029814895255,0.059659671781036774,-0.0018493580338584809
2022,fbs,193,Miami (OH),4.583985251644074,4.598012189019109,0.014026937375034798,0.13372554156505814,0.13751876573886765,0.0037932241738095063
2022,fbs,194,Ohio State,2.4604517856790418,2.4263279678758494,-0.0341238178031924,0.018076250437177577,0.016940731435817896,-0.0011355190013596812
2022,fbs,195,Ohio,5.493190453364662,5.450288540419268,-0.04290191294539358,0.21213859235240426,0.20676284464250955,-0.005375747709894713
2022,fbs,197,Oklahoma State,5.718834087792656,5.858276108771878,0.13944202097922176,0.20289179310897515,0.21147785177018877,0.00858605866121362
2022,fbs,2,Auburn,4.619301212563397,4.6280965625742985,0.00879535001090126,0.07711024536804342,0.07797593910686702,0.0008656937388236002
2022,fbs,2005,Air Force,4.5725738154612925,4.568604316802356,-0.003969498658936921,0.08020326183007517,0.07864166611022945,-0.0015615957198457237
2022,fbs,2006,Akron,2.9833847573931176,3.0130426937707298,0.02965793637761216,0.030400577020944897,0.031637307446109555,0.0012367304251646588
