target_season,n_team_seasons,delta_nll_c2_minus_c1,delta_crps_c2_minus_c1,delta_expected_rank_mae_c2_minus_c1,delta_median_rank_mae_c2_minus_c1,delta_interval_80_coverage_c2_minus_c1,delta_interval_80_average_width_c2_minus_c1,delta_top5_brier_c2_minus_c1,delta_top10_brier_c2_minus_c1,delta_top25_brier_c2_minus_c1
2022,131,0.006265119364118554,0.0002551555048636439,-0.012556153747169674,-0.02290076335878055,0.0013795640577577428,-0.06870229007634521,6.803160444946582e-05,0.00047989854060614956,0.0012822415401873288
2023,133,-0.004124703789534223,-0.00015607038332279832,-0.03792518701363434,-0.015037593984960296,-0.001219264377159135,0.3082706766917198,0.00019634085447438332,0.0002957708008584671,0.0003833823494454672
2024,134,-0.0026773005122731064,-0.00020172255671035977,0.019985535271825228,0.014925373134328623,0.00855721393034814,0.5671641791044806,1.0963643495089798e-05,0.00024399307670571954,0.0003624691413076364
2025,136,-0.003019951880497196,-5.4240648771380906e-05,-0.009869560389091703,0.0661764705882355,0.015008058017727754,2.095588235294116,-0.00018864118911017524,-0.0001630498909912445,0.0010028551774517586
