variant_key,variant_label,week,game_id,game,kickoff,timing_classification,gippy_expected_home_margin,opening_home_margin,cfbd_stored_later_home_margin,cfbd_field_delta,cfbd_field_change_toward_model,actual_home_margin,flags
context-1.3,Context 1.3,3,401860888,Fresno State at San José State,2026-09-20T03:00:00.000Z,postgame_generated_reconstruction_with_pregame_cutoff,-7.243624648306977,-7.0,-4.0,3.0,-3.0,-16.0,CFBD stored field moved ≥3 points away from model
context-1.3,Context 1.3,3,401860889,North Texas at Texas State,2026-09-19T16:00:00.000Z,postgame_generated_reconstruction_with_pregame_cutoff,-12.721590634325345,3.0,3.0,0.0,0.0,14.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.3,Context 1.3,3,401861963,UConn at Southern Miss,2026-09-19T23:00:00.000Z,postgame_generated_reconstruction_with_pregame_cutoff,5.566903520094151,-3.5,-3.5,0.0,0.0,-28.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.3,Context 1.3,3,401862771,Florida International at Florida Atlantic,2026-09-19T22:00:00.000Z,postgame_generated_reconstruction_with_pregame_cutoff,-2.0916161377875433,7.0,5.0,-2.0,2.0,6.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
context-1.3,Context 1.3,3,401862773,Western Michigan at Rice,2026-09-19T23:00:00.000Z,postgame_generated_reconstruction_with_pregame_cutoff,-15.183034879138816,-12.0,-8.5,3.5,-3.5,-7.0,CFBD stored field moved ≥3 points away from model
context-1.3,Context 1.3,3,401864508,Wyoming at Central Michigan,2026-09-19T17:00:00.000Z,postgame_generated_reconstruction_with_pregame_cutoff,3.419077389136269,1.5,-2.0,-3.5,-3.5000000000000004,14.0,model/CFBD-stored favorite inversion; CFBD fields crossed zero away from model; CFBD stored field moved ≥3 points away from model
context-1.3,Context 1.3,3,401864574,Charlotte at App State,2026-09-19T22:00:00.000Z,postgame_generated_reconstruction_with_pregame_cutoff,23.68336503152394,20.5,16.0,-4.5,-4.5,5.0,CFBD stored field moved ≥3 points away from model
context-1.3,Context 1.3,3,401871047,Marshall at Missouri State,2026-09-19T22:30:00.000Z,postgame_generated_reconstruction_with_pregame_cutoff,3.7053650805864096,-4.0,-4.0,0.0,0.0,-6.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,1,401856780,Coastal Carolina at West Virginia,2026-09-05T16:00:00.000Z,reconstruction_without_effective_cutoff,10.478696538694233,17.5,21.0,3.5,-3.5,7.0,CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,1,401858204,Akron at Wake Forest,2026-09-03T23:00:00.000Z,reconstruction_without_effective_cutoff,20.10963842990182,22.5,27.5,5.0,-5.0,22.0,CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,1,401858206,Miami at Stanford,2026-09-05T01:00:00.000Z,reconstruction_without_effective_cutoff,-11.932682715978336,-21.5,-24.5,-3.0,-3.0,-39.0,CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,1,401858210,UCLA at California,2026-09-06T02:30:00.000Z,reconstruction_without_effective_cutoff,4.094786530848359,3.5,-2.5,-6.0,-6.0,-21.0,model/CFBD-stored favorite inversion; CFBD fields crossed zero away from model; CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,1,401858212,SMU at Florida State,2026-09-07T23:30:00.000Z,reconstruction_without_effective_cutoff,5.345711310586247,-2.5,-3.0,-0.5,-0.4999999999999991,-3.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,1,401858438,Wisconsin at Notre Dame,2026-09-06T23:30:00.000Z,reconstruction_without_effective_cutoff,11.25277832756579,16.5,20.5,4.0,-4.0,28.0,CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,1,401860878,Wyoming at Colorado State,2026-09-05T22:00:00.000Z,reconstruction_without_effective_cutoff,-0.7703933902984241,4.0,3.0,-1.0,1.0,22.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,1,401864432,Western Kentucky at Nevada,2026-09-06T02:30:00.000Z,reconstruction_without_effective_cutoff,-4.571352291973409,-4.0,1.0,5.0,-5.0,35.0,model/CFBD-stored favorite inversion; CFBD fields crossed zero away from model; CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,1,401864497,UNLV at Hawai'i,2026-09-06T02:00:00.000Z,reconstruction_without_effective_cutoff,2.8017907533957986,-1.5,-3.0,-1.5,-1.5,-15.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,2,401856671,Southern Miss at Auburn,2026-09-12T23:45:00.000Z,pregame_artifact_in_reconstruction_study,10.497454040870444,30.0,33.0,3.0,-3.0,35.0,CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,2,401856677,Mississippi State at Minnesota,2026-09-12T19:30:00.000Z,pregame_artifact_in_reconstruction_study,3.2196603777859676,-1.0,1.0,2.0,1.9999999999999996,-25.0,model/CFBD-opening favorite inversion; CFBD fields crossed zero toward model
history-1.1,History 1.1,2,401856679,Oklahoma at Michigan,2026-09-12T16:00:00.000Z,pregame_artifact_in_reconstruction_study,-5.320321254977474,1.5,-4.5,-6.0,6.0,7.0,model/CFBD-opening favorite inversion; CFBD fields crossed zero toward model
history-1.1,History 1.1,2,401856682,Ohio State at Texas,2026-09-12T23:30:00.000Z,pregame_artifact_in_reconstruction_study,-1.518216421689022,2.5,2.0,-0.5,0.5,1.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,2,401860884,UTSA at Texas State,2026-09-12T19:30:00.000Z,pregame_artifact_in_reconstruction_study,-9.419267931018984,-1.0,1.5,2.5,-2.5,-5.0,model/CFBD-stored favorite inversion; CFBD fields crossed zero away from model
history-1.1,History 1.1,2,401864571,App State at East Carolina,2026-09-12T16:00:00.000Z,pregame_artifact_in_reconstruction_study,-3.949233475664888,8.0,6.5,-1.5,1.5,-3.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,3,401858232,Virginia Tech at Maryland,2026-09-19T23:30:00.000Z,pregame_artifact_in_reconstruction_study,3.4308982505797423,-3.5,-2.5,1.0,1.0,-9.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,3,401860887,James Madison at San Diego State,2026-09-20T02:00:00.000Z,pregame_artifact_in_reconstruction_study,-9.53153452030563,2.5,3.0,0.5,-0.5,-13.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,3,401860888,Fresno State at San José State,2026-09-20T03:00:00.000Z,pregame_artifact_in_reconstruction_study,-7.463400495322607,-7.0,-4.0,3.0,-3.0,-16.0,CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,3,401860889,North Texas at Texas State,2026-09-19T16:00:00.000Z,pregame_artifact_in_reconstruction_study,-14.960117517991137,3.0,3.0,0.0,0.0,14.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,3,401861963,UConn at Southern Miss,2026-09-19T23:00:00.000Z,pregame_artifact_in_reconstruction_study,0.9842318053267793,-3.5,-3.5,0.0,0.0,-28.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,3,401862771,Florida International at Florida Atlantic,2026-09-19T22:00:00.000Z,pregame_artifact_in_reconstruction_study,-0.8640557965524853,7.0,5.0,-2.0,2.0,6.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
history-1.1,History 1.1,3,401862773,Western Michigan at Rice,2026-09-19T23:00:00.000Z,pregame_artifact_in_reconstruction_study,-13.463055994362172,-12.0,-8.5,3.5,-3.5,-7.0,CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,3,401864508,Wyoming at Central Michigan,2026-09-19T17:00:00.000Z,pregame_artifact_in_reconstruction_study,4.264330669328779,1.5,-2.0,-3.5,-3.5,14.0,model/CFBD-stored favorite inversion; CFBD fields crossed zero away from model; CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,3,401864574,Charlotte at App State,2026-09-19T22:00:00.000Z,pregame_artifact_in_reconstruction_study,25.070367687951048,20.5,16.0,-4.5,-4.5,5.0,CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,3,401866423,Ohio at South Alabama,2026-09-19T23:00:00.000Z,pregame_artifact_in_reconstruction_study,2.3028526259733018,4.0,7.0,3.0,-3.0000000000000004,5.0,CFBD stored field moved ≥3 points away from model
history-1.1,History 1.1,3,401871047,Marshall at Missouri State,2026-09-19T22:30:00.000Z,pregame_artifact_in_reconstruction_study,5.892981784601574,-4.0,-4.0,0.0,0.0,-6.0,model/CFBD-opening favorite inversion; model/CFBD-stored favorite inversion
