variant_key,week,snapshot_id,publication_slot,publication_status,snapshot_type,generation_timestamp,effective_cutoff,requested_cutoff,reason,variant_label,model_family,model_version,model_version_field,selection_policy,is_reconstruction,is_retrospective_artifact,generated_after_target_week_start,timing_classification,source_retrieved_at,source_context_snapshot_id,comparison_snapshot_id,expected_fbs_vs_fbs_games,games_with_gippy_prediction,games_with_opening_line,games_with_cfbd_later_line,games_with_same_provider_open_later,games_with_final_score,primary_retained,source_future_prediction_rows,source_nonfuture_prediction_rows,market_provider,excluded_no_pregame_publication,excluded_no_gippy_prediction,excluded_open_or_later_line,excluded_no_final_score
history-1.1,1,2026-preseason-history,2026-preseason,official,preseason,2026-09-05T20:12:57.082967Z,,,,History 1.1,history,1.1,history_prior,reconstruction,True,False,True,reconstruction_without_effective_cutoff,,2026-preseason-context,,51,51,51,51,51,51,51,51,0,Bovada,0,0,0,0
context-1.2,1,2026-preseason-context,2026-preseason,official,preseason,2026-09-05T20:12:56.196105Z,,,,Context 1.2,context,1.2,context_prior,reconstruction,True,False,True,reconstruction_without_effective_cutoff,,2026-preseason-context,,51,51,51,51,51,51,51,51,0,Bovada,0,0,0,0
context-1.3,1,2026-preseason-context-v1.3,2026-preseason-context-1.3,official,preseason,2026-09-19T22:12:15.043275Z,,,,Context 1.3,context,1.3,context_prior,reconstruction,True,False,True,reconstruction_without_effective_cutoff,,2026-preseason-context-v1.3,,51,51,51,51,51,51,51,99,0,Bovada,0,0,0,0
history-1.1,2,2026-weekly-2026-09-08T11-43-00.275833Z-history,2026-09-08,official,weekly,2026-09-08T11:43:00.275833Z,2026-09-08T11:43:00.275833Z,2026-09-08T11:43:00.275833Z,,History 1.1,history,1.1,history_prior,reconstruction,True,False,False,pregame_artifact_in_reconstruction_study,2026-09-08T11:43:00.275833Z,2026-weekly-2026-09-08T11-43-00.275833Z-context,2026-preseason-history-context-1.3,49,49,49,49,49,49,49,85,0,Bovada,0,0,0,0
context-1.2,2,2026-weekly-2026-09-08T11-43-00.275833Z-context,2026-09-08,official,weekly,2026-09-08T11:43:00.275833Z,2026-09-08T11:43:00.275833Z,2026-09-08T11:43:00.275833Z,,Context 1.2,context,1.2,context_prior,reconstruction,True,False,False,pregame_artifact_in_reconstruction_study,2026-09-08T11:43:00.275833Z,2026-weekly-2026-09-08T11-43-00.275833Z-context,2026-preseason-context,49,49,49,49,49,49,49,85,0,Bovada,0,0,0,0
context-1.3,2,2026-weekly-2026-09-08T11-43-00.275833Z-context-v1.3,2026-09-08,official,weekly,2026-09-20T12:00:00Z,2026-09-08T11:43:00.275833Z,2026-09-08T11:43:00.275833Z,,Context 1.3,context,1.3,context_prior,reconstruction,True,True,True,postgame_generated_reconstruction_with_pregame_cutoff,2026-09-08T11:43:00.275833Z,2026-weekly-2026-09-08T11-43-00.275833Z-context-v1.3,2026-preseason-context-v1.3,49,49,49,49,49,49,49,85,0,Bovada,0,0,0,0
history-1.1,3,2026-weekly-2026-09-13T12-02-55.255941Z-history,2026-09-13,official,weekly,2026-09-13T12:02:55.255941Z,2026-09-13T12:02:55.255941Z,2026-09-13T12:02:55.255941Z,,History 1.1,history,1.1,history_prior,reconstruction,True,False,False,pregame_artifact_in_reconstruction_study,2026-09-13T12:02:55.255941Z,2026-weekly-2026-09-13T12-02-55.255941Z-context,2026-weekly-2026-09-08T11-43-00.275833Z-history,57,57,57,57,57,57,57,75,0,Bovada,0,0,0,0
context-1.2,3,2026-weekly-2026-09-13T12-02-55.255941Z-context,2026-09-13,official,weekly,2026-09-13T12:02:55.255941Z,2026-09-13T12:02:55.255941Z,2026-09-13T12:02:55.255941Z,,Context 1.2,context,1.2,context_prior,reconstruction,True,False,False,pregame_artifact_in_reconstruction_study,2026-09-13T12:02:55.255941Z,2026-weekly-2026-09-13T12-02-55.255941Z-context,2026-weekly-2026-09-08T11-43-00.275833Z-context,57,57,57,57,57,57,57,75,0,Bovada,0,0,0,0
context-1.3,3,2026-weekly-2026-09-13T12-02-55.255941Z-context-v1.3,2026-09-13,official,weekly,2026-09-20T12:00:00Z,2026-09-13T12:02:55.255941Z,2026-09-13T12:02:55.255941Z,,Context 1.3,context,1.3,context_prior,reconstruction,True,True,True,postgame_generated_reconstruction_with_pregame_cutoff,2026-09-13T12:02:55.255941Z,2026-weekly-2026-09-13T12-02-55.255941Z-context-v1.3,2026-weekly-2026-09-08T11-43-00.275833Z-context-v1.3,57,57,57,57,57,57,57,75,0,Bovada,0,0,0,0
