team_id,team_name,subdivision,conference,record_through_cutoff,movement_from_previous,rated,eligible_games,eligible_evidence_count,games_played,expected_rank,median_rank,mode_rank,rank_1_probability,interval_50_low,interval_50_high,interval_50_width,interval_80_low,interval_80_high,interval_80_width,interval_95_low,interval_95_high,interval_95_width,top5_probability,top10_probability,top25_probability,display_rank
99,LSU,fbs,,,,True,2,2,2,11.76146780067647,7,1,0.10130887869381104,3,15,13,1,28,28,1,49,49,0.4048108507614324,0.6278605254164568,0.8833034097600106,1
194,Ohio State,fbs,,,,True,3,3,3,12.455054628167794,9,1,0.07702081079858762,4,17,14,2,28,27,1,47,47,0.3417471813537514,0.5767681313641382,0.878469444109028,2
344,Mississippi State,fbs,,,,True,2,2,2,14.14128718785697,9,1,0.08050137814778316,4,19,16,2,34,33,1,57,57,0.339590301149939,0.5533684603187677,0.8366307998565754,3
87,Notre Dame,fbs,,,,True,2,2,2,14.377830505620253,9,1,0.07779586566583958,4,19,16,2,34,33,1,57,57,0.3295446756182419,0.541028422907089,0.8322380998795688,4
245,Texas A&M,fbs,,,,True,2,2,2,14.465249715421677,9,1,0.07627028044820178,4,19,16,2,34,33,1,57,57,0.32563808179296716,0.5377062052381344,0.8311333312033803,5
2390,Miami,fbs,,,,True,3,3,3,14.995847579494352,10,1,0.06280068037906264,5,20,16,2,35,34,1,56,56,0.2884841031240999,0.5071459370106596,0.8280207722716356,6
251,Texas,fbs,,,,True,2,2,2,16.101477672999664,11,1,0.06307103411593612,5,21,17,2,38,37,1,64,64,0.286954833462441,0.4991527682643767,0.8082457147989723,7
333,Alabama,fbs,,,,True,2,2,2,16.26789452739437,11,1,0.0674867764643602,5,22,18,2,38,37,1,62,62,0.292020906515702,0.49114058307991787,0.7942483742345559,8
61,Georgia,fbs,,,,True,3,3,3,17.477151661292424,12,1,0.05544837487008268,5,24,20,2,41,40,1,62,62,0.25188531581009926,0.4453762734191135,0.7703744417651562,9
258,Virginia,fbs,,,,True,2,2,2,18.25513874145861,12,1,0.058803652696684826,5,24,20,2,45,44,1,70,70,0.2661306539666934,0.46286864079667356,0.7623036469389138,10
213,Penn State,fbs,,,,True,3,3,3,18.494507108997944,14,1,0.048381678559073875,6,26,21,3,42,40,1,63,63,0.22552018774751456,0.40805750780950056,0.7438251193390735,11
84,Indiana,fbs,,,,True,2,2,2,21.04048381121145,14,1,0.04897410838132246,6,30,25,3,50,48,1,75,75,0.22344460144010544,0.3977332496774453,0.705075126694354,12
57,Florida,fbs,,,,True,2,2,2,21.2468078938734,15,1,0.047369864281086464,6,30,25,3,50,48,1,74,74,0.2164804405152965,0.3875218684943981,0.6981914728210382,13
2306,Kansas State,fbs,,,,True,3,3,3,22.910782507877858,17,6,0.03109734217348569,8,33,26,4,52,49,1,73,73,0.16309403383236426,0.32710409694883713,0.6638030411866577,14
2633,Tennessee,fbs,,,,True,2,2,2,25.404557787812138,18,1,0.034686938623049515,8,37,30,3,58,56,1,83,83,0.16734106378999317,0.3144836202188964,0.6190591177458212,15
158,Nebraska,fbs,,,,True,2,2,2,25.410032059809115,19,1,0.033553305999166026,9,36,28,4,57,54,1,82,82,0.16074975254346138,0.30147805873472594,0.608791046517219,16
30,USC,fbs,,,,True,3,3,3,26.305122955242158,20,2,0.02871831692077688,9,38,30,4,58,55,1,81,81,0.14366071966909885,0.2785818278508808,0.5882630601704851,17
26,UCLA,fbs,,,,True,2,2,2,27.42053847491803,21,4,0.027439828720863802,10,39,30,4,61,58,1,86,86,0.13937273419273938,0.27275540022199707,0.5759198377053272,18
254,Utah,fbs,,,,True,2,2,2,29.351881829448452,22,1,0.02799100197845745,10,43,34,4,65,62,1,90,90,0.13651457233627498,0.26197129435356525,0.5477538622770673,19
120,Maryland,fbs,,,,True,2,2,2,29.510274625221186,22,1,0.029485729665414417,10,44,35,4,66,63,1,91,91,0.1424207160718815,0.26981937969648345,0.5504322917006269,20
221,Pittsburgh,fbs,,,,True,3,3,3,30.097994479478114,25,13,0.014192747374038871,13,42,30,6,61,56,2,83,82,0.08267209401870494,0.186956071674547,0.5024589199934565,21
2579,South Carolina,fbs,,,,True,2,2,2,32.02726231571799,26,1,0.02564864945691228,12,46,35,5,70,66,1,97,97,0.12150955058795268,0.2290669173438749,0.49856670311568285,22
2,Auburn,fbs,,,,True,2,2,2,32.75871187573998,27,10,0.017381937277880604,13,47,35,6,69,64,2,93,92,0.09357177817416172,0.1965350318846823,0.47982471360876927,23
167,New Mexico,fbs,,,,True,2,2,2,32.860516519863424,26,1,0.022968726245718468,12,49,38,5,71,67,2,95,94,0.11417151205407615,0.2237882054443272,0.4900052823158837,24
259,Virginia Tech,fbs,,,,True,2,2,2,33.39203833761578,27,4,0.022521931686926823,12,50,39,5,72,68,2,96,95,0.11370005819913048,0.22484540569510605,0.48695120363740674,25
201,Oklahoma,fbs,,,,True,2,2,2,33.573723872692305,28,12,0.015192033627325786,14,48,35,6,70,65,2,95,94,0.0835417070423368,0.18014455351031483,0.46251529272716635,26
2116,UCF,fbs,,,,True,2,2,2,33.86020678580759,28,11,0.016012019807241047,13,50,38,6,71,66,2,95,94,0.08967046645802243,0.19541477343657102,0.47378854212559357,27
