candidate,margin_mae,margin_nll,n,phase,target_kind,win_brier
OD0,14.413785770176041,4.334357628523307,855,early,next_game,0.18578814173034588
OD0,13.848293868575743,4.302977179247199,244,late,next_game,0.23050934850232607
OD0,13.31523305721247,4.25790220598813,492,mid,next_game,0.19120624121428142
OD1,14.310943611234123,4.330700126392785,855,early,next_game,0.18504918391837294
OD1,13.906037126792846,4.303659679128968,244,late,next_game,0.2301483273551271
OD1,13.26765854577702,4.255783436887369,492,mid,next_game,0.1906885537814918
Posterior V1,14.083894252895746,4.296001328181802,855,early,next_game,0.17875220467942296
Posterior V1,14.283494665341536,4.338667549697388,244,late,next_game,0.23608800972178587
Posterior V1,13.191409413101358,4.233364038429694,492,mid,next_game,0.18935011761801482
