away_score_mae,away_score_nll,candidate,home_score_mae,home_score_nll,margin_mae,margin_nll,n,season,target_kind,total_points_mae,total_points_nll,win_brier
9.738921414344853,3.922150799621927,OD0,10.279763944177988,3.988204716523677,14.430002917164614,4.3407056649196125,459,2018,next_game,13.044272298743222,4.2627970317859365,0.18915880652471853
9.296033243536673,3.894574447518876,OD0,9.951537577693646,3.95045228666766,13.992335532767093,4.279520129990427,473,2019,next_game,13.176943066167116,4.258653784756055,0.19361090188940439
9.204525730490627,3.8785010945444425,OD0,9.455490692883977,3.9027253432607343,13.177950746048126,4.280287022205971,196,2020,next_game,12.27250763769951,4.194086596159151,0.23103462329904162
9.797478803370508,3.929472396435004,OD0,10.058929842650253,3.966268516488814,13.886049264316854,4.309194193161901,463,2021,next_game,13.644097884287646,4.2796939003218615,0.18462630223821497
9.741808129973956,3.921967240055013,OD1,10.277426131524669,3.9872165569482974,14.393934935042973,4.33921952134692,459,2018,next_game,12.998097272777903,4.263111456216335,0.18887711655204223
9.202829586182165,3.8904796489270943,OD1,9.913657272453719,3.947933948772934,13.942115194834704,4.276847274772965,473,2019,next_game,13.1176069075816,4.254713503487008,0.19321946674646232
9.172131202907266,3.8774538561392617,OD1,9.44131879594704,3.90191741319063,13.22958908415457,4.280619813033182,196,2020,next_game,12.199055400414121,4.191898636856654,0.23071206998183236
9.740801625431656,3.927053277556185,OD1,10.014020390804664,3.9630924431568597,13.741213322309049,4.304611265878041,463,2021,next_game,13.605145312207295,4.278681635394948,0.18333702505496902
,,Posterior V1,,,14.564785868083165,4.3374001626840615,459,2018,next_game,,,0.19049199657928428
,,Posterior V1,,,13.745018224870945,4.248765620099697,473,2019,next_game,,,0.18991291887240513
,,Posterior V1,,,13.381746710089155,4.298677075108931,196,2020,next_game,,,0.22967760672681445
,,Posterior V1,,,13.407393146486962,4.258007786022724,463,2021,next_game,,,0.1756315750887493
