bin,control,correlation,early_defense_mean,early_offense_mean,kind,lag,late_defense_mean,late_offense_mean,n_games,n_pairs,period,relation,scale,season,slope,team_id
all,shuffle_order,0.008527025137551327,,,,1,,,,115940,evaluation,defense->offense,demeaned,all,0.008484042247625025,
all,shuffle_order,0.01551699595022169,,,,2,,,,105440,evaluation,defense->offense,demeaned,all,0.015470472760303017,
all,unrelated_team,-0.0007879152536892349,,,,1,,,,108956,evaluation,defense->offense,demeaned,all,-0.0007867414463196529,
all,unrelated_team,0.005625157743650435,,,,2,,,,98456,evaluation,defense->offense,demeaned,all,0.005636047748996266,
all,shuffle_components,-0.0006095583249481611,,,,1,,,,108017,evaluation,offense->defense,demeaned,all,-0.0006133834538066701,
all,shuffle_components,0.003153429766084978,,,,2,,,,97551,evaluation,offense->defense,demeaned,all,0.00317973585040826,
all,shuffle_order,0.01735198334453814,,,,1,,,,115940,evaluation,offense->defense,demeaned,all,0.017412775945671102,
all,shuffle_order,0.013855907856715248,,,,2,,,,105440,evaluation,offense->defense,demeaned,all,0.013898338538772533,
all,unrelated_team,0.0031392166360468257,,,,1,,,,108956,evaluation,offense->defense,demeaned,all,0.003166337880942327,
all,unrelated_team,0.006228441716382906,,,,2,,,,98456,evaluation,offense->defense,demeaned,all,0.006286735365065162,
all,shuffle_components,-0.005820338201618548,,,,1,,,,108017,evaluation,offense->offense,demeaned,all,-0.00584027039423441,
all,shuffle_components,-0.0044817154954250185,,,,2,,,,97551,evaluation,offense->offense,demeaned,all,-0.004507988403235006,
all,shuffle_order,-0.09053606005366245,,,,1,,,,115940,evaluation,offense->offense,demeaned,all,-0.09051105661894035,
all,shuffle_order,-0.09161836271291525,,,,2,,,,105440,evaluation,offense->offense,demeaned,all,-0.09167557616152418,
all,unrelated_team,-0.0017953087114795823,,,,1,,,,108956,evaluation,offense->offense,demeaned,all,-0.0018043594901849594,
all,unrelated_team,0.00025059485007055136,,,,2,,,,98456,evaluation,offense->offense,demeaned,all,0.00025211903309490846,
all,shuffle_components,0.0022997344978338656,,,,1,,,,108017,evaluation,defense->defense,raw,all,0.0023018589696126557,
all,shuffle_components,-0.00449312311596285,,,,2,,,,97551,evaluation,defense->defense,raw,all,-0.004501444757122556,
all,shuffle_order,0.055282302436018144,,,,1,,,,115940,evaluation,defense->defense,raw,all,0.055348861959165226,
all,shuffle_order,0.06008049814359758,,,,2,,,,105440,evaluation,defense->defense,raw,all,0.06013034870297691,
all,unrelated_team,0.0038298717993274986,,,,1,,,,108956,evaluation,defense->defense,raw,all,0.003838054758065388,
all,unrelated_team,-0.005249894596317087,,,,2,,,,98456,evaluation,defense->defense,raw,all,-0.005272983350995909,
all,shuffle_components,0.0029058769945750377,,,,1,,,,108017,evaluation,defense->offense,raw,all,0.002911091281895615,
all,shuffle_components,0.004609336015374683,,,,2,,,,97551,evaluation,defense->offense,raw,all,0.004631159308579364,
all,shuffle_order,-0.08387044307414125,,,,1,,,,115940,evaluation,defense->offense,raw,all,-0.08396508543066125,
all,shuffle_order,-0.08372207604452386,,,,2,,,,105440,evaluation,defense->offense,raw,all,-0.08381787869403413,
all,unrelated_team,-0.002998592336390096,,,,1,,,,108956,evaluation,defense->offense,raw,all,-0.003005817933578233,
all,unrelated_team,0.001301599102740854,,,,2,,,,98456,evaluation,defense->offense,raw,all,0.0013102514838066307,
all,shuffle_components,0.00011395379901482435,,,,1,,,,108017,evaluation,offense->defense,raw,all,0.00011386805176893429,
all,shuffle_components,0.002613827213659824,,,,2,,,,97551,evaluation,offense->defense,raw,all,0.0026140277950426278,
all,shuffle_order,-0.08537047572259,,,,1,,,,115940,evaluation,offense->defense,raw,all,-0.08540187961990263,
all,shuffle_order,-0.08369827850068529,,,,2,,,,105440,evaluation,offense->defense,raw,all,-0.08367620504391415,
all,unrelated_team,-0.0013615515858303976,,,,1,,,,108956,evaluation,offense->defense,raw,all,-0.0013636074891134628,
all,unrelated_team,0.0005207778107935745,,,,2,,,,98456,evaluation,offense->defense,raw,all,0.000521281743714855,
all,shuffle_components,-0.007374479082824483,,,,1,,,,108017,evaluation,offense->offense,raw,all,-0.007375339477069647,
all,shuffle_components,-0.006028649804514284,,,,2,,,,97551,evaluation,offense->offense,raw,all,-0.006046459229853986,
all,shuffle_order,0.06732785519325842,,,,1,,,,115940,evaluation,offense->offense,raw,all,0.06734753911385351,
all,shuffle_order,0.07025544327447945,,,,2,,,,105440,evaluation,offense->offense,raw,all,0.07025899075933335,
all,unrelated_team,0.0009476934777738742,,,,1,,,,108956,evaluation,offense->offense,raw,all,0.0009493830721040943,
all,unrelated_team,0.0030902830341861635,,,,2,,,,98456,evaluation,offense->offense,raw,all,0.0031002013778839354,
all,shuffle_components,0.001606744794119211,,,,1,,,,239565,training,defense->defense,demeaned,all,0.0016162132331826958,
all,shuffle_components,0.00017445795948006423,,,,2,,,,214930,training,defense->defense,demeaned,all,0.00017631647775980582,
all,shuffle_order,-0.09503385008621842,,,,1,,,,262050,training,defense->defense,demeaned,all,-0.09498787245196944,
all,shuffle_order,-0.09356242512997368,,,,2,,,,237310,training,defense->defense,demeaned,all,-0.09353062916200902,
all,unrelated_team,-0.0005935394658519859,,,,1,,,,243177,training,defense->defense,demeaned,all,-0.0005962731551302269,
all,unrelated_team,0.003327628863857089,,,,2,,,,218437,training,defense->defense,demeaned,all,0.003358058007233706,
all,shuffle_components,-0.0016763712037174557,,,,1,,,,239565,training,defense->offense,demeaned,all,-0.001685342035794623,
all,shuffle_components,0.003242349451577808,,,,2,,,,214930,training,defense->offense,demeaned,all,0.003274431427664056,
all,shuffle_order,0.019068240820797364,,,,1,,,,262050,training,defense->offense,demeaned,all,0.019079916727700246,
all,shuffle_order,0.020231536646289905,,,,2,,,,237310,training,defense->offense,demeaned,all,0.020265095292059995,
all,unrelated_team,-0.003334379968953073,,,,1,,,,243177,training,defense->offense,demeaned,all,-0.003349426761865216,
all,unrelated_team,0.0018198948690652617,,,,2,,,,218437,training,defense->offense,demeaned,all,0.0018361790911774728,
all,shuffle_components,0.0003500609070240517,,,,1,,,,239565,training,offense->defense,demeaned,all,0.0003520077220071829,
all,shuffle_components,0.0004753380757792575,,,,2,,,,214930,training,offense->defense,demeaned,all,0.00047965449278481115,
all,shuffle_order,0.018700948270310696,,,,1,,,,262050,training,offense->defense,demeaned,all,0.018685750694340125,
all,shuffle_order,0.017301462035112104,,,,2,,,,237310,training,offense->defense,demeaned,all,0.01728048770844539,
all,unrelated_team,-0.004218087610924288,,,,1,,,,243177,training,offense->defense,demeaned,all,-0.004236534151485653,
all,unrelated_team,-0.00016693381721561053,,,,2,,,,218437,training,offense->defense,demeaned,all,-0.00016819554953438617,
all,shuffle_components,-0.0021381710520268923,,,,1,,,,239565,training,offense->offense,demeaned,all,-0.002148904556021507,
all,shuffle_components,-0.0034583849231438696,,,,2,,,,214930,training,offense->offense,demeaned,all,-0.00348717071712843,
all,shuffle_order,-0.09124160141272589,,,,1,,,,262050,training,offense->offense,demeaned,all,-0.09126743198873999,
all,shuffle_order,-0.09041027305371957,,,,2,,,,237310,training,offense->offense,demeaned,all,-0.09048120314765226,
all,unrelated_team,0.0012393944705106233,,,,1,,,,243177,training,offense->offense,demeaned,all,0.0012446992041297116,
all,unrelated_team,-0.0035830001033608865,,,,2,,,,218437,training,offense->offense,demeaned,all,-0.003609378461990008,
all,shuffle_components,0.005931125031072731,,,,1,,,,239565,training,defense->defense,raw,all,0.005962282923080103,
all,shuffle_components,0.004267278529580726,,,,2,,,,214930,training,defense->defense,raw,all,0.0043160592621647965,
all,shuffle_order,0.08824315151909645,,,,1,,,,262050,training,defense->defense,raw,all,0.0881930390293326,
all,shuffle_order,0.09014078822900229,,,,2,,,,237310,training,defense->defense,raw,all,0.0899896405543541,
all,unrelated_team,0.008031048096788984,,,,1,,,,243177,training,defense->defense,raw,all,0.008061977564163924,
all,unrelated_team,0.011248936442793395,,,,2,,,,218437,training,defense->defense,raw,all,0.01135345276253649,
all,shuffle_components,-0.007676265410600001,,,,1,,,,239565,training,defense->offense,raw,all,-0.007735840566116078,
all,shuffle_components,-0.0027514086256761787,,,,2,,,,214930,training,defense->offense,raw,all,-0.002791020975005336,
all,shuffle_order,-0.10640654196709837,,,,1,,,,262050,training,defense->offense,raw,all,-0.10649646485347668,
all,shuffle_order,-0.10431260863665161,,,,2,,,,237310,training,defense->offense,raw,all,-0.10440766975872127,
all,unrelated_team,-0.012135209434126626,,,,1,,,,243177,training,defense->offense,raw,all,-0.012217118222021484,
all,unrelated_team,-0.008044778381357087,,,,2,,,,218437,training,defense->offense,raw,all,-0.008147052122685919,
all,shuffle_components,-0.007324469113243537,,,,1,,,,239565,training,offense->defense,raw,all,-0.007338794809581835,
all,shuffle_components,-0.007994410955246752,,,,2,,,,214930,training,offense->defense,raw,all,-0.008047469849347181,
all,shuffle_order,-0.10908506652309735,,,,1,,,,262050,training,offense->defense,raw,all,-0.10891078582820515,
all,shuffle_order,-0.10450538822152229,,,,2,,,,237310,training,offense->defense,raw,all,-0.10422840741891345,
all,unrelated_team,-0.013442555168439651,,,,1,,,,243177,training,offense->defense,raw,all,-0.01345151672038757,
all,unrelated_team,-0.009877928519090893,,,,2,,,,218437,training,offense->defense,raw,all,-0.009927132284239717,
all,shuffle_components,0.005968123864209626,,,,1,,,,239565,training,offense->offense,raw,all,0.005994713723717975,
all,shuffle_components,0.004805943391451955,,,,2,,,,214930,training,offense->offense,raw,all,0.004852026196243457,
all,shuffle_order,0.09042418274484533,,,,1,,,,262050,training,offense->offense,raw,all,0.09040735159080181,
all,shuffle_order,0.08869873018734244,,,,2,,,,237310,training,offense->offense,raw,all,0.08869298110884329,
all,unrelated_team,0.010210086907904677,,,,1,,,,243177,training,offense->offense,raw,all,0.010246393000549782,
all,unrelated_team,0.005747329466265245,,,,2,,,,218437,training,offense->offense,raw,all,0.005795540428219334,
,,,3.8695540699762034,-4.95616547513926,early_late,,8.025765014331709,-8.34923234670023,14,,training,,,2008,,103
,,,-5.289077447084637,7.497663916127317,early_late,,-2.0520889385272008,3.0013190913514207,11,,training,,,2008,,107
,,,-0.1310821918237078,-3.544340828611754,early_late,,2.1562892376071536,-7.256969399180892,10,,training,,,2008,,108
,,,6.822250860253198,5.618701641374591,early_late,,3.0887738699258,-5.598558840936323,12,,training,,,2008,,111
,,,-5.308780498413146,2.8291118700498235,early_late,,3.1264049378998338,0.6057388937043781,12,,training,,,2008,,113
,,,-1.8941983541943763,-6.052602282027704,early_late,,-4.439665396049853,6.4470759671621005,12,,training,,,2008,,119
,,,1.3482751506185269,2.680438893308588,early_late,,2.477737009316491,5.753939247764599,13,,training,,,2008,,12
,,,0.9331550131965219,-10.779989524330974,early_late,,5.449127130634571,-5.7032420594887485,13,,training,,,2008,,120
,,,5.389833479667065,-5.444669444309542,early_late,,-0.23631487344734733,-6.531541206427811,13,,training,,,2008,,127
,,,-3.7871776591921233,4.561466760524014,early_late,,-3.9726883720711377,9.624112832350676,7,,training,,,2008,,13
,,,4.76263888486461,-7.071864039111996,early_late,,3.480254123880188,2.645751199903581,12,,training,,,2008,,130
,,,6.355869851568161,-0.16451119999529476,early_late,,-0.7383972985780944,-9.033623631558559,13,,training,,,2008,,135
,,,-4.530429299173776,11.84979441337357,early_late,,-6.014693099046653,4.959109940441361,14,,training,,,2008,,142
,,,-3.046851083559012,-4.926662287753175,early_late,,8.079579108387083,1.21292420397805,13,,training,,,2008,,145
,,,-6.715602342773733,-1.3614490504691594,early_late,,-0.2555565576803425,-2.535481861135056,11,,training,,,2008,,147
,,,-0.7084189092561376,-0.3216775460441828,early_late,,3.311681744794676,-2.153428743845223,12,,training,,,2008,,149
,,,6.459252049908339,-0.0872258209524895,early_late,,10.195890492749793,-7.471945764560144,12,,training,,,2008,,150
,,,2.8030012884865054,-3.9207964730653866,early_late,,5.525338686534354,-9.91274478930325,14,,training,,,2008,,151
,,,-3.824494886420412,-9.204306090614573,early_late,,7.87946084081314,1.5842345078326783,13,,training,,,2008,,152
,,,4.5805570910212605,0.5340792201604311,early_late,,3.73833275226992,-5.414036437853398,13,,training,,,2008,,153
,,,10.136855583884255,-9.864314006759015,early_late,,5.0115915338670645,-7.9979205133991105,13,,training,,,2008,,154
,,,-4.781842524863438,0.5503212178266222,early_late,,-5.954094720717876,5.036393232015947,13,,training,,,2008,,158
,,,2.4425951508804915,0.029336514092445753,early_late,,1.921745049927614,-4.491513586860433,10,,training,,,2008,,159
,,,-1.9421726377801711,1.043932781556515,early_late,,-0.1429596464474777,1.221559494542253,10,,training,,,2008,,16
,,,-5.188989729668585,2.4859396758314216,early_late,,0.01952256136471142,4.387745406058147,12,,training,,,2008,,160
,,,3.2115589670289224,-4.201699669759124,early_late,,9.203044782313356,-7.21021385447469,10,,training,,,2008,,163
,,,2.6671722931171336,-13.853208758446323,early_late,,6.407932410659876,6.398420363393699,13,,training,,,2008,,164
,,,0.5274616894896381,5.48098381862881,early_late,,-1.41488501483059,-5.082721272140527,12,,training,,,2008,,166
,,,2.864503116760863,-3.3033331405490753,early_late,,13.544876581607454,-3.6229596757024844,12,,training,,,2008,,167
,,,7.657718172307146,-4.3555404644809,early_late,,5.1672336539024375,-2.8460249828856075,10,,training,,,2008,,171
,,,4.045681185001834,-0.367577451786212,early_late,,3.9419516646775654,-8.67130697211048,10,,training,,,2008,,172
,,,-0.057149325821068686,-4.103627196681897,early_late,,3.7616460297442558,-1.9061902275656843,12,,training,,,2008,,183
,,,4.077460729301323,-0.4237088613419499,early_late,,2.4339313230540935,-2.4005716009225115,12,,training,,,2008,,189
,,,8.387005885979098,-2.8261386515483964,early_late,,-1.862212758725957,0.3032843172974384,12,,training,,,2008,,193
,,,1.5517581154032003,-12.328053088790961,early_late,,10.442308751029978,-3.8529175819504844,13,,training,,,2008,,194
,,,5.2686315224189455,0.7221536515581167,early_late,,2.288522367408355,-1.7126472232349172,12,,training,,,2008,,195
,,,-5.111719943752155,10.675135518720351,early_late,,-5.862295282606174,5.128192670127651,13,,training,,,2008,,197
,,,15.75895080430143,-9.908885453008512,early_late,,6.870270373586195,-8.009540830607968,12,,training,,,2008,,2
,,,5.373654028993893,-1.8394905085336035,early_late,,0.99954410509326,-5.152825085030059,13,,training,,,2008,,2005
,,,5.709692057379087,0.8751891334024814,early_late,,-9.360357094478822,6.971806648211239,12,,training,,,2008,,2006
,,,-3.9639564361587576,7.844838704960018,early_late,,-7.338271694751795,20.715302372787693,14,,training,,,2008,,201
,,,1.1370024801988037,-3.908208283621355,early_late,,1.6964971180907469,-2.3389837409195238,10,,training,,,2008,,2010
,,,5.976983417037353,-1.281355608070406,early_late,,10.984481935057557,-12.473221146174934,10,,training,,,2008,,2011
,,,6.66188267835397,-4.337962836820933,early_late,,2.9328759000443196,-2.8655679219289123,12,,training,,,2008,,2016
,,,-8.689823729475899,19.341599582551492,early_late,,-6.572394418107572,4.418093534626251,14,,training,,,2008,,202
