actual_margin,actual_total_points,away_score_mae,away_score_nll,away_team_id,candidate,cutoff,cutoff_index,expected_away_points,expected_home_points,expected_margin,home_score_mae,home_score_nll,home_team_id,margin_mae,margin_nll,phase,season,target_date,target_game_id,target_kind,total_points_mae,total_points_nll,win_brier,win_probability
7.0,,,,62,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,12.173343130672992,,,349,5.173343130672992,3.819204197778745,early,2018,2018-09-15T16:00:00+00:00,401013368,next_game,,,0.05705769619284402,0.7611324714557376
7.0,,,,227,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,6.2476103869639354,,,41,0.7523896130360646,3.7943563716539446,early,2018,2018-09-15T16:00:00+00:00,401019486,next_game,,,0.13175060331058777,0.6370253406770828
22.0,,,,301,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,10.455144244214392,,,108,11.544855755785608,4.080522534390123,early,2018,2018-09-15T16:00:00+00:00,401029861,next_game,,,0.09686112181229603,0.6887748053060356
5.0,,,,2168,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,-7.066702838115835,,,2184,12.066702838115834,4.130284602650335,early,2018,2018-09-15T16:00:00+00:00,401030553,next_game,,,0.4218565596485121,0.3504951427059902
5.0,,,,59,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,-7.507090512533465,,,221,12.507090512533466,4.077748476507329,early,2018,2018-09-15T16:30:00+00:00,401013112,next_game,,,0.44655725426952664,0.33175060473687923
7.0,,,,2655,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,-6.365437387285944,,,5,13.365437387285944,4.115404450106584,early,2018,2018-09-15T17:00:00+00:00,401014996,next_game,,,0.4157148199849898,0.35524049445937617
3.0,,,,43,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,-0.6829850173032033,,,107,3.6829850173032033,4.036270395082141,early,2018,2018-09-15T17:05:00+00:00,401029876,next_game,,,0.2695329819999993,0.4808343405039204
41.0,,,,46,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,-2.311998824034636,,,159,43.31199882403464,6.043288632207465,early,2018,2018-09-15T17:30:00+00:00,401029853,next_game,,,0.29890491804406194,0.45327802491205654
20.0,,,,302,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,32.180768252958565,,,24,12.180768252958565,3.9890492800485093,early,2018,2018-09-15T18:00:00+00:00,401012747,next_game,,,0.0006355817718547755,0.9747892528501281
35.0,,,,2674,Posterior V1,2018-09-09T03:59:00.000001+00:00,1,,,7.823216284444419,,,2754,27.17678371555558,4.784491997317007,early,2018,2018-09-15T18:00:00+00:00,401030184,next_game,,,0.12050727388525213,0.6528584238595841
