season,from_cutoff,to_cutoff,team_id,team_name,games_played,expected_rank_before,expected_rank_after,expected_rank_change,pmf_tv
2025,2025-11-23T23:59:59+00:00,2025-12-13T23:59:59+00:00,41,UConn,12,82.89156710497127,80.93468222989215,-1.9568848750791261,0.05038208387914915
2022,2022-11-23T23:59:59+00:00,2022-12-10T23:59:59+00:00,259,Virginia Tech,11,95.52935465514368,96.69917178406838,1.1698171289247057,0.03827267825171264
2022,2022-11-23T23:59:59+00:00,2022-12-10T23:59:59+00:00,2050,Ball State,12,108.6072333306649,109.37483696142145,0.7676036307565539,0.032891674434344625
2022,2022-11-23T23:59:59+00:00,2022-12-10T23:59:59+00:00,193,Miami (OH),12,108.118178734292,108.79343658955203,0.6752578552600284,0.02885236018434988
2022,2022-11-09T23:59:59+00:00,2022-11-23T23:59:59+00:00,2006,Akron,10,123.0983540626037,122.62963836972003,-0.4687156928836771,0.034365016495276006
2022,2022-11-23T23:59:59+00:00,2022-12-10T23:59:59+00:00,258,Virginia,10,89.34631589238184,89.81108392003348,0.46476802765164393,0.013262220804797642
2022,2022-11-23T23:59:59+00:00,2022-12-10T23:59:59+00:00,2429,Charlotte,12,123.1601894521851,122.81170708150202,-0.3484823706830724,0.025290912361738065
2025,2025-11-23T23:59:59+00:00,2025-12-13T23:59:59+00:00,2006,Akron,12,122.96529079619307,122.70356274026507,-0.2617280559280033,0.01513232350320282
2022,2022-11-23T23:59:59+00:00,2022-12-10T23:59:59+00:00,189,Bowling Green,12,114.81375622981516,115.01768151079087,0.20392528097571017,0.00890261968510813
2023,2023-11-18T23:59:59+00:00,2023-12-09T23:59:59+00:00,2348,Louisiana Tech,12,120.0012040128044,119.80859265319918,-0.19261135960520903,0.011021717543941807
2023,2023-11-18T23:59:59+00:00,2023-12-09T23:59:59+00:00,30,USC,12,36.507097412995805,36.331013359953666,-0.17608405304213903,0.005275107897280327
2022,2022-11-23T23:59:59+00:00,2022-12-10T23:59:59+00:00,41,UConn,12,108.28623330034826,108.43753372936955,0.15130042902129048,0.006333782467806257
