season,cutoff,season_phase,team_id,team_name,games_played,games_played_bucket,performance_expected_rank,predictive_expected_rank,performance_minus_predictive_expected_rank,performance_median_rank,predictive_median_rank,performance_minus_predictive_median_rank,performance_interval_80_width,predictive_interval_80_width,pmf_tv,rated
2026,2026-09-06T17:34:56.895103+00:00,current,2393,Middle Tennessee,1,1-3,84.62800834027892,114.60018039595732,-29.9721720556784,90,121,-31,99,49,0.40120636987697095,True
2026,2026-09-06T17:34:56.895103+00:00,current,2426,Navy,1,1-3,78.02184545992935,91.24874227022494,-13.226896810295585,81,96,-15,101,79,0.18419670175919137,True
2026,2026-09-06T17:34:56.895103+00:00,current,2429,Charlotte,1,1-3,109.33768363271497,127.64033562228612,-18.302651989571146,119,131,-12,68,23,0.3607094800548091,True
2026,2026-09-06T17:34:56.895103+00:00,current,2433,UL Monroe,1,1-3,112.96147807048459,126.26157132970951,-13.300093259224923,121,130,-9,60,25,0.2895575642180519,True
2026,2026-09-06T17:34:56.895103+00:00,current,2439,UNLV,2,1-3,64.50243816632003,71.81140258927243,-7.3089644229524,64,72,-8,82,76,0.10592354592404106,True
2026,2026-09-06T17:34:56.895103+00:00,current,2440,Nevada,1,1-3,32.87288452495069,71.09779397744946,-38.224909452498764,25,71,-46,71,84,0.4877492626100983,True
2026,2026-09-06T17:34:56.895103+00:00,current,2449,North Dakota State,2,1-3,41.281505703209795,37.65172810673155,3.629777596478249,36,32,4,76,67,0.09172797162499279,True
2026,2026-09-06T17:34:56.895103+00:00,current,2459,Northern Illinois,1,1-3,99.58316997846312,113.34157843285585,-13.758408454392736,107,119,-12,81,50,0.23067039813487833,True
2026,2026-09-06T17:34:56.895103+00:00,current,2483,Oregon,1,1-3,56.946865184102776,9.426602783790841,47.520262400311935,54,6,48,92,20,0.7219935607230963,True
2026,2026-09-06T17:34:56.895103+00:00,current,2509,Purdue,1,1-3,75.70272647395382,82.7006856188127,-6.997959144858882,78,86,-8,100,83,0.13381916597237192,True
2026,2026-09-06T17:34:56.895103+00:00,current,2534,Sam Houston,1,1-3,73.81606625599811,113.62347182266315,-39.80740556666504,75,120,-45,95,53,0.5127516702234579,True
2026,2026-09-06T17:34:56.895103+00:00,current,2567,SMU,0,0,69.50000000000001,47.52661921736889,21.973380782631125,70,41,29,111,84,0.26050317129545064,False
2026,2026-09-06T17:34:56.895103+00:00,current,2572,Southern Miss,1,1-3,53.54127223646858,64.13435728802607,-10.593085051557487,49,63,-14,97,84,0.17451175733162264,True
2026,2026-09-06T17:34:56.895103+00:00,current,2579,South Carolina,1,1-3,28.837362659387434,23.15815416640997,5.679208492977462,21,18,3,64,44,0.16878821113055595,True
2026,2026-09-06T17:34:56.895103+00:00,current,2623,Missouri State,1,1-3,105.59716803342721,111.823732479723,-6.2265644462957965,114,118,-4,74,53,0.1505060163599137,True
2026,2026-09-06T17:34:56.895103+00:00,current,2628,TCU,1,1-3,76.97196364428751,54.71739996712589,22.25456367716162,79,52,27,95,77,0.28423428690475305,True
2026,2026-09-06T17:34:56.895103+00:00,current,2633,Tennessee,1,1-3,52.743100870168185,28.902302115915095,23.84079875425309,48,22,26,96,56,0.327946019702833,True
2026,2026-09-06T17:34:56.895103+00:00,current,2636,UTSA,1,1-3,69.4004693053835,67.15751313505571,2.242956170327787,70,67,3,102,87,0.10961919394036423,True
2026,2026-09-06T17:34:56.895103+00:00,current,2638,UTEP,1,1-3,106.63700110247248,127.079568691606,-20.442567589133517,115,131,-16,72,25,0.3906126037169391,True
2026,2026-09-06T17:34:56.895103+00:00,current,2641,Texas Tech,1,1-3,78.95934799765753,29.423500074970146,49.53584792268738,83,23,60,100,59,0.5732673046475834,True
2026,2026-09-06T17:34:56.895103+00:00,current,2649,Toledo,1,1-3,79.85051474151471,73.4424543674393,6.4080603740754185,83,74,9,93,83,0.1161475315377993,True
2026,2026-09-06T17:34:56.895103+00:00,current,2653,Troy,1,1-3,90.32261046689602,94.36205973591308,-4.039449269017055,96,99,-3,90,72,0.1259025555878548,True
2026,2026-09-06T17:34:56.895103+00:00,current,2655,Tulane,1,1-3,81.33429857492573,73.2665858335378,8.067712741387922,84,74,10,93,85,0.11934432805794247,True
2026,2026-09-06T17:34:56.895103+00:00,current,2711,Western Michigan,1,1-3,47.62233852746485,45.04055978145487,2.581778746009981,42,40,2,87,73,0.11165122283046833,True
2026,2026-09-06T17:34:56.895103+00:00,current,2751,Wyoming,1,1-3,102.76885385147315,113.4080570972622,-10.639203245789048,111,119,-8,76,48,0.20518469481003157,True
