season,cutoff,season_phase,team_id,team_name,games_played,games_played_bucket,performance_expected_rank,predictive_expected_rank,performance_minus_predictive_expected_rank,performance_median_rank,predictive_median_rank,performance_minus_predictive_median_rank,performance_interval_80_width,predictive_interval_80_width,pmf_tv,rated
2022,2022-08-27T23:59:59+00:00,early,103,Boston College,0,0,66.0,62.327051030544396,3.6729489694556037,66,61,5,104,85,0.1559329062868213,False
2022,2022-08-27T23:59:59+00:00,early,113,Massachusetts,0,0,66.00000000000001,119.39728948316642,-53.397289483166404,66,124,-58,104,28,0.6779384473347463,False
2022,2022-08-27T23:59:59+00:00,early,12,Arizona,0,0,66.0,89.28009373670514,-23.28009373670514,66,95,-29,104,76,0.2924602028664295,False
2022,2022-08-27T23:59:59+00:00,early,120,Maryland,0,0,66.0,50.35335577956366,15.646644220436343,66,46,20,104,80,0.22522590368033968,False
2022,2022-08-27T23:59:59+00:00,early,127,Michigan State,0,0,66.0,27.24242302501521,38.75757697498479,66,20,46,104,55,0.473301510425626,False
2022,2022-08-27T23:59:59+00:00,early,130,Michigan,0,0,66.0,11.158588122490844,54.84141187750916,66,7,59,104,24,0.7073160001686132,False
2022,2022-08-27T23:59:59+00:00,early,135,Minnesota,0,0,66.0,33.01713885727898,32.98286114272102,66,26,40,104,64,0.39932658009824185,False
2022,2022-08-27T23:59:59+00:00,early,142,Missouri,0,0,66.0,62.3189489801741,3.681051019825901,66,61,5,104,84,0.16047664859069366,False
2022,2022-08-27T23:59:59+00:00,early,145,Ole Miss,0,0,66.0,48.6006763836402,17.3993236163598,66,44,22,104,79,0.24003845024511367,False
2022,2022-08-27T23:59:59+00:00,early,150,Duke,0,0,66.0,95.87057127872312,-29.87057127872312,66,103,-37,104,68,0.36355580731620896,False
2022,2022-08-27T23:59:59+00:00,early,151,East Carolina,0,0,66.0,69.69555627201883,-3.695556272018834,66,71,-5,104,85,0.15220404059013257,False
2022,2022-08-27T23:59:59+00:00,early,152,NC State,0,0,66.0,40.25165083849,25.74834916151,66,34,32,104,73,0.323038342017687,False
2022,2022-08-27T23:59:59+00:00,early,153,North Carolina,0,0,66.0,48.979618135503955,17.020381864496045,66,44,22,104,82,0.22897684297984724,False
2022,2022-08-27T23:59:59+00:00,early,154,Wake Forest,0,0,66.0,39.06659701204033,26.933402987959667,66,33,33,104,72,0.332396874705265,False
2022,2022-08-27T23:59:59+00:00,early,158,Nebraska,1,1-3,76.9438998520625,76.35736446146272,0.5865353905997779,80,79,1,89,77,0.0950692805768518,True
2022,2022-08-27T23:59:59+00:00,early,164,Rutgers,0,0,66.0,68.39043298954445,-2.3904329895444505,66,69,-3,104,84,0.15622262391600872,False
2022,2022-08-27T23:59:59+00:00,early,166,New Mexico State,0,0,66.0,119.50562522545805,-53.50562522545805,66,125,-59,104,28,0.677042703507754,False
2022,2022-08-27T23:59:59+00:00,early,167,New Mexico,0,0,66.0,107.11983069861061,-41.11983069861061,66,114,-48,104,51,0.49860416115163814,False
2022,2022-08-27T23:59:59+00:00,early,183,Syracuse,0,0,66.0,68.35525959924131,-2.3552595992413075,66,69,-3,104,84,0.15671689032960262,False
2022,2022-08-27T23:59:59+00:00,early,189,Bowling Green,0,0,66.0,87.68554708789512,-21.685547087895117,66,93,-27,104,74,0.288442315805265,False
2022,2022-08-27T23:59:59+00:00,early,193,Miami (OH),0,0,66.0,73.17772262834902,-7.1777226283490165,66,75,-9,104,88,0.14555522259371761,False
2022,2022-08-27T23:59:59+00:00,early,194,Ohio State,0,0,66.0,9.296201512908999,56.703798487091,66,5,61,104,20,0.7377036036812901,False
