team_id,team_name,cutoff,games_played,context_expected_rank,history_expected_rank,context_minus_history_expected_rank,pmf_tv
103,Boston College,2026-09-06T17:34:56.895103+00:00,1,89.68127956468823,86.19461638742361,3.4866631772646173,0.043845091796500285
113,Massachusetts,2026-09-06T17:34:56.895103+00:00,1,42.389408576897004,45.8486021472963,-3.459193570399293,0.04524578551654658
12,Arizona,2026-09-06T17:34:56.895103+00:00,1,67.67878208791772,67.67878208791774,-1.4210854715202004e-14,9.77950359581925e-17
120,Maryland,2026-09-06T17:34:56.895103+00:00,1,42.53038483256511,42.5303848325651,1.4210854715202004e-14,6.4211873665454e-17
127,Michigan State,2026-09-06T17:34:56.895103+00:00,1,58.57711201129892,59.311684146578386,-0.7345721352794641,0.008933723531280371
130,Michigan,2026-09-06T17:34:56.895103+00:00,1,68.00140420153917,74.16989177053227,-6.1684875689931005,0.07298912080292463
135,Minnesota,2026-09-06T17:34:56.895103+00:00,1,41.66088619336431,41.63365208635141,0.02723410701290163,0.0003443693880774398
142,Missouri,2026-09-06T17:34:56.895103+00:00,1,58.659510573764734,58.65951057376473,7.105427357601002e-15,5.594483210025203e-17
145,Ole Miss,2026-09-06T17:34:56.895103+00:00,0,69.50000000000001,69.50000000000001,0.0,0.0
150,Duke,2026-09-06T17:34:56.895103+00:00,1,53.08929000108376,52.40225379553448,0.6870362055492834,0.009595419971353998
151,East Carolina,2026-09-06T17:34:56.895103+00:00,1,94.41497515032515,93.9803528277225,0.43462232260264955,0.00529385097160626
152,NC State,2026-09-06T17:34:56.895103+00:00,1,95.46038405850504,91.62426336605226,3.8361206924527806,0.05008814521168613
153,North Carolina,2026-09-06T17:34:56.895103+00:00,1,53.68355025796314,51.42218249410212,2.261367763861024,0.02829838539988721
154,Wake Forest,2026-09-06T17:34:56.895103+00:00,1,56.146761731840165,62.6628740123812,-6.516112280541037,0.07792806759652524
158,Nebraska,2026-09-06T17:34:56.895103+00:00,1,41.67857259063065,41.64865549615117,0.029917094479479545,0.0026292639153886453
16,Sacramento State,2026-09-06T17:34:56.895103+00:00,2,82.88452262765347,86.54929033853423,-3.664767710880767,0.04878932852384594
164,Rutgers,2026-09-06T17:34:56.895103+00:00,1,117.21506750226179,115.8964627008016,1.3186048014601823,0.03449782518390418
166,New Mexico State,2026-09-06T17:34:56.895103+00:00,2,78.63972864602164,80.3328075930595,-1.6930789470378613,0.02181327211772227
167,New Mexico,2026-09-06T17:34:56.895103+00:00,1,42.02132848932467,43.37146026230193,-1.3501317729772637,0.01798848843585778
183,Syracuse,2026-09-06T17:34:56.895103+00:00,1,40.7686395974928,40.66939783736225,0.0992417601305533,0.0013168740681703576
189,Bowling Green,2026-09-06T17:34:56.895103+00:00,1,104.91703890904533,104.91703890904535,-1.4210854715202004e-14,5.76524505219167e-17
193,Miami (OH),2026-09-06T17:34:56.895103+00:00,1,109.00977117055291,109.37676412382869,-0.3669929532757834,0.00616066480146704
194,Ohio State,2026-09-06T17:34:56.895103+00:00,1,31.898948573502377,31.334756155218095,0.5641924182842821,0.009072433230607068
195,Ohio,2026-09-06T17:34:56.895103+00:00,1,94.40271494013797,95.92869745860804,-1.525982518470073,0.020831115572728626
197,Oklahoma State,2026-09-06T17:34:56.895103+00:00,1,92.28573166385023,92.7752017914139,-0.4894701275636777,0.006920743018781576
2,Auburn,2026-09-06T17:34:56.895103+00:00,1,64.43076520693789,67.1550343382774,-2.7242691313395113,0.032273252793560726
2005,Air Force,2026-09-06T17:34:56.895103+00:00,1,64.32299786097236,64.32299786097235,1.4210854715202004e-14,7.112366251504909e-17
