season,cutoff,season_phase,team_id,team_name,games_played,games_played_bucket,week_through_cutoff,context_expected_rank,history_expected_rank,context_minus_history_expected_rank,context_median_rank,history_median_rank,context_minus_history_median_rank,pmf_tv,context_interval_80_width,history_interval_80_width,unique_opponent_count,graph_degree,component_node_count,component_edge_count,component_cycle_rank,cycle_edge_count,cycle_participation,opponent_anchor_count,opponent_anchor_posterior_tv_mean,opponent_anchor_posterior_tv_sum,opponent_anchor_posterior_tv_max,opponent_anchor_posterior_tv_max_share,opponent_anchor_expected_rank_difference_mean,opponent_anchor_expected_rank_difference_sum,opponent_anchor_expected_rank_difference_max,opponent_prior_pmf_tv_mean,opponent_prior_pmf_tv_sum,opponent_prior_pmf_tv_max
2022,2022-08-27T23:59:59+00:00,early,103,Boston College,0,0,1,66.0,66.0,0.0,66,66,0,0.0,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022-08-27T23:59:59+00:00,early,113,Massachusetts,0,0,1,66.00000000000001,66.0,1.4210854715202004e-14,66,66,0,6.114900252818245e-17,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022-08-27T23:59:59+00:00,early,12,Arizona,0,0,1,66.0,66.0,0.0,66,66,0,0.0,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022-08-27T23:59:59+00:00,early,120,Maryland,0,0,1,66.0,66.0,0.0,66,66,0,5.854691731421724e-17,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022-08-27T23:59:59+00:00,early,127,Michigan State,0,0,1,66.0,66.0,0.0,66,66,0,0.0,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022-08-27T23:59:59+00:00,early,130,Michigan,0,0,1,66.0,66.0,0.0,66,66,0,0.0,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022-08-27T23:59:59+00:00,early,135,Minnesota,0,0,1,66.0,66.0,0.0,66,66,0,0.0,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022-08-27T23:59:59+00:00,early,142,Missouri,0,0,1,66.0,66.0,0.0,66,66,0,0.0,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022-08-27T23:59:59+00:00,early,145,Ole Miss,0,0,1,66.0,66.0,0.0,66,66,0,0.0,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2022-08-27T23:59:59+00:00,early,150,Duke,0,0,1,66.0,66.0,0.0,66,66,0,6.375108774214766e-17,104,104,0,0,1,0,0,0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
