season,cutoff,anchor_family,method,team_id,team_name,subdivision,conference,rated,games_played,eligible_evidence_count,expected_rank,median_rank,mode_rank,interval_50_low,interval_50_high,interval_80_low,interval_80_high,interval_95_low,interval_95_high,top5_probability,top10_probability,top25_probability,interval_50_width,interval_80_width,interval_95_width,week_through_cutoff,display_rank
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,12,Arizona,fbs,,True,1,1,67.67878208791774,67,73,38,97,18,118,6,132,0.024718880085013575,0.051828942739841254,0.1525779414675397,59,100,126,1,70
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,66,Iowa State,fbs,,True,1,1,68.34006135181157,68,75,38,98,19,118,6,132,0.02390404139031465,0.05018441688349656,0.14862359678915255,60,99,126,1,71
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2636,UTSA,fbs,,True,1,1,69.40046930538348,70,77,38,100,19,121,6,133,0.024593306375974754,0.05136725434012081,0.14936299673702405,62,102,127,1,72
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,77,Northwestern,fbs,,True,1,1,69.49752678368434,70,75,41,98,21,118,7,132,0.01967908110992063,0.04206223276589094,0.13243390747703743,57,97,125,1,73
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,256,James Madison,fbs,,True,1,1,70.07365514108913,71,76,42,98,22,118,8,131,0.016348684581345092,0.037775433112393474,0.12609668331791485,56,96,123,1,74
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,277,West Virginia,fbs,,True,1,1,71.32247040016442,72,81,43,100,22,119,8,132,0.015365331926572362,0.03553526666244201,0.11949689797576041,57,97,124,1,75
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2534,Sam Houston,fbs,,True,1,1,71.81595333755727,73,80,44,100,23,119,9,132,0.013629731661104753,0.032398584389425444,0.11431556473795551,56,96,123,1,76
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,324,Coastal Carolina,fbs,,True,1,1,72.23598253438728,73,79,45,100,24,119,9,132,0.011825043910448581,0.029012311304786154,0.10870876961468434,55,95,123,1,77
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,58,South Florida,fbs,,True,1,1,72.7779386331617,74,86,45,102,23,120,8,132,0.015245252270544631,0.03459780780785443,0.11369520811942599,57,97,124,1,78
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,238,Vanderbilt,fbs,,True,1,1,73.6966057949304,75,84,45,103,23,122,8,134,0.017069204823701563,0.03646351361608268,0.11559651230048623,58,99,126,1,79
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2229,Florida International,fbs,,True,1,1,73.82569750287063,75,84,46,102,25,121,10,133,0.01028628066516337,0.025729070884845724,0.10046639666361508,56,96,123,1,80
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,130,Michigan,fbs,,True,1,1,74.16989177053227,75,87,47,103,25,121,10,133,0.011233384179324237,0.0272372837061224,0.10077583660739495,56,96,123,1,81
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,48,Delaware,fbs,,True,1,1,74.5386589854658,77,102,44,106,22,124,7,134,0.01934074135077244,0.04067709325757946,0.12296177626897546,62,102,127,1,82
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2509,Purdue,fbs,,True,1,1,75.23646389595181,78,97,46,106,24,124,8,134,0.016659999038930458,0.03545175891551671,0.11170134590059623,60,100,126,1,83
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,204,Oregon State,fbs,,True,1,1,76.80046050136144,79,92,50,105,28,123,12,134,0.007954255492426312,0.020428194166951966,0.08524596083417123,55,95,122,1,84
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2649,Toledo,fbs,,True,1,1,77.3501100284066,79,94,51,106,29,123,12,134,0.008126634841142897,0.02051687377500997,0.08324150798214443,55,94,122,1,85
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2426,Navy,fbs,,True,1,1,77.82024184921178,81,107,48,109,25,126,8,135,0.015111039161171411,0.032189480718738325,0.1024729431910114,61,101,127,1,86
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,295,Old Dominion,fbs,,True,1,1,77.96632980413092,81,107,49,109,25,126,9,135,0.01502627880412873,0.03206775387572595,0.1020491019593123,60,101,126,1,87
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2628,TCU,fbs,,True,1,1,78.11214322187104,80,96,51,107,29,123,12,134,0.008340062772773028,0.020720216070164076,0.08174900097181416,56,94,122,1,88
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,59,Georgia Tech,fbs,,True,1,1,78.70219359650477,81,98,52,107,29,124,12,134,0.008417821336129654,0.020738615696531827,0.08062755488579804,55,95,122,1,89
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,6,South Alabama,fbs,,True,1,1,78.9190491611912,83,108,50,110,26,126,9,135,0.013902623667616444,0.029731090085788583,0.09620129143409847,60,100,126,1,90
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2655,Tulane,fbs,,True,1,1,79.1916050630949,82,99,52,108,30,124,13,134,0.006944627873104094,0.017943861533382406,0.07640203944071039,56,94,121,1,91
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,8,Arkansas,fbs,,True,1,1,79.50901879512382,83,107,52,110,27,126,10,135,0.012493704707874453,0.02694925833492298,0.08959007005869941,58,99,125,1,92
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2641,Texas Tech,fbs,,True,1,1,79.58536434467464,83,109,51,110,27,126,9,135,0.0131725894429402,0.028245478270883508,0.09233445006123385,59,99,126,1,93
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,166,New Mexico State,fbs,,True,2,2,80.3328075930595,83,97,56,106,34,122,17,133,0.003585111080801856,0.010017392371351509,0.05562085688919608,50,88,116,1,94
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2199,Eastern Michigan,fbs,,True,2,2,83.25500268682318,86,97,61,107,40,122,21,132,0.0022288615282816645,0.006465107839887491,0.037394242417394814,46,82,111,1,95
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,5,UAB,fbs,,True,1,1,83.74838482005165,87,111,58,112,34,127,16,135,0.004620399097894335,0.01241719943983922,0.058620202920170034,54,93,119,1,96
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,55,Jacksonville State,fbs,,True,2,2,83.88116223646662,87,102,60,110,38,124,20,134,0.0024286568547848292,0.007086050901507647,0.04327050695291581,50,86,114,1,97
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2032,Arkansas State,fbs,,True,1,1,84.37577360152227,88,110,59,112,36,127,17,135,0.004115010359841303,0.011112501206053936,0.05366890986438418,53,91,118,1,98
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2393,Middle Tennessee,fbs,,True,1,1,84.9128398006722,90,126,58,116,30,129,12,136,0.010286191334318634,0.022158095543510142,0.07465868319492286,58,99,124,1,99
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,103,Boston College,fbs,,True,1,1,86.19461638742361,90,115,61,114,37,128,18,136,0.0037884343195970283,0.010250329483200597,0.049870233408097084,53,91,118,1,100
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,16,Sacramento State,fbs,,True,2,2,86.54929033853423,91,103,64,112,41,126,19,134,0.003869365641131429,0.009537870859725314,0.0413129127029436,48,85,115,1,101
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2006,Akron,fbs,,True,1,1,90.04455657870533,95,124,67,118,41,130,20,136,0.002731605255890913,0.007549956124751576,0.03921994192184982,51,89,116,1,102
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,249,North Texas,fbs,,True,1,1,90.97388728030562,97,130,67,119,40,131,21,137,0.002083500359338159,0.00614849572667405,0.03799217696428417,52,91,116,1,103
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,152,NC State,fbs,,True,1,1,91.62426336605226,97,128,69,119,43,131,21,136,0.002256653517203581,0.006395591766967641,0.03540834032941757,50,88,115,1,104
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,197,Oklahoma State,fbs,,True,1,1,92.7752017914139,99,128,71,120,44,131,21,136,0.0030592245124108704,0.007807386620091344,0.03505189342138405,49,87,115,1,105
2026,2026-09-06T17:34:56.895103+00:00,history,prior_stripping,2653,Troy,fbs,,True,1,1,93.19802122872227,100,129,71,121,43,131,19,137,0.004689193464463686,0.010952696117650698,0.040646332499572016,50,88,118,1,106
