season,cutoff_label,prior_family,population_view,candidate,n_teams,nll,crps,interval_80_coverage,interval_80_width,mean_entropy,mean_max_probability
2022,q1_2022-08-27,context,full,v1,131,4.46020139944818,0.07373297771583764,0.8267267543456268,70.35114503816794,4.4775861178350835,0.026497333500565576
2022,q1_2022-08-27,context,full,y1,131,4.46020139944818,0.07373297771583764,0.8267267543456268,70.35114503816794,4.4775861178350835,0.026497333500565576
2022,q1_2022-08-27,context,full,y2_all_pairings_original,131,4.459343297225769,0.07359750286680562,0.8271866090315461,70.33587786259542,4.477931869048897,0.026493690698371836
2022,q1_2022-08-27,context,full,y2_supported,131,4.45934372664186,0.07359756896340267,0.8271866090315461,70.33587786259542,4.477931654739594,0.02649369633610272
2022,q1_2022-08-27,history,full,v1,131,4.519058671900622,0.08158211774035715,0.8455807964683161,74.72519083969466,4.5399177080406545,0.023607467931219418
2022,q1_2022-08-27,history,full,y1,131,4.519058671900622,0.08158211774035715,0.8455807964683161,74.72519083969466,4.5399177080406545,0.023607467931219418
2022,q1_2022-08-27,history,full,y2_all_pairings_original,131,4.517984549767079,0.08140157544308937,0.8463165639657868,74.77862595419847,4.540546264002817,0.023597593700072757
2022,q1_2022-08-27,history,full,y2_supported,131,4.51798499922175,0.08140164878163916,0.8463165639657868,74.77862595419847,4.540545975802804,0.023597598765872016
2022,q2_2022-09-22,context,full,v1,131,4.285557191259587,0.053038825523953205,0.7968361997608756,48.62595419847328,4.145661987059209,0.03780645136379608
2022,q2_2022-09-22,context,full,y1,131,4.285557191259587,0.053038825523953205,0.7968361997608756,48.62595419847328,4.145661987059209,0.03780645136379608
2022,q2_2022-09-22,context,full,y2_all_pairings_original,131,4.269514771656477,0.05138119436652987,0.7978478800698979,48.030534351145036,4.133519142649853,0.038162294399717266
2022,q2_2022-09-22,context,full,y2_supported,131,4.265972721897594,0.051088416877079046,0.8005150372482296,47.961832061068705,4.132977562613162,0.03812652988469232
2022,q2_2022-09-22,history,full,v1,131,4.311257846344737,0.05643931365112114,0.7965602869493239,50.25954198473283,4.181207413570592,0.035535589945132784
2022,q2_2022-09-22,history,full,y1,131,4.311257846344737,0.05643931365112114,0.7965602869493239,50.25954198473283,4.181207413570592,0.035535589945132784
2022,q2_2022-09-22,history,full,y2_all_pairings_original,131,4.293208822215649,0.0544820913510942,0.7939851007081763,49.51145038167939,4.167935101739238,0.03593463174129863
2022,q2_2022-09-22,history,full,y2_supported,131,4.292611677914525,0.05440716252372714,0.7944449553940955,49.43511450381679,4.166431630307616,0.035942354267847275
2022,q3_2022-10-07,context,full,v1,131,4.163421849038701,0.04215366685649616,0.7912259725926608,42.534351145038165,4.0483187411535235,0.039737403644118485
2022,q3_2022-10-07,context,full,y1,131,4.163421849038701,0.04215366685649616,0.7912259725926608,42.534351145038165,4.0483187411535235,0.039737403644118485
2022,q3_2022-10-07,context,full,y2_all_pairings_original,131,4.146270358986491,0.040560580551131604,0.79288144946197,41.66412213740458,4.029041993831063,0.04037124410863663
