season,prior_family,population_view,team_id,team_name,subdivision,original_expected_rank,supported_expected_rank,delta_expected_rank_supported_minus_original,absolute_delta_expected_rank,original_expected_percentile,supported_expected_percentile,fbs_fcs_game_count,fcs_opponents
2022,context,full,103,Boston College,fbs,105.86990296204263,102.91657345564293,-2.9533295063996974,2.9533295063996974,0.8081671981835316,0.7856226981346789,1,Maine (311)
2022,context,full,113,Massachusetts,fbs,128.91630230344748,128.57671857377062,-0.33958372967686046,0.33958372967686046,0.9840939107133395,0.9815016685020658,1,Stony Brook (2619)
2022,context,full,12,Arizona,fbs,79.4649570153156,75.25347448955195,-4.211482525763657,4.211482525763657,0.6066027253077527,0.5744540037370378,1,North Dakota State (2449)
2022,context,full,120,Maryland,fbs,41.02396023553128,38.96956367396703,-2.0543965615642463,2.0543965615642463,0.3131600017979487,0.29747758529745827,0,
2022,context,full,127,Michigan State,fbs,55.19315740414235,52.89869361245083,-2.29446379169152,2.29446379169152,0.4213218122453614,0.4038068214690903,0,
2022,context,full,130,Michigan,fbs,4.013519769987913,3.8482162369832436,-0.1653035330046695,0.1653035330046695,0.03063755549609094,0.029375696465520944,0,
2022,context,full,135,Minnesota,fbs,31.423479871436417,28.887502944179257,-2.5359769272571597,2.5359769272571597,0.2398738921483696,0.22051528965022332,1,Western Illinois (2710)
2022,context,full,142,Missouri,fbs,56.89256036589614,53.8276786978414,-3.0648816680547384,3.0648816680547384,0.4342943539381385,0.41089831067054505,1,Abilene Christian (2000)
2022,context,full,145,Ole Miss,fbs,31.077399540685626,28.32817058260626,-2.7492289580793674,2.7492289580793674,0.2372320575624857,0.21624557696646,1,Central Arkansas (2110)
2022,context,full,150,Duke,fbs,60.29069647674423,55.45601689972457,-4.8346795770196636,4.8346795770196636,0.460234324249956,0.42332837328034023,1,North Carolina A&T (2448)
2022,context,full,151,East Carolina,fbs,65.36500520876265,61.07155262744154,-4.293452581321112,4.293452581321112,0.4989695054104019,0.4661950582247446,1,Campbell (2097)
2022,context,full,152,NC State,fbs,56.50331675683084,51.796774412480204,-4.706542344350638,4.706542344350638,0.431323028678098,0.39539522452274967,1,Charleston Southern (2127)
2022,context,full,153,North Carolina,fbs,56.378047161348775,51.73915169555402,-4.638895465794754,4.638895465794754,0.43036677222403646,0.39495535645461083,1,Florida A&M (50)
2022,context,full,154,Wake Forest,fbs,48.548635787370806,44.3599294612197,-4.188706326151106,4.188706326151106,0.37060027318603667,0.3386254157345015,1,VMI (2678)
2022,context,full,158,Nebraska,fbs,79.05210560044397,75.04876802313557,-4.0033375773084,4.0033375773084,0.6034511877896486,0.5728913589552334,1,North Dakota (155)
2022,context,full,164,Rutgers,fbs,99.38512441699764,97.34298519394015,-2.0421392230574895,2.0421392230574895,0.7586650718854782,0.7430762228545049,1,Wagner (2681)
2022,context,full,166,New Mexico State,fbs,121.21664760346391,119.74137617519673,-1.4752714282671775,1.4752714282671775,0.9253179206371291,0.9140563066808911,2,Lamar (2320); Valparaiso (2674)
2022,context,full,167,New Mexico,fbs,125.19672324802073,124.42891019090196,-0.7678130571187722,0.7678130571187722,0.9557001774658072,0.9498390090908546,1,Maine (311)
2022,context,full,183,Syracuse,fbs,50.72731013133139,47.16559664504564,-3.561713486285754,3.561713486285754,0.3872313750483312,0.3600427224812644,1,Wagner (2681)
