disagreement_type,game_id,season,start_date,home_team,away_team,home_team_id,away_team_id,site,pairing,home_score,away_score,oriented_margin,home_ypp,away_ypp,oriented_ypp_diff,oriented_first_team,oriented_second_team,opponent_quality_before_context_percentile,v1_margin_predictive_nll,v1_oriented_quality_shift,y2_oriented_quality_shift,ypp_augmented_effect_on_oriented_quality,v1_after_oriented_quality_difference,y2_after_oriented_quality_difference,pre_game_count
large_win_with_nonpositive_ypp,401752818,2025,2025-09-06T19:30:00.000Z,Rutgers,Miami (OH),164,193,home_site,fbs-fbs,45,17,28.0,5.467532467532467,8.177777777777777,-2.71024531024531,Rutgers,Miami (OH),0.6768526892441702,4.138052198051451,-0.17256734358558556,-0.11205209704354252,0.06736807440894121,-0.4145601336412695,-0.34719205923232827,161
large_win_with_nonpositive_ypp,401729780,2024,2024-12-14T02:00:00.000Z,Montana State,Idaho,147,70,home_site,fcs-fcs,52,19,33.0,6.450704225352113,7.54,-1.089295774647887,Montana State,Idaho,0.13885809861474135,4.534357899763167,-0.030427215770915034,-0.03040069244728602,-0.004911609556171953,-0.14394819688262966,-0.14885980643880162,1556
large_win_with_nonpositive_ypp,401756942,2025,2025-11-02T02:15:00.000Z,Utah,Cincinnati,254,2132,home_site,fbs-fbs,45,14,31.0,5.714285714285714,6.777777777777778,-1.0634920634920633,Utah,Cincinnati,0.28712460383414085,4.3778839985588665,-0.06123152486274727,-0.044287373379776424,0.04691749268808093,-0.23766502049282995,-0.19074752780474902,1113
close_loss_with_strong_positive_ypp,401424403,2022,2022-09-10T17:00:00.000Z,Monmouth,Fordham,2405,2230,home_site,fcs-fcs,49,52,-3.0,11.5,7.758241758241758,3.741758241758242,Monmouth,Fordham,0.3478614152999602,3.980820073999708,-0.026839978014597587,-0.026839978014597587,0.0,0.17816215888129727,0.17816215888129727,146
close_loss_with_strong_positive_ypp,401540237,2023,2023-09-24T02:00:00.000Z,UC Davis,Eastern Washington,302,331,home_site,fcs-fcs,24,27,-3.0,7.612903225806452,4.0,3.612903225806452,UC Davis,Eastern Washington,0.3685617280872996,3.916426585460212,0.08006982417228176,0.07753363113908368,0.003026358134712248,0.02626836008768374,0.029294718222395988,475
close_loss_with_strong_positive_ypp,401636379,2024,2024-11-16T18:00:00.000Z,Florida A&M,Mississippi Valley State,50,2400,home_site,fcs-fcs,21,24,-3.0,8.979166666666666,5.412698412698413,3.566468253968253,Florida A&M,Mississippi Valley State,0.9744913132228155,5.958056296613189,0.05456703595535761,0.05199389945334432,0.014167476616295915,-0.39373179154870586,-0.37956431493240994,1258
close_win_with_strong_negative_ypp,401761648,2025,2025-11-08T22:00:00.000Z,Louisiana,Texas State,309,326,home_site,fbs-fbs,42,39,3.0,4.860759493670886,9.263157894736842,-4.402398401065956,Louisiana,Texas State,0.7381356783775543,3.7097487167529706,-0.01985076510391104,-0.007488220585135319,0.023367192112995094,0.08439853133761677,0.10776572345061186,1210
close_win_with_strong_negative_ypp,401767343,2025,2025-09-27T16:00:00.000Z,Sacred Heart,Delaware State,2529,2169,home_site,fcs-fcs,35,31,4.0,5.3023255813953485,8.79245283018868,-3.490127248793331,Sacred Heart,Delaware State,0.3599008917509008,3.9102215767404678,-0.08075775711935462,-0.08311548494847931,0.007090100596415072,0.10059642716066552,0.1076865277570806,468
close_win_with_strong_negative_ypp,401420815,2022,2022-09-10T20:00:00.000Z,North Dakota,Northern Iowa,155,2460,home_site,fcs-fcs,29,27,2.0,6.636363636363637,9.76086956521739,-3.124505928853754,North Dakota,Northern Iowa,0.4416849148900292,3.9578544309733332,0.011763170513012233,0.001344507826669561,0.011092822187972695,0.005622372865817127,0.016715195053789822,167
