season,cutoff_label,cutoff_index,prior_family,candidate,future_game_count,future_margin_mae,future_win_brier,future_margin_nll
2022,q1_2022-08-27,0,context,v1,781,13.32941815913369,0.2052887924658452,4.261493885783567
2022,q1_2022-08-27,0,context,y1,781,13.32941815913369,0.2052887924658452,4.261493885783567
2022,q1_2022-08-27,0,context,y2,781,13.317319474185073,0.20499168833482342,4.261180829913367
2022,q1_2022-08-27,0,history,v1,781,13.662262976015452,0.21380992966988546,4.284018130302753
2022,q1_2022-08-27,0,history,y1,781,13.662262976015452,0.21380992966988546,4.284018130302753
2022,q1_2022-08-27,0,history,y2,781,13.64053077832413,0.2134337098608717,4.283530387199534
2022,q2_2022-09-22,1,context,v1,1169,13.450328947200244,0.20153907379223962,4.265136962147269
2022,q2_2022-09-22,1,context,y1,1169,13.450328947200244,0.20153907379223962,4.265136962147269
2022,q2_2022-09-22,1,context,y2,1169,13.552646491870561,0.20265050806660148,4.267277860859278
2022,q2_2022-09-22,1,history,v1,1169,13.501171828627616,0.20373995833844213,4.268203932693224
2022,q2_2022-09-22,1,history,y1,1169,13.501171828627616,0.20373995833844213,4.268203932693224
2022,q2_2022-09-22,1,history,y2,1169,13.598003850165714,0.20467039291479497,4.269909712748576
2022,q3_2022-10-07,2,context,v1,941,13.087772742772195,0.19642100898088644,4.230733486867078
2022,q3_2022-10-07,2,context,y1,941,13.087772742772195,0.19642100898088644,4.230733486867078
2022,q3_2022-10-07,2,context,y2,941,13.118269605669303,0.19731934184838254,4.233926765474012
2022,q3_2022-10-07,2,history,v1,941,13.166026147079787,0.1980572739309948,4.233592670568605
2022,q3_2022-10-07,2,history,y1,941,13.166026147079787,0.1980572739309948,4.233592670568605
2022,q3_2022-10-07,2,history,y2,941,13.183157459786795,0.19888091101464458,4.236711655026461
2022,q4_2022-10-27,3,context,v1,618,13.505852991164591,0.20465002150710496,4.257613993775938
2022,q4_2022-10-27,3,context,y1,618,13.505852991164591,0.20465002150710496,4.257613993775938
2022,q4_2022-10-27,3,context,y2,618,13.59593334294791,0.20912839252167162,4.264691596227455
2022,q4_2022-10-27,3,history,v1,618,13.575196438857137,0.2052169266519056,4.258790599917379
2022,q4_2022-10-27,3,history,y1,618,13.575196438857137,0.2052169266519056,4.258790599917379
2022,q4_2022-10-27,3,history,y2,618,13.650990337011365,0.2098612962682113,4.266673266658784
2022,q5_2022-11-09,4,context,v1,392,13.167981897150463,0.20241119999314677,4.23040374493199
2022,q5_2022-11-09,4,context,y1,392,13.167981897150463,0.20241119999314677,4.23040374493199
2022,q5_2022-11-09,4,context,y2,392,13.254623056754996,0.20644024502691755,4.242178460377324
2022,q5_2022-11-09,4,history,v1,392,13.279110557080392,0.20382159531595365,4.234991999851194
2022,q5_2022-11-09,4,history,y1,392,13.279110557080392,0.20382159531595365,4.234991999851194
2022,q5_2022-11-09,4,history,y2,392,13.37495498852987,0.20801129295908524,4.247366330748333
2022,q6_2022-11-23,5,context,v1,143,13.113377837218097,0.2040803773235331,4.274490176487793
2022,q6_2022-11-23,5,context,y1,143,13.113377837218097,0.2040803773235331,4.274490176487793
2022,q6_2022-11-23,5,context,y2,143,13.31519715736833,0.2074128396896183,4.28263860860777
2022,q6_2022-11-23,5,history,v1,143,13.196001266409569,0.2064257358499313,4.279058863903353
2022,q6_2022-11-23,5,history,y1,143,13.196001266409569,0.2064257358499313,4.279058863903353
2022,q6_2022-11-23,5,history,y2,143,13.390169269842668,0.20964660164227017,4.287139963976787
2022,q7_2022-12-10,6,context,v1,46,11.903067163217276,0.22991950723768365,4.1901431815458094
2022,q7_2022-12-10,6,context,y1,46,11.903067163217276,0.22991950723768365,4.1901431815458094
2022,q7_2022-12-10,6,context,y2,46,11.96268441078577,0.23158263245336858,4.188798247988557
2022,q7_2022-12-10,6,history,v1,46,12.10052115178073,0.23185289210828833,4.200881701175154
2022,q7_2022-12-10,6,history,y1,46,12.10052115178073,0.23185289210828833,4.200881701175154
2022,q7_2022-12-10,6,history,y2,46,12.083218709779329,0.23370991077240866,4.200100193003416
2023,q1_2023-08-26,0,context,v1,795,13.222210203744092,0.19425392635125585,4.256243531781078
2023,q1_2023-08-26,0,context,y1,795,13.222210203744092,0.19425392635125585,4.256243531781078
2023,q1_2023-08-26,0,context,y2,795,13.223009594244552,0.19422661132399185,4.256569604503997
2023,q1_2023-08-26,0,history,v1,795,13.485296445272407,0.19827350907907884,4.277827868753592
2023,q1_2023-08-26,0,history,y1,795,13.485296445272407,0.19827350907907884,4.277827868753592
2023,q1_2023-08-26,0,history,y2,795,13.48793251892439,0.1982712553275357,4.278285516516599
2023,q2_2023-09-16,1,context,v1,1185,13.416408579414977,0.20050814132320577,4.262765463416927
2023,q2_2023-09-16,1,context,y1,1185,13.416408579414977,0.20050814132320577,4.262765463416927
2023,q2_2023-09-16,1,context,y2,1185,13.522099471300455,0.19973965186986634,4.269737909713275
2023,q2_2023-09-16,1,history,v1,1185,13.450621308090945,0.20124668293342224,4.265931284396545
2023,q2_2023-09-16,1,history,y1,1185,13.450621308090945,0.20124668293342224,4.265931284396545
2023,q2_2023-09-16,1,history,y2,1185,13.56141097509158,0.20041425917489192,4.272216292496555
2023,q3_2023-10-05,2,context,v1,948,13.49608319067669,0.20029333172861083,4.272728273575665
2023,q3_2023-10-05,2,context,y1,948,13.49608319067669,0.20029333172861083,4.272728273575665
2023,q3_2023-10-05,2,context,y2,948,13.462451990433221,0.198040248295517,4.271464726090642
2023,q3_2023-10-05,2,history,v1,948,13.53406409022976,0.20088375898715385,4.275606788400233
2023,q3_2023-10-05,2,history,y1,948,13.53406409022976,0.20088375898715385,4.275606788400233
2023,q3_2023-10-05,2,history,y2,948,13.463893435576471,0.19836080795791408,4.2732306943303975
2023,q4_2023-10-21,3,context,v1,642,13.083220724822354,0.18749200819474526,4.24117691206149
2023,q4_2023-10-21,3,context,y1,642,13.083220724822354,0.18749200819474526,4.24117691206149
2023,q4_2023-10-21,3,context,y2,642,13.194287110007004,0.1878629402272647,4.2473216330159484
2023,q4_2023-10-21,3,history,v1,642,13.13252195898168,0.1884520676381483,4.245299150781719
2023,q4_2023-10-21,3,history,y1,642,13.13252195898168,0.1884520676381483,4.245299150781719
2023,q4_2023-10-21,3,history,y2,642,13.238327973848513,0.1888028247191507,4.251122296141211
2023,q5_2023-11-03,4,context,v1,508,13.027830656383145,0.18736031407790896,4.2497847880811435
