season,prior_family,population_view,original_candidate,corrected_candidate,delta_nll_supported_minus_original,delta_crps_supported_minus_original,delta_expected_rank_mae_supported_minus_original,delta_median_rank_mae_supported_minus_original,delta_interval_80_coverage_supported_minus_original,delta_interval_80_width_supported_minus_original,delta_top5_brier_supported_minus_original,delta_top10_brier_supported_minus_original,delta_top25_brier_supported_minus_original,delta_entropy_supported_minus_original
2022,context,full,y2_all_pairings_original,y2_supported,-0.07514629514274684,-0.0037696497689619565,-0.7431342535087166,-0.6793893129770989,0.024280327416536518,0.1603053435114532,-0.00018944190988059908,-0.0011600404778895936,-0.005632351100135168,0.008322492392736525
2022,history,full,y2_all_pairings_original,y2_supported,-0.043108151273673734,-0.002185182009728514,-0.31405175955320974,-0.45038167938931295,0.014531408075048269,0.015267175572518,-0.00029371667506934663,-0.0012487732807067694,-0.004454392979742733,0.005924983731031119
2023,context,full,y2_all_pairings_original,y2_supported,-0.09611531546744922,-0.0049129066001236885,-0.9449801067282397,-0.9699248120300759,0.02519813046128838,0.3082706766917269,0.00044939891202800883,0.0005731323376916894,-0.0006305128791464429,0.012493462858105708
2023,history,full,y2_all_pairings_original,y2_supported,-0.05653252240155204,-0.0033067755368989503,-0.5462579513954395,-0.6390977443609032,0.016358463726884764,0.14285714285714235,0.0006187667133794698,0.0008057642868812796,-0.0003791606911141953,0.009604485828008436
2024,context,full,y2_all_pairings_original,y2_supported,-0.04093299174705889,-0.0019541199676319336,-0.352651494254852,-0.46268656716417844,0.010646766169154276,0.05970149253731449,-0.00016952572369640685,0.0002770641568685256,1.43858264082114e-05,0.0049749668892271615
2024,history,full,y2_all_pairings_original,y2_supported,0.007641878193313634,0.0004885040830021441,0.3201706658643033,0.31343283582089576,-0.004875621890547355,0.052238805970148405,3.4165103356227286e-05,0.0005593799498695567,0.001486860444218599,0.000810109841011819
2025,context,full,y2_all_pairings_original,y2_supported,-0.09269788889977804,-0.004159272008022567,-0.8513341243552581,-0.9191176470588243,0.029613215149073224,0.07352941176470296,-0.0001609124119599679,-0.0003511227194351995,0.0008488621601230283,0.008366269520166725
2025,history,full,y2_all_pairings_original,y2_supported,-0.01953437590520357,-0.0012675184557047227,-0.22787286286731678,-0.272058823529413,0.010777598710717151,0.117647058823529,0.00032397798407344386,0.0011070612128715029,0.0036745500289978583,0.004005195276219453
