season,pairing,games,games_with_any_usable_ypp,games_with_both_usable_ypp,team_game_rows_expected,team_game_rows_with_usable_ypp,team_game_coverage_pct,game_coverage_pct,missing_both,missing_home_only,missing_away_only
2023,all,1545,1529,1529,3090,3058,98.9644,98.9644,16,0,0
2024,fbs-fbs,798,798,798,1596,1596,100.0,100.0,0,0,0
2024,fbs-fcs,121,121,121,242,242,100.0,100.0,0,0,0
2024,fcs-fcs,692,686,686,1384,1372,99.1329,99.1329,6,0,0
2024,all,1611,1605,1605,3222,3210,99.6276,99.6276,6,0,0
2025,fbs-fbs,808,808,808,1616,1616,100.0,100.0,0,0,0
2025,fbs-fcs,126,126,126,252,252,100.0,100.0,0,0,0
2025,fcs-fcs,691,685,685,1382,1370,99.1317,99.1317,6,0,0
2025,all,1625,1619,1619,3250,3238,99.6308,99.6308,6,0,0
2026,fbs-fbs,47,25,25,94,50,53.1915,53.1915,22,0,0
2026,fbs-fcs,48,15,15,96,30,31.25,31.25,33,0,0
2026,fcs-fcs,70,49,49,140,98,70.0,70.0,21,0,0
2026,all,165,89,89,330,178,53.9394,53.9394,76,0,0
