prior_family,season,candidate,baseline,population_view,delta_nll,delta_crps,delta_interval_80_coverage,delta_interval_80_width,delta_mean_entropy,delta_mean_max_probability
context,2022,y2,v1,full,0.10119866644655184,0.0050577554717176135,-0.04009932861215848,-0.7022900763358777,-0.02873142394479089,0.0014567629279573849
context,2023,y2,v1,full,0.09560203927228761,0.004287809942107094,-0.031294452347083834,-0.8421052631578938,-0.030459722471912976,0.0017032120100199041
context,2024,y2,v1,full,0.06630492714517633,0.002785761139859743,-0.01781094527363203,-0.35820895522387985,-0.020824219190922477,0.0014419290121539807
context,2025,y2,v1,full,0.11998392059485141,0.004863143183488967,-0.0414987912973408,-0.8088235294117645,-0.0339163268994751,0.0017795749380364392
history,2022,y2,v1,full,0.07521729182145309,0.003973217446669872,-0.03375333394647295,-0.8015267175572518,-0.028455409168384183,0.0014824554693038394
history,2023,y2,v1,full,0.06951193762081509,0.0038251204003542615,-0.026823816297500525,-0.6917293233082695,-0.03076107099777481,0.0014296916672675297
history,2024,y2,v1,full,0.035624382125741594,0.001527284263924622,-0.007462686567164201,-0.5074626865671625,-0.01885985743627261,0.001181630788490269
history,2025,y2,v1,full,0.0714101784331933,0.0036869545592433627,-0.034448025785656755,-1.0588235294117645,-0.033682627827062106,0.0014676668251525637
