summary_type,period,season,pairing,site,margin_bin,residual_bin,n_games,mean_residual,mean_final_quality_advantage,better_quality_rate,mean_next_margin_diff,quality_spearman
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-14,0]",q1,32,-1.7095146214861585,-0.12381887943786983,0.25,-2.03125,0.126099706744868
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-14,0]",q2,29,-0.6524699478637291,-0.22912160783513566,0.20689655172413793,-10.724137931034482,0.24827586206896549
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-14,0]",q3,30,-0.00837621097216762,-0.1564102564102564,0.1,2.066666666666667,-0.1635150166852058
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-14,0]",q4,27,0.7013472375556703,-0.17709840017532325,0.2962962962962963,-17.62962962962963,0.1752136752136752
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-14,0]",q5,25,1.9561251248029066,-0.15189940828402368,0.28,-8.32,0.023850740968221117
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-28,-14]",q1,17,-1.919061130542525,-0.34559258614688476,0.0,-18.0,-0.286764705882353
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-28,-14]",q2,22,-0.5428490768447507,-0.31163596019365253,0.09090909090909091,-27.545454545454547,0.2806324110671937
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-28,-14]",q3,17,-0.035531064781053154,-0.23887922032718412,0.058823529411764705,-10.176470588235293,-0.5661764705882354
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-28,-14]",q4,14,0.5946754212298451,-0.17767857142857138,0.21428571428571427,-14.5,0.5780219780219781
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(-28,-14]",q5,24,1.7939999935669204,-0.22698779585798814,0.16666666666666666,-18.041666666666668,0.1226086956521739
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(0,14]",q1,39,-1.7893764059625004,0.07561637080867847,0.6666666666666666,3.5384615384615383,0.17267206477732794
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(0,14]",q2,46,-0.6271615716910692,0.09613615899151018,0.6304347826086957,-3.1956521739130435,0.09330866481652789
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(0,14]",q3,37,0.03542451380815595,0.14348912521989446,0.6486486486486487,8.702702702702704,-0.08416809925282798
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(0,14]",q4,36,0.6182029477854566,0.15277983234714004,0.75,3.111111111111111,0.022393822393822396
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(0,14]",q5,40,1.7806125999335343,0.1477755177514793,0.775,3.1,0.2909943714821764
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(14,28]",q1,27,-1.753210981365,0.2549967126890204,0.8888888888888888,3.5185185185185186,-0.25579975579975583
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(14,28]",q2,19,-0.7203453528921461,0.24905014014325758,0.8421052631578947,7.7368421052631575,-0.06140350877192983
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(14,28]",q3,26,0.03951699256030466,0.18134387801547566,0.7692307692307693,0.7307692307692307,-0.23076923076923075
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(14,28]",q4,26,0.5711894788793972,0.3628499089667728,0.8461538461538461,16.615384615384617,0.3285470085470085
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,"(14,28]",q5,32,1.793622618972135,0.19900379068047339,0.75,4.875,-0.06634897360703812
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,<=-28,q1,12,-2.049177011008762,-0.4051775147928994,0.0,-9.916666666666666,0.4685314685314686
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,<=-28,q2,8,-0.6741973344967596,-0.5120931952662722,0.125,-33.75,-0.3333333333333334
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,<=-28,q3,6,0.0808549507696763,-0.33754930966469426,0.16666666666666666,1.1666666666666667,-0.3714285714285715
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,<=-28,q4,9,0.5810800129368352,-0.4994986850756081,0.0,-24.88888888888889,-0.21666666666666667
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,<=-28,q5,15,1.6349774913833117,-0.3674063116370808,0.13333333333333333,-13.133333333333333,0.3321428571428571
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,>28,q1,11,-1.7613867124463036,0.42582705755782685,1.0,11.272727272727273,-0.39090909090909093
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,>28,q2,18,-0.5526993409773119,0.3881903353057199,0.8333333333333334,22.333333333333332,0.05675954592363261
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,>28,q3,20,0.021144646083066876,0.44360207100591725,1.0,12.0,-0.28721804511278193
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,>28,q4,18,0.6284446414913623,0.44838921761998685,1.0,6.277777777777778,0.31888544891640863
margin_residual_bin,development_2018_2021,2018,fbs-fbs,home_site,>28,q5,28,2.1580961175040043,0.5032544378698225,0.9642857142857143,7.785714285714286,-0.19594964422550626
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(-14,0]",q1,2,-1.8659184349281994,-0.06198224852071009,0.0,-18.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(-14,0]",q2,2,-0.6724745475263547,-0.10436390532544379,0.5,-1.5,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(-14,0]",q3,4,0.07764652736548633,-0.036815828402366885,0.0,20.5,0.7999999999999999
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(-14,0]",q4,2,0.5736251536727937,-0.07592455621301775,0.5,26.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(-14,0]",q5,5,1.656314101558549,-0.06862426035502958,0.6,-20.0,0.7999999999999999
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(-28,-14]",q1,3,-1.911612339959678,-0.14778106508875744,0.3333333333333333,24.0,-0.5
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(-28,-14]",q3,3,-0.023274953779840086,-0.27214003944773174,0.3333333333333333,-27.333333333333332,0.5
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(-28,-14]",q4,1,0.4874578302283481,-0.09053254437869807,0.0,-38.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(0,14]",q1,4,-1.8719739260125061,-0.01164940828402369,0.25,23.0,-0.39999999999999997
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(0,14]",q2,5,-0.5772787013552021,-0.02896449704142014,0.6,6.0,0.09999999999999999
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(0,14]",q3,5,0.07201230950915041,0.19958579881656804,1.0,-5.4,0.7
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(0,14]",q4,1,0.5497105678735467,0.5780325443786983,1.0,18.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(0,14]",q5,2,1.5239095104340943,0.18698224852071008,1.0,-16.5,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(14,28]",q1,3,-1.3339238456914166,0.10293392504930966,0.6666666666666666,-3.0,-0.5
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(14,28]",q2,1,-0.705815800218871,0.19238165680473374,1.0,-6.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(14,28]",q3,1,0.014377978468469443,0.24607988165680472,1.0,15.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(14,28]",q4,1,0.5012715848619989,0.043934911242603555,1.0,38.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,"(14,28]",q5,2,1.5681403217102603,0.04042159763313602,1.0,-14.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,<=-28,q1,2,-2.0483515337554774,-0.2624630177514793,0.0,-13.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,<=-28,q4,2,0.726414802757223,-0.17292899408284024,0.0,12.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,<=-28,q5,1,1.9068090581531267,-0.7056213017751479,0.0,-4.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,>28,q2,2,-0.6468117430185232,0.20462278106508877,1.0,53.5,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,>28,q3,1,-0.11093859794049887,0.21249999999999997,1.0,9.0,
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,>28,q4,4,0.6611069894107492,0.3553994082840237,1.0,-11.5,0.19999999999999998
margin_residual_bin,development_2018_2021,2018,fbs-fbs,neutral,>28,q5,2,2.449536868974537,0.2031434911242604,1.0,-23.5,
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(-14,0]",q2,3,-0.6611551747071551,-0.527465742759265,0.0,-14.666666666666666,-0.5
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(-14,0]",q3,1,-0.25323002886650875,-0.6565935845530987,0.0,-17.0,
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(-14,0]",q4,1,0.8526972254506517,-0.7826867019620056,0.0,9.0,
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(-28,-14]",q1,1,-1.424338651826177,-0.7156781376518218,0.0,15.0,
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(-28,-14]",q2,1,-0.48488291515259374,-0.5445923388352538,0.0,-23.0,
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(0,14]",q1,10,-1.9231581966754887,-0.4044405481158518,0.1,-12.3,-0.32121212121212117
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(0,14]",q2,4,-0.7941372184771545,-0.24002483649953288,0.25,-13.0,-0.7999999999999999
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(0,14]",q3,2,0.07433156337925595,-0.17001806290875116,0.5,-8.0,
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(0,14]",q4,1,0.7480990290937768,-0.2252851136717534,0.0,-36.0,
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(0,14]",q5,1,2.555907943733354,0.1353861725319216,1.0,-13.0,
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(14,28]",q1,4,-1.72012321737623,-0.09803647617564622,0.5,-21.25,0.7999999999999999
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(14,28]",q2,2,-0.4858708251725794,-0.05564382990901208,0.5,-7.0,
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(14,28]",q3,4,-0.0442355433613692,-0.19436908284023668,0.0,-2.75,0.6000000000000001
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(14,28]",q4,7,0.6524419221663542,-0.06547117052987497,0.42857142857142855,-6.0,0.3571428571428572
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,"(14,28]",q5,3,1.4225403846816687,-0.20375365929616937,0.3333333333333333,-25.0,-0.5
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,>28,q1,19,-1.9837806405187806,0.13877694806216007,0.6842105263157895,2.9473684210526314,0.07017543859649124
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,>28,q2,17,-0.6977419077987872,0.1088467217469361,0.5882352941176471,8.0,0.2034313725490196
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,>28,q3,9,0.013114377982659143,0.14261337762552337,0.5555555555555556,22.11111111111111,-0.6
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,>28,q4,12,0.6010595748030185,0.1126851707671546,0.6666666666666666,9.25,0.14685314685314685
margin_residual_bin,development_2018_2021,2018,fbs-fcs,home_site,>28,q5,9,2.399414715758373,0.16820582027059758,0.6666666666666666,8.777777777777779,0.43333333333333335
margin_residual_bin,development_2018_2021,2018,fbs-fcs,neutral,>28,q1,1,-1.233775555284133,0.49195172843350987,1.0,54.0,
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-14,0]",q1,23,-2.176481386383266,-0.21829909221213573,0.08695652173913043,-11.173913043478262,0.14031620553359686
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-14,0]",q2,28,-0.6231649736774302,-0.1157518501906257,0.21428571428571427,-4.678571428571429,-0.044882320744389706
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-14,0]",q3,24,0.01998965753295091,-0.16270604395604396,0.2916666666666667,-13.416666666666666,0.3278260869565217
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-14,0]",q4,25,0.5803562478830624,-0.07755729984301411,0.36,-4.28,-0.3246153846153846
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-14,0]",q5,39,1.7305495731724407,-0.18729420762387797,0.1794871794871795,-3.5384615384615383,-0.26275303643724696
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-28,-14]",q1,27,-1.6924414810759063,-0.3288447002732717,0.07407407407407407,-13.407407407407407,0.4255189255189255
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-28,-14]",q2,16,-0.7226102676829848,-0.2891041993720565,0.0625,-10.375,-0.16176470588235295
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-28,-14]",q3,21,0.08989831716596906,-0.3477461314196008,0.0,-9.047619047619047,0.2545454545454545
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-28,-14]",q4,10,0.6287060828050236,-0.4109183673469389,0.0,-21.5,0.07878787878787878
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(-28,-14]",q5,12,1.5424228105145092,-0.338265306122449,0.16666666666666666,-16.0,-0.1188811188811189
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(0,14]",q1,39,-1.6562021760731733,0.05413999919494423,0.5128205128205128,-8.487179487179487,0.01153846153846154
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(0,14]",q2,39,-0.6415486897697065,0.13707482993197279,0.8205128205128205,1.2820512820512822,0.0665991902834008
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(0,14]",q3,45,0.040104226780054916,0.05607709750566894,0.5111111111111111,-0.044444444444444446,-0.1274044795783926
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(0,14]",q4,59,0.6454862797324963,0.1374198440784397,0.6440677966101694,2.135593220338983,-0.04248977206312098
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(0,14]",q5,30,1.6025309902376563,0.13907116692830981,0.8,-0.6666666666666666,-0.07274749721913237
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(14,28]",q1,22,-1.7519784887153014,0.23003425146282297,0.8181818181818182,-1.7272727272727273,-0.1818695356341524
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(14,28]",q2,20,-0.6807113041436988,0.2621978021978022,0.95,9.8,0.030075187969924807
margin_residual_bin,development_2018_2021,2019,fbs-fbs,home_site,"(14,28]",q3,24,-0.009168011275235912,0.2562728937728938,0.875,4.166666666666667,0.04434782608695652
