candidate,evaluation_period,fit_period,marginalized_nll,delta_nll_vs_v1,expected_margin_mae,coverage_50,coverage_80,coverage_95,interval_width_50,interval_width_80,interval_width_95,n_games,n_pseudo_observations,predecessor,primary_pass_vs_predecessor,alternative_calibration_pass_vs_predecessor,qualifies_vs_predecessor,complexity_gain_over_predecessor,game_key_sha256
v1,development_2018_2021,frozen_2003_2021,4.065046422540164,0.0,11.145675267143451,0.5055617352614016,0.8103448275862069,0.9597701149425287,18.88742330591117,36.632953371544104,58.243297923754554,5394,322818,,False,False,False,,63efdca50cbd2868164663175d8384be1fd5ed408d8ce9873c0f284ba0fefccb
a,development_2018_2021,training_2003_2017,4.067700755022004,0.002654332481839994,11.176057340765054,0.5018539117538006,0.8086763070077865,0.9575454208379681,18.767619216261522,36.40058829141789,57.87385709675912,5394,322818,v1,False,False,False,-0.002654332481839994,63efdca50cbd2868164663175d8384be1fd5ed408d8ce9873c0f284ba0fefccb
b,development_2018_2021,training_2003_2017,4.065130984951051,8.456241088694583e-05,11.176057340765054,0.5005561735261401,0.8096032628846866,0.9582869855394883,18.92012296521722,36.69637573865171,58.3441341240197,5394,322818,a,False,False,False,0.002569770070953048,63efdca50cbd2868164663175d8384be1fd5ed408d8ce9873c0f284ba0fefccb
c14,development_2018_2021,training_2003_2017,4.110064410481997,0.04501798794183287,11.275688119864975,0.4760845383759733,0.8083055246570263,0.9679273266592511,17.64535826524155,37.44697031251985,71.23641326316626,5394,322818,b,False,False,False,-0.044933425530945925,63efdca50cbd2868164663175d8384be1fd5ed408d8ce9873c0f284ba0fefccb
c21,development_2018_2021,training_2003_2017,4.0881466727828455,0.023100250242681142,11.225041492654869,0.4814608824619948,0.807193177604746,0.9655172413793104,17.859949890193572,36.56994588786365,64.87688441300811,5394,322818,b,False,False,False,-0.023015687831794196,63efdca50cbd2868164663175d8384be1fd5ed408d8ce9873c0f284ba0fefccb
c28,development_2018_2021,training_2003_2017,4.078306769428593,0.01326034688842892,11.202386741399456,0.4840563589173155,0.8062662217278458,0.9638487208008899,18.06442774465792,36.323691047960324,62.16000345214159,5394,322818,b,False,False,False,-0.013175784477541974,63efdca50cbd2868164663175d8384be1fd5ed408d8ce9873c0f284ba0fefccb
c42,development_2018_2021,training_2003_2017,4.070427424125615,0.00538100158545074,11.185320577557725,0.4923989618094179,0.8053392658509455,0.9612532443455691,18.358736155658107,36.29201464866284,60.00719689204918,5394,322818,b,False,False,False,-0.005296439174563794,63efdca50cbd2868164663175d8384be1fd5ed408d8ce9873c0f284ba0fefccb
