target_season,candidate,n_team_seasons,nll,crps,expected_rank_mae,median_rank_mae,interval_80_coverage,interval_80_average_width,top5_brier,top10_brier,top25_brier,training_rows
2008,H_static,119,4.474942478132562,0.1141044629399451,18.805608319593127,18.91176470588235,0.843262304921969,70.3529411764706,0.02770986574274977,0.051062124462732596,0.08645278787876949,472
2008,C_static,119,4.466875216598961,0.11303823802318998,18.226259982990513,18.676470588235293,0.8363595438175271,65.98319327731092,0.026442692834212186,0.050393227974981136,0.08361221937587483,472
2008,H_hl_15,119,4.475156559790498,0.1141293831462221,18.805188897628383,18.928571428571427,0.8434873949579833,70.27731092436974,0.027732619523037724,0.0511446414095438,0.08652653092967401,472
2008,C_context_hl_15,119,4.48765845922911,0.11439907744861072,18.292215043354695,19.147058823529413,0.8385354141656662,65.73949579831933,0.027353965239772595,0.05178681876706027,0.08434308024473589,472
2008,H_hl_10,119,4.475273099822197,0.11414238599878258,18.80490584054435,18.95378151260504,0.8434873949579833,70.25210084033614,0.027744078343975482,0.05118664681661381,0.08656477884003251,472
2008,C_context_hl_10,119,4.487096890049078,0.11428722949237308,18.281345889119724,19.130252100840337,0.8383103241296519,65.73949579831933,0.02737785400435273,0.051787376439365776,0.08424682139410451,472
2008,H_hl_7,119,4.4754287258647665,0.114159516783046,18.804502541318044,18.95378151260504,0.8433373349339738,70.2016806722689,0.027758812411363618,0.05124072602602445,0.08661425785486482,472
2008,C_context_hl_7,119,4.486474777992646,0.11415446982117385,18.26734670725767,19.105042016806724,0.8387605042016807,65.75630252100841,0.02740990724390095,0.05179520357809243,0.08414610665033753,472
2008,H_hl_5,119,4.475648788308887,0.11418293163358861,18.803860177867932,18.936974789915965,0.8422869147659064,70.15126050420169,0.02777798012117192,0.05131237559460197,0.08668082786519475,472
2008,C_context_hl_5,119,4.48581506878824,0.11399840862523879,18.248889469304487,19.096638655462186,0.8393607442977191,65.7983193277311,0.027454215401286574,0.051815261566477464,0.08404825189991001,472
2008,H_hl_3,119,4.476227911778627,0.1142420589662764,18.802149891689172,18.928571428571427,0.8420618247298919,69.98319327731092,0.02782350768797223,0.051482483307416574,0.08684324180579063,472
2008,C_context_hl_3,119,4.484971613967643,0.11373305104169829,18.20842733007765,19.04621848739496,0.8392857142857142,65.81512605042016,0.027560922130488073,0.05188899357751814,0.08394713856952067,472
2008,H_window_15,119,4.474942478132562,0.1141044629399451,18.805608319593127,18.91176470588235,0.843262304921969,70.3529411764706,0.02770986574274977,0.051062124462732596,0.08645278787876949,472
