family,feature,n_targets,coefficient_change_per_year,linear_time_p_value,r_squared
C_static,coach_tenure_seasons,18,-0.00022087607691371694,0.6076858486820869,0.016850595241708975
C_static,lag2_z_mean,18,-0.002643660473742415,0.033307527687671576,0.2531359055167829
C_static,lag3_z_mean,18,0.003843938960296858,0.006284490951908041,0.3817518738872941
C_static,long_run_z_mean,18,-0.006574695382429777,0.012896322378384872,0.32853263305654534
C_static,recruiting_class_points,18,-0.039367627225138216,2.630313146552945e-06,0.7577504842644986
C_static,recruiting_class_rank,18,-0.02470325042714056,1.900806173131275e-06,0.7672332198215148
C_static,recruiting_points_2y_mean,18,-0.01627454436462475,0.03993827646073287,0.2381086652404201
C_static,recruiting_points_3y_mean,18,0.013272298507367195,0.0017558906265464941,0.46748349355666596
C_static,recruiting_points_4y_mean,18,0.01717377641903567,0.05357455865709121,0.2134523036144569
C_static,recruiting_points_trend,18,0.0060529610307466335,0.002140075976609023,0.4549014107414989
C_static,returning_pct_passing_ppa,18,-0.0022034945351127717,2.115228821546185e-05,0.6872798294770259
C_static,returning_pct_ppa,18,-0.013101032056980388,4.178520998912249e-08,0.8547113773147409
C_static,returning_pct_receiving_ppa,18,-0.005125721267853425,1.0538391075379947e-06,0.783531526372514
C_static,returning_pct_rushing_ppa,18,2.915839757269919e-05,0.9430418200231259,0.00032911060822452107
C_static,talent_composite,18,-0.0022918040854785215,2.2948216703216364e-05,0.6841548379809111
H_static,lag2_z_mean,18,-0.005535391996751614,0.0009686496089041537,0.5037551398152976
H_static,lag3_z_mean,18,0.003696310124602273,0.008698927946305281,0.3581165750545485
H_static,long_run_z_mean,18,-0.0022579079601373455,0.19049685918544926,0.10459198204795506
