season,team_id,expected_rank_absolute_difference,js_divergence,moved_over_5,moved_over_10,moved_over_20
2008,103,14.442684415456043,0.03809148897609492,True,True,False
2008,12,13.929797248433111,0.028003825485664727,True,True,False
2008,120,8.035439078912098,0.010181970971676451,True,False,False
2008,127,5.913357916223298,0.005612457894088897,True,False,False
2008,130,3.788853104806968,0.004008339377097841,False,False,False
2008,135,6.825100696754021,0.007864125290057153,True,False,False
2008,142,2.0547169609774905,0.0013476585740199076,False,False,False
2008,145,13.551917679691165,0.027553760872275766,True,True,False
2008,150,7.5697919383055705,0.01856396896120697,True,False,False
2008,151,7.8275129453261485,0.00891725581163113,True,False,False
2008,152,11.05045273310197,0.018252795149909146,True,True,False
2008,153,10.296572285559293,0.016499138531643698,True,True,False
2008,154,2.676120554477059,0.0012141910924933809,False,False,False
2008,158,11.1647661523915,0.018842868762718627,True,True,False
2008,164,1.4855942321498645,0.0003518972722119687,False,False,False
2008,166,9.096527284644779,0.04375819917943864,True,False,False
2008,167,25.857524706269807,0.09773691655895039,True,True,True
2008,183,5.569673166254688,0.005833907910093796,True,False,False
2008,189,23.073059121053618,0.09561335121464953,True,True,True
2008,193,21.169601606648712,0.09129759806518872,True,True,True
2008,194,6.305722965920488,0.016171228532803023,True,False,False
2008,195,4.305810543495468,0.003199286981485006,False,False,False
2008,197,6.339567709418169,0.006750530581473577,True,False,False
2008,2,8.882336567328679,0.01861544938194635,True,False,False
2008,2005,11.806268880117834,0.021057116119377134,True,True,False
2008,2006,4.99697049104239,0.004948425316296232,False,False,False
2008,201,2.693172600136286,0.0036705213172519915,False,False,False
2008,202,5.003237629421015,0.00392887719515395,True,False,False
2008,2032,4.790603515993496,0.00461127195056964,False,False,False
2008,204,0.7194144199050996,0.00014814954120284424,False,False,False
2008,2050,19.827822463714114,0.07141554758304824,True,True,False
2008,2084,0.21635318537899195,0.0006815636138798639,False,False,False
2008,21,11.728352407570853,0.024868878857480667,True,True,False
2008,2116,5.437086086272984,0.0050248579317279645,True,False,False
2008,2117,12.300741429064928,0.022475434928010025,True,True,False
2008,213,11.528011384022765,0.02509745221265154,True,True,False
2008,2132,15.189348301322767,0.03640624202777092,True,True,False
2008,218,2.5479239407686265,0.004877380928441386,False,False,False
2008,2199,12.916830012339943,0.06273642857730762,True,True,False
2008,221,10.571957789079818,0.016723626539282624,True,True,False
2008,2226,4.213953508427707,0.003134035407779061,False,False,False
2008,2229,1.1686794606799253,0.006993453466895899,False,False,False
2008,228,7.542021887852087,0.011017220448413384,True,False,False
2008,2294,9.85248208762134,0.0151216130621404,True,False,False
2008,23,7.081003436732402,0.00920066948625202,True,False,False
2008,2305,1.0697506816132325,0.0006599308867519296,False,False,False
2008,2306,6.972429220839565,0.007430735507131239,True,False,False
2008,2309,0.8197824205235236,0.0003371079259670806,False,False,False
2008,2348,2.9680857019235702,0.0025813400635095194,False,False,False
2008,235,1.7055595259849667,0.002085112877489744,False,False,False
2008,238,2.0800501069200976,0.0009196091106626453,False,False,False
2008,239,4.136867492811405,0.003994751538708703,False,False,False
2008,2390,7.666107319592278,0.009199750697425025,True,False,False
2008,2393,1.5994274329349594,0.0007433997741872763,False,False,False
2008,24,9.773897023807805,0.015247645623552172,True,False,False
2008,242,2.46315477053858,0.0014198892826069935,False,False,False
2008,2426,22.483241759672737,0.07283130784692837,True,True,True
2008,2433,4.1186904498784855,0.003132701841528877,False,False,False
2008,2439,2.0828083755762066,0.0014421785939266489,False,False,False
2008,2440,9.241771442746881,0.013091003081508493,True,False,False
2008,245,12.473740992059426,0.025768999824429813,True,True,False
2008,2459,5.6469759722446184,0.008433243079033932,True,False,False
2008,248,5.224269910169767,0.003999437636599612,True,False,False
2008,2483,11.303975172915049,0.024669931828003307,True,True,False
2008,249,5.209453477759951,0.016536820116870535,True,False,False
2008,25,7.4818923256216685,0.01117195470370481,True,False,False
2008,2509,9.611885395038215,0.014290353749637417,True,False,False
2008,251,0.6973862981245915,0.0005509106723146041,False,False,False
2008,252,2.0792241458549867,0.0008798624551366385,False,False,False
2008,254,4.11725620463875,0.003608164568073431,False,False,False
2008,2567,1.0981039861442667,0.0017382735984165362,False,False,False
2008,2572,2.678494579867724,0.0012496980178056162,False,False,False
2008,2579,6.727823654119078,0.007145518091463063,True,False,False
2008,258,4.3952026346488395,0.0034475424776949618,False,False,False
2008,259,4.92852132899116,0.00848898940515411,False,False,False
2008,26,5.748631014642648,0.005071599556132574,True,False,False
2008,2628,5.067842998647009,0.0041181296858253,True,False,False
2008,2633,5.269515060896126,0.006777752844579529,True,False,False
2008,2638,33.43075599128118,0.14886924680957908,True,True,True
2008,264,3.7653698285449337,0.002159415801115815,False,False,False
2008,2641,3.7253530053864523,0.00309536814622421,False,False,False
2008,2649,16.808864249983742,0.05437085075787925,True,True,False
2008,265,0.24232363624861364,0.00015676713760285536,False,False,False
2008,2653,0.836417826812955,0.000259566579335717,False,False,False
2008,2655,3.7447642403474646,0.003249990446892218,False,False,False
2008,2711,4.2185363814751895,0.0029319211730706395,False,False,False
2008,275,0.6107139437541562,7.239945410235778e-05,False,False,False
2008,2751,22.28602514588995,0.08748068609238832,True,True,True
2008,276,3.403850978831983,0.0028346088210459,False,False,False
2008,277,4.789218060120142,0.010552489405243014,False,False,False
2008,278,2.921412120036841,0.002082986277047157,False,False,False
2008,30,0.8187523930840701,0.000930936513053481,False,False,False
