evaluation_protocol,target_season,n_team_seasons,n_training_rows,n_training_seasons,same_population_keys,c_full_nll,c_minus_rp_nll,rp_contribution_nll,c_full_crps,c_minus_rp_crps,rp_contribution_crps,c_full_expected_rank_mae,c_minus_rp_expected_rank_mae,rp_contribution_expected_rank_mae,c_full_median_rank_mae,c_minus_rp_median_rank_mae,rp_contribution_median_rank_mae,c_full_interval_80_coverage,c_minus_rp_interval_80_coverage,rp_contribution_interval_80_coverage,c_full_interval_80_average_width,c_minus_rp_interval_80_average_width,rp_contribution_interval_80_average_width,c_full_top5_brier,c_minus_rp_top5_brier,rp_contribution_top5_brier,c_full_top10_brier,c_minus_rp_top10_brier,rp_contribution_top10_brier,c_full_top25_brier,c_minus_rp_top25_brier,rp_contribution_top25_brier
rolling_origin,2007,119,353,3,True,4.385553953917302,4.3855568120604955,2.858143193229523e-06,0.10368777437643995,0.10368817356511893,3.991886789872501e-07,17.122509634084516,17.122124817355797,-0.00038481672871881756,16.722689075630253,16.714285714285715,-0.008403361344537785,0.8626983162430432,0.8626983162430432,0.0,69.05042016806723,69.05882352941177,0.008403361344534233,0.022336471850990157,0.022335383568410992,-1.0882825791647122e-06,0.04305758671398239,0.043055302346175967,-2.284367806422438e-06,0.08062426913823793,0.08061868526216133,-5.5838760766036e-06
rolling_origin,2008,119,472,4,True,4.4666929702619305,4.466694034135965,1.0638740342017172e-06,0.11301671326552415,0.11301775238663304,1.0391211088950358e-06,18.222889712951734,18.223335568379166,0.0004458554274329174,18.659663865546218,18.659663865546218,0.0,0.8365846338535415,0.8365846338535415,0.0,66.0,66.00840336134453,0.008403361344534233,0.02643671593277432,0.02643602975146787,-6.861813064487632e-07,0.05037648010651097,0.05037362188177647,-2.8582247344963174e-06,0.08358101055565431,0.08357877693900224,-2.2336166520670053e-06
rolling_origin,2009,120,591,5,True,4.4163578399511705,4.416338558498986,-1.928145218421662e-05,0.10632828242594673,0.10632561740057186,-2.665025374867791e-06,17.402733527883615,17.402302916047592,-0.0004306118360233313,17.5375,17.5375,0.0,0.8664434523809524,0.8664434523809524,0.0,67.65833333333333,67.65833333333333,0.0,0.020140509198066796,0.02013996982512547,-5.393729413279147e-07,0.03858619115691123,0.038585866684109564,-3.24472801668807e-07,0.060384522027123265,0.06038419699899812,-3.2502812514351165e-07
rolling_origin,2010,120,711,6,True,4.490273338395233,4.490282827639501,9.489244267690822e-06,0.11587761160243872,0.11587942723307879,1.815630640070176e-06,19.146403513415226,19.147089791487776,0.0006862780725498396,19.391666666666666,19.391666666666666,0.0,0.8181129476584023,0.818732782369146,0.0006198347107437829,66.08333333333333,66.10833333333333,0.025000000000005684,0.02824430239361747,0.028245023712861212,7.213192437412197e-07,0.050872450847911414,0.05087272007333871,2.6922542729901355e-07,0.09088371901120657,0.09088586623756907,2.1472263625060828e-06
rolling_origin,2011,120,831,7,True,4.392457853582228,4.392458153415902,2.9983367344499356e-07,0.10675747671174786,0.10675716570095951,-3.110107883452784e-07,17.45702709391309,17.456982320698632,-4.4773214458615485e-05,17.7625,17.7625,0.0,0.8512096774193549,0.8512096774193549,0.0,68.85,68.85,0.0,0.019907439747347027,0.01990771047799317,2.7073064614441256e-07,0.03682232100781864,0.036822205899096946,-1.1510872169329112e-07,0.07513244957376886,0.0751321245970277,-3.249767411561688e-07
rolling_origin,2012,120,951,8,True,4.489451807707061,4.489458048142761,6.240435699744751e-06,0.11248087328997095,0.11248144814680727,5.748568363272977e-07,18.468019772261073,18.46813451924006,0.00011474697898705699,19.095833333333335,19.095833333333335,0.0,0.8526272175536882,0.8526272175536882,0.0,69.41666666666667,69.41666666666667,0.0,0.019874988441330226,0.01987525420414654,2.657628163128811e-07,0.04239575726781859,0.04239610151813054,3.442503119441276e-07,0.06732248347104998,0.0673228215873496,3.3811629962521295e-07
rolling_origin,2013,124,1071,9,True,4.439284447737207,4.439282014868048,-2.43286915946328e-06,0.10385143562871338,0.10385100859706961,-4.2703164376822755e-07,17.665808201009792,17.665807095932518,-1.105077274132782e-06,17.677419354838708,17.677419354838708,0.0,0.8743743047830923,0.8743743047830923,0.0,70.08870967741936,70.08870967741936,0.0,0.01896477997247028,0.01896509158893382,3.1161646353930483e-07,0.03548110282159331,0.03548154585929035,4.430376970426808e-07,0.06853125724516311,0.06853058211504034,-6.751301227653217e-07
rolling_origin,2014,125,1195,10,True,4.401233554895942,4.401671357599679,0.00043780270373705577,0.09803386159731556,0.09809616070350512,6.229910618955892e-05,17.294731488005215,17.382546191348364,0.08781470334314889,16.688,16.648,-0.03999999999999915,0.8775929203539822,0.8770265486725662,-0.0005663716814159336,71.464,71.472,0.007999999999995566,0.020257726633742274,0.02038984730509988,0.00013212067135760439,0.03415285986017835,0.034646056732653266,0.0004931968724749131,0.0673631200480073,0.06785519103693081,0.0004920709889235098
rolling_origin,2015,127,1320,11,True,4.489828302427003,4.437550450501816,-0.052277851925186525,0.10076772869766974,0.10150281219031786,0.0007350834926481142,17.048716130311924,17.56748175789647,0.5187656275845463,16.80314960629921,17.84251968503937,1.0393700787401592,0.8731178339549661,0.8778836855919326,0.004765851636966523,69.69291338582677,70.51968503937007,0.8267716535433038,0.023979785256901455,0.017342066630463646,-0.006637718626437809,0.03518767846698656,0.03049335263299951,-0.004694325833987052,0.06562818189515679,0.06322242695221077,-0.002405754942946023
rolling_origin,2016,128,1447,12,True,4.474473467978405,4.489293328963094,0.014819860984689015,0.11054854149235759,0.1116074035840003,0.001058862091642715,19.36119330947472,19.454842657425687,0.09364934795096502,19.67578125,19.73046875,0.0546875,0.8427220394736841,0.8379248903508771,-0.004797149122806932,68.7734375,69.671875,0.8984375,0.014125374432209601,0.013410093372896675,-0.000715281059312926,0.03357864907036928,0.03418334197951575,0.0006046929091464703,0.07197946446825856,0.0753573726771891,0.0033779082089305384
rolling_origin,2017,128,1575,13,True,4.472585756085197,4.521141157449501,0.04855540136430392,0.1058376495444445,0.11171287714370054,0.005875227599256044,18.44830894771807,19.805690776247143,1.3573818285290749,18.1640625,19.640625,1.4765625,0.856015625,0.8419531250000001,-0.014062499999999867,71.7890625,72.9140625,1.125,0.014613047186597644,0.015076095517212031,0.0004630483306143872,0.034299883165385986,0.035193792167011975,0.0008939090016259893,0.05815818221058269,0.062272490714044504,0.004114308503461811
rolling_origin,2018,129,1703,14,True,4.43859426526967,4.459946838910857,0.021352573641186368,0.10559534436422642,0.10695260810626545,0.0013572637420390249,18.41534639864679,18.845883609140852,0.43053721049406235,18.914728682170544,19.13953488372093,0.22480620155038622,0.8529367918902803,0.8447376267143708,-0.008199165175909462,69.69767441860465,71.44186046511628,1.7441860465116292,0.011907842277251869,0.011971469073598336,6.362679634646685e-05,0.0255109666983358,0.023323186089184187,-0.0021877806091516114,0.07884294595318897,0.07621871069985427,-0.002624235253334703
rolling_origin,2019,130,1832,15,True,4.429241891472191,4.470936072207908,0.041694180735716735,0.10631874122063038,0.11280710367742786,0.006488362456797472,18.3062088820168,19.938015688605937,1.631806806589136,18.857692307692307,20.326923076923077,1.4692307692307693,0.8518838304552591,0.8355572998430141,-0.016326530612244983,70.63076923076923,72.3,1.669230769230765,0.013312638380099044,0.012599106457078147,-0.0007135319230208974,0.021580430564545134,0.020722395426201936,-0.0008580351383431981,0.06362651943291572,0.07051278237954722,0.0068862629466314995
rolling_origin,2020,127,1962,16,True,4.560447169821053,4.5910272063825355,0.030580036561482338,0.12202958131144814,0.1262782509529872,0.004248669641539055,19.30503693675324,20.299165714399834,0.9941287776465941,20.54724409448819,21.70472440944882,1.1574803149606296,0.7892852816474863,0.7828952150211993,-0.00639006662628705,70.8740157480315,71.44881889763779,0.5748031496062964,0.012571170815177179,0.012952231920248114,0.00038106110507093484,0.02816561855474267,0.028170916330997352,5.2977762546833895e-06,0.07420437530223874,0.07854589789705167,0.0043415225948129355
rolling_origin,2021,127,2089,17,True,4.504117058432362,4.499796090769068,-0.004320967663294262,0.11351539730434283,0.11323453659629107,-0.0002808607080517639,20.366264183948154,20.46713758841249,0.10087340446433757,20.95275590551181,20.543307086614174,-0.40944881889763707,0.848031496062992,0.8414370078740159,-0.006594488188976122,75.00787401574803,75.88188976377953,0.8740157480314963,0.01534555375173973,0.016217330450111422,0.0008717766983716915,0.03920477199295128,0.03892096044658043,-0.0002838115463708532,0.07730691290761986,0.07464699348220727,-0.0026599194254125907
rolling_origin,2022,130,2216,18,True,4.461603361804635,4.482086163712133,0.02048280190749807,0.10653067741096688,0.10849431327706384,0.0019636358660969633,18.563225094081623,19.16639728680303,0.6031721927214058,18.692307692307693,19.523076923076925,0.8307692307692314,0.8248378127896201,0.8316033364226135,0.006765523632993431,71.9076923076923,73.56923076923077,1.6615384615384698,0.013182983831888876,0.014365477218355942,0.0011824933864670664,0.028686057620733195,0.03080173235480113,0.0021156747340679363,0.08912395878267441,0.0918295210892273,0.002705562306552889
rolling_origin,2023,131,2346,19,True,4.468113698321842,4.503227276490554,0.03511357816871197,0.10391130636441927,0.10752298065920211,0.003611674294782846,19.13494744099107,19.972916309689033,0.8379688686979634,19.52671755725191,20.290076335877863,0.7633587786259532,0.8693005983082319,0.8598101918712605,-0.00949040643697141,71.77862595419847,74.29007633587786,2.5114503816793814,0.012872628010350667,0.013936235037568497,0.0010636070272178298,0.027941657667881623,0.03136741491302247,0.00342575724514085,0.058271396229350965,0.061095800623122726,0.002824404393771761
rolling_origin,2024,133,2477,20,True,4.591467319822236,4.567912474860229,-0.023554844962006882,0.11837096238361874,0.11673133716176488,-0.0016396252218538604,20.979715050478763,20.829469843941986,-0.15024520653677698,21.721804511278197,21.090225563909776,-0.6315789473684212,0.7926938969044232,0.811829573934837,0.019135677030413856,70.55639097744361,73.09022556390977,2.5338345864661562,0.023242991440663986,0.021362751048905136,-0.0018802403917588494,0.03116837932052155,0.03122787257869238,5.9493258170829205e-05,0.07031088892472105,0.07210050191137322,0.0017896129866521726
rolling_origin,2025,134,2610,21,True,4.607463679246564,4.5633227668829015,-0.044140912363662466,0.1151112106548379,0.11193752578949599,-0.0031736848653419053,21.43403402928766,21.038826852644533,-0.395207176643126,21.850746268656717,21.134328358208954,-0.7164179104477633,0.8098548354119813,0.8242690656307504,0.014414230218769086,73.21641791044776,76.35074626865672,3.134328358208961,0.018209629958740963,0.01672405198200512,-0.0014855779767358433,0.03704544673964067,0.03371598289977317,-0.0033294638398674997,0.07035694507306017,0.06754856309349956,-0.002808381979560612
