game_id,season,pairing,team,field,official_value,source,result,cached_value
401022511,2018,FBS-FCS,UC Davis,rushing_attempts,34,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,34
401022511,2018,FBS-FCS,UC Davis,passing_yards,446,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,446
401022511,2018,FBS-FCS,UC Davis,pass_attempts,57,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,57
401022511,2018,FBS-FCS,UC Davis,completions,37,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,37
401022511,2018,FBS-FCS,UC Davis,offensive_plays_derived,91,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,91
401022511,2018,FBS-FCS,UC Davis,sacks,3,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,3
401022511,2018,FBS-FCS,UC Davis,sack_yards,24,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,unavailable,
401022511,2018,FBS-FCS,UC Davis,interceptions_thrown,1,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,1
401022511,2018,FBS-FCS,UC Davis,total_fumbles,0,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,unavailable,
401022511,2018,FBS-FCS,UC Davis,fumbles_lost,0,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,0
401022511,2018,FBS-FCS,UC Davis,first_downs,31,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,31
401022511,2018,FBS-FCS,UC Davis,penalties,11,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,11
401022511,2018,FBS-FCS,UC Davis,penalty_yards,79,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,79
401022511,2018,FBS-FCS,UC Davis,punts,8,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,unavailable,
401022511,2018,FBS-FCS,UC Davis,punt_yards,309,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,unavailable,
401022511,2018,FBS-FCS,San José State,total_yards,506,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,506
401022511,2018,FBS-FCS,San José State,rushing_yards,141,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,141
401022511,2018,FBS-FCS,San José State,rushing_attempts,38,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,38
401022511,2018,FBS-FCS,San José State,passing_yards,365,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,365
401022511,2018,FBS-FCS,San José State,pass_attempts,52,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,52
401022511,2018,FBS-FCS,San José State,completions,28,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,28
401022511,2018,FBS-FCS,San José State,offensive_plays_derived,90,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,90
401022511,2018,FBS-FCS,San José State,sacks,2,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,2
401022511,2018,FBS-FCS,San José State,sack_yards,17,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,unavailable,
401022511,2018,FBS-FCS,San José State,interceptions_thrown,2,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,2
401022511,2018,FBS-FCS,San José State,total_fumbles,1,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,1
401022511,2018,FBS-FCS,San José State,fumbles_lost,1,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,1
401022511,2018,FBS-FCS,San José State,first_downs,27,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,27
401022511,2018,FBS-FCS,San José State,penalties,12,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,12
401022511,2018,FBS-FCS,San José State,penalty_yards,125,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,verified,125
401022511,2018,FBS-FCS,San José State,punts,6,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,unavailable,
401022511,2018,FBS-FCS,San José State,punt_yards,238,https://static.sjsuspartans.com/Football/2018/HTML/ucd-sj.htm,unavailable,
401282717,2021,FBS-FBS,Illinois,total_yards,395,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,395
401282717,2021,FBS-FBS,Illinois,rushing_yards,357,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,357
401282717,2021,FBS-FBS,Illinois,rushing_attempts,67,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,67
401282717,2021,FBS-FBS,Illinois,passing_yards,38,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,38
401282717,2021,FBS-FBS,Illinois,pass_attempts,21,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,21
401282717,2021,FBS-FBS,Illinois,completions,8,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,8
401282717,2021,FBS-FBS,Illinois,offensive_plays_derived,88,https://fightingillini.com/sports/football/stats/2021/penn-state/boxscore/22918,verified,88
