protocol,target_season,train_through,candidate,candidate_name,kind,n_team_seasons,nll,delta_nll_vs_P0,crps,delta_crps_vs_P0,expected_rank_mae,delta_expected_rank_mae_vs_P0,median_rank_mae,delta_median_rank_mae_vs_P0,interval_80_coverage,delta_interval_80_coverage_vs_P0,interval_80_average_width,delta_interval_80_average_width_vs_P0
frozen_through_2021,aggregate,2021,P3-M,P3_D5_plus_db_availability_only,missingness_control,534,4.5080196576065665,-6.0972347943000216e-05,0.10797928083279457,-6.902077862067091e-06,19.492668356304144,0.0030937102608206146,19.68445692883895,0.00936329588014928,0.8371278556243258,-0.0005749182760073079,71.98689138576779,0.02808988764044784
frozen_through_2021,2022,2021,P3-M,P3_D5_plus_db_availability_only,missingness_control,131,4.4560851945822355,-0.00029360048870596955,0.10555965344377038,-5.484113987525019e-05,18.511377145311723,-0.00465776448138655,18.549618320610687,0.022900763358777,0.8327048652625771,-0.0004598546859192476,71.72519083969466,0.03053435114505021
frozen_through_2021,2023,2021,P3-M,P3_D5_plus_db_availability_only,missingness_control,133,4.468644824968046,0.00022059927640416532,0.1040351973773801,2.6808373319017753e-05,19.169469236476782,0.013599133258288987,19.402255639097746,0.0,0.8713676082097135,0.00030481609428978373,72.33082706766918,-0.02255639097744222
frozen_through_2021,2024,2021,P3-M,P3_D5_plus_db_availability_only,missingness_control,134,4.548756707533784,-0.00046039408444009666,0.11442266425346091,-5.5319569473563646e-05,20.392962777326,-0.021541414032313355,20.71641791044776,0.014925373134328623,0.8147263681592041,-9.950248756207536e-05,70.51492537313433,0.03731343283583044
frozen_through_2021,2025,2021,P3-M,P3_D5_plus_db_availability_only,missingness_control,136,4.556413059862918,0.0002812906895091061,0.10781840516487545,5.4013150024512235e-05,19.86689761483442,0.024559361642051414,20.03676470588235,0.0,0.8299758259468171,-0.0020145044319097583,73.3529411764706,0.06617647058824616
frozen_through_2021,aggregate,2021,P3-P,P3_D5_plus_db_within_season_permutation,permutation_control,534,4.529345418236973,0.021264788282463698,0.11058724365913293,0.002601060748476297,20.028567930396896,0.5389932843535732,20.369850187265918,0.6947565543071157,0.830696755158388,-0.007006018741945064,71.52621722846442,-0.4325842696629252
frozen_through_2021,2022,2021,P3-P,P3_D5_plus_db_within_season_permutation,permutation_control,131,4.464984537822271,0.008605742751329082,0.10670492767764325,0.001090433093997617,18.7080105476529,0.191975637859791,18.801526717557252,0.27480916030534175,0.8315092430791869,-0.0016554768693094468,71.54961832061069,-0.145038167938921
frozen_through_2021,2023,2021,P3-P,P3_D5_plus_db_within_season_permutation,permutation_control,133,4.492333779027073,0.023909553335431433,0.10685977118904717,0.0028513821849860954,19.68218144778097,0.5263113445624761,20.033834586466167,0.6315789473684212,0.8620199146514935,-0.009042877463930177,71.61654135338345,-0.7368421052631646
frozen_through_2021,2024,2021,P3-P,P3_D5_plus_db_within_season_permutation,permutation_control,134,4.576682836470214,0.02746573485199022,0.11732184734623038,0.0028438635232959086,20.984254021625937,0.5697498302676216,21.5,0.7985074626865689,0.8016915422885573,-0.013134328358208824,70.2910447761194,-0.18656716417909536
frozen_through_2021,2025,2021,P3-P,P3_D5_plus_db_within_season_permutation,permutation_control,136,4.580894016075124,0.024762246901715024,0.11133651085049691,0.003572118835645968,20.697689129681386,0.8553508764890161,21.095588235294116,1.0588235294117645,0.8278605962933119,-0.004129734085414949,72.63235294117646,-0.654411764705884
