protocol,target_season,train_through,candidate,candidate_name,kind,n_team_seasons,nll,delta_nll_vs_P0,crps,delta_crps_vs_P0,expected_rank_mae,delta_expected_rank_mae_vs_P0,median_rank_mae,delta_median_rank_mae_vs_P0,interval_80_coverage,delta_interval_80_coverage_vs_P0,interval_80_average_width,delta_interval_80_average_width_vs_P0
frozen_through_2021,2022,2021,P0,P0_D5,primary,131,4.4563787950709415,0.0,0.10561449458364564,0.0,18.51603490979311,0.0,18.52671755725191,0.0,0.8331647199484964,0.0,71.69465648854961,0.0
frozen_through_2021,2023,2021,P0,P0_D5,primary,133,4.468424225691642,0.0,0.10400838900406108,0.0,19.155870103218493,0.0,19.402255639097746,0.0,0.8710627921154237,0.0,72.35338345864662,0.0
frozen_through_2021,2024,2021,P0,P0_D5,primary,134,4.549217101618224,0.0,0.11447798382293448,0.0,20.414504191358315,0.0,20.70149253731343,0.0,0.8148258706467661,0.0,70.4776119402985,0.0
frozen_through_2021,2025,2021,P0,P0_D5,primary,136,4.556131769173409,0.0,0.10776439201485094,0.0,19.84233825319237,0.0,20.03676470588235,0.0,0.8319903303787268,0.0,73.28676470588235,0.0
frozen_through_2021,2022,2021,P1,P1_D5_plus_dl_edge,primary,131,4.460688013146319,0.00430921807537743,0.10562686016675832,1.2365583112683431e-05,18.4538901464703,-0.06214476332280938,18.450381679389313,-0.0763358778625971,0.8325209233882093,-0.0006437965602871243,71.62595419847328,-0.068702290076331
frozen_through_2021,2023,2021,P1,P1_D5_plus_dl_edge,primary,133,4.4635195634744305,-0.004904662217211531,0.10378141968754159,-0.0002269693165194847,19.163987875673264,0.008117772454770744,19.43233082706767,0.030075187969924144,0.8710627921154237,0.0,72.06015037593986,-0.29323308270676307
frozen_through_2021,2024,2021,P1,P1_D5_plus_dl_edge,primary,134,4.555397605930211,0.006180504311987356,0.11476021746701899,0.0002822336440845147,20.331460426203126,-0.08304376515518896,20.64179104477612,-0.05970149253731094,0.8157213930348259,0.0008955223880597885,70.59701492537313,0.11940298507462899
frozen_through_2021,2025,2021,P1,P1_D5_plus_dl_edge,primary,136,4.557683025902523,0.0015512567291136037,0.10789027775691315,0.00012588574206220948,19.794328502426932,-0.048009750765437786,19.955882352941178,-0.08088235294117396,0.826248992747784,-0.0057413376309428665,73.66176470588235,0.375
frozen_through_2021,2022,2021,P2,P2_D5_plus_lb,primary,131,4.472664006323204,0.016285211252262677,0.10625515301809796,0.0006406584344523236,18.49742156238578,-0.018613347407328007,18.48854961832061,-0.03816793893129855,0.8337165455715994,0.0005518256231029639,70.83206106870229,-0.8625954198473238
frozen_through_2021,2023,2021,P2,P2_D5_plus_lb,primary,133,4.482747853998066,0.014323628306423863,0.10517460779826415,0.001166218794203075,19.006454128283856,-0.14941597493463732,19.710526315789473,0.3082706766917269,0.8562284088599879,-0.014834383255435846,70.54135338345864,-1.8120300751879768
frozen_through_2021,2024,2021,P2,P2_D5_plus_lb,primary,134,4.569683585245757,0.02046648362753345,0.11608354602402915,0.0016055622010946735,20.450334122001003,0.03582993064268791,21.21641791044776,0.5149253731343286,0.8087562189054727,-0.00606965174129348,68.59701492537313,-1.880597014925371
frozen_through_2021,2025,2021,P2,P2_D5_plus_lb,primary,136,4.584331754307052,0.02819998513364297,0.10990032904668223,0.002135937031831292,20.234727024147364,0.39238877095499447,20.772058823529413,0.7352941176470615,0.8205076551168413,-0.011482675261885511,72.13235294117646,-1.154411764705884
frozen_through_2021,2022,2021,P3,P3_D5_plus_db,primary,131,4.456178484707776,-0.00020031036316581208,0.10552472005503363,-8.977452861200219e-05,18.46604317348192,-0.04999173631118836,18.519083969465647,-0.007633587786262552,0.8316012140163709,-0.0015635059321255085,71.58015267175573,-0.114503816793885
frozen_through_2021,2023,2021,P3,P3_D5_plus_db,primary,133,4.46756533962607,-0.0008588860655720509,0.1041671650365459,0.00015877603248481975,19.21898980570302,0.0631197024845278,19.55263157894737,0.15037593984962427,0.8726884779516358,0.001625685836212143,71.99248120300751,-0.36090225563910394
frozen_through_2021,2024,2021,P3,P3_D5_plus_db,primary,134,4.5467767624532875,-0.002440339164936134,0.1141610345810839,-0.00031694924185057816,20.264521584658706,-0.14998260669960928,20.671641791044777,-0.029850746268653694,0.8136318407960199,-0.0011940298507462366,70.01492537313433,-0.46268656716416956
frozen_through_2021,2025,2021,P3,P3_D5_plus_db,primary,136,4.5519712851267755,-0.004160484046633606,0.10715626915306589,-0.0006081228617850487,19.65903896439479,-0.18329928879758128,19.808823529411764,-0.22794117647058698,0.8297743755036261,-0.002215954875100734,72.88235294117646,-0.404411764705884
frozen_through_2021,2022,2021,P4,P4_D5_plus_all_position_groups,primary,131,4.482772659689561,0.026393864618619922,0.10707141751985501,0.0014569229362093733,18.41784900680693,-0.0981859029861809,18.65648854961832,0.1297709923664101,0.8286581440264876,-0.00450657592200876,70.09160305343511,-1.6030534351145036
frozen_through_2021,2023,2021,P4,P4_D5_plus_all_position_groups,primary,133,4.489840192284702,0.02141596659306,0.10660338569070119,0.002594996686640108,19.237094418690056,0.08122431547156239,20.169172932330827,0.7669172932330817,0.8460678723836619,-0.024994919731761822,69.54135338345864,-2.8120300751879768
frozen_through_2021,2024,2021,P4,P4_D5_plus_all_position_groups,primary,134,4.589922095350949,0.04070499373272529,0.1176782700669286,0.003200286243994127,20.511034135200322,0.09652994384200753,21.813432835820894,1.111940298507463,0.7995024875621891,-0.015323383084577036,67.3955223880597,-3.0820895522387985
frozen_through_2021,2025,2021,P4,P4_D5_plus_all_position_groups,primary,136,4.5852275129749485,0.029095743801539342,0.10970055732980555,0.0019361653149546076,20.06245301781077,0.22011476461840118,20.669117647058822,0.632352941176471,0.8172844480257856,-0.014705882352941235,70.99264705882354,-2.294117647058812
