protocol,target_season,train_through,candidate,candidate_name,feature,feature_role,standardized_location_coefficient,sign,magnitude,change_from_previous_fit,location_missingness_coefficient,standardized_scale_coefficient,training_source_available_n,training_source_unresolved_n,training_source_available_fraction
rolling_origin,2022,2021,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.006914558388505031,negative,0.006914558388505031,,0.0,0.0,80,2136,0.036101083032490974
rolling_origin,2022,2021,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_available,availability,0.0037109128210687354,positive,0.0037109128210687354,,0.0,0.0,80,2136,0.036101083032490974
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,returning_pct_ppa,baseline,-0.20489435082202903,negative,0.20489435082202903,,0.006457722677317259,0.0,1021,1195,0.46074007220216606
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_usage_sum,baseline,-0.03943358807309676,negative,0.03943358807309676,,0.036474058446153694,0.0,94,2122,0.042418772563176894
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,-0.0037546469058447676,negative,0.0037546469058447676,,0.0,0.0,98,2118,0.04422382671480144
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.03998482754070505,positive,0.03998482754070505,,0.0,0.0,98,2118,0.04422382671480144
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.028294947774759906,negative,0.028294947774759906,,0.0,0.0,99,2117,0.044675090252707585
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_available,availability,0.009586482732328972,positive,0.009586482732328972,,0.0,0.0,99,2117,0.044675090252707585
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.008417552540765903,negative,0.008417552540765903,,0.0,0.0,80,2136,0.036101083032490974
rolling_origin,2022,2021,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_available,availability,-0.016366510589798218,negative,0.016366510589798218,,0.0,0.0,80,2136,0.036101083032490974
rolling_origin,2023,2022,P1,P1_D5_plus_dl_edge,returning_pct_ppa,baseline,-0.21191274852391576,negative,0.21191274852391576,-0.006579097031999048,-0.005663843592629555,0.0,1151,1195,0.4906223358908781
rolling_origin,2023,2022,P1,P1_D5_plus_dl_edge,transfer_in_prior_usage_sum,baseline,-0.06048182749258933,negative,0.06048182749258933,-0.024377745053979882,-0.041835180449470474,0.0,205,2141,0.08738277919863598
rolling_origin,2023,2022,P1,P1_D5_plus_dl_edge,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,0.0015648543408719958,positive,0.0015648543408719958,0.002584184101702961,0.0,0.0,191,2155,0.0814151747655584
rolling_origin,2023,2022,P1,P1_D5_plus_dl_edge,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.016925472012512058,positive,0.016925472012512058,-0.017040652255830097,0.0,0.0,191,2155,0.0814151747655584
rolling_origin,2023,2022,P2,P2_D5_plus_lb,returning_pct_ppa,baseline,-0.21080351622142765,negative,0.21080351622142765,-0.005816205550388087,-0.006014791117413363,0.0,1151,1195,0.4906223358908781
rolling_origin,2023,2022,P2,P2_D5_plus_lb,transfer_in_prior_usage_sum,baseline,-0.06050365801389661,negative,0.06050365801389661,-0.021841556469741015,-0.10251310814258408,0.0,205,2141,0.08738277919863598
rolling_origin,2023,2022,P2,P2_D5_plus_lb,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.008462207173103534,negative,0.008462207173103534,0.017277686227838755,0.0,0.0,193,2153,0.08226768968456948
rolling_origin,2023,2022,P2,P2_D5_plus_lb,transfer_in_prior_defensive_impact_lb_available,availability,-0.00656386892410155,negative,0.00656386892410155,-0.029148407096760278,0.0,0.0,193,2153,0.08226768968456948
rolling_origin,2023,2022,P3,P3_D5_plus_db,returning_pct_ppa,baseline,-0.21069095082004133,negative,0.21069095082004133,-0.00723369502893359,-0.006191636941632701,0.0,1151,1195,0.4906223358908781
rolling_origin,2023,2022,P3,P3_D5_plus_db,transfer_in_prior_usage_sum,baseline,-0.05949707728893862,negative,0.05949707728893862,-0.02182877403468201,-0.045818487151717234,0.0,205,2141,0.08738277919863598
rolling_origin,2023,2022,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.005666730458081052,negative,0.005666730458081052,0.0012478279304239791,0.0,0.0,169,2177,0.07203751065643649
rolling_origin,2023,2022,P3,P3_D5_plus_db,transfer_in_prior_defensive_impact_db_available,availability,0.016482113398197842,positive,0.016482113398197842,0.012771200577129107,0.0,0.0,169,2177,0.07203751065643649
rolling_origin,2023,2022,P4,P4_D5_plus_all_position_groups,returning_pct_ppa,baseline,-0.21096007233157454,negative,0.21096007233157454,-0.006065721509545513,-0.0062429340094690726,0.0,1151,1195,0.4906223358908781
rolling_origin,2023,2022,P4,P4_D5_plus_all_position_groups,transfer_in_prior_usage_sum,baseline,-0.05713331526631392,negative,0.05713331526631392,-0.017699727193217156,-0.05084848388608649,0.0,205,2141,0.08738277919863598
rolling_origin,2023,2022,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,0.0027043755154629377,positive,0.0027043755154629377,0.006459022421307706,0.0,0.0,191,2155,0.0814151747655584
rolling_origin,2023,2022,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_dl_edge_available,availability,0.01930895394867152,positive,0.01930895394867152,-0.02067587359203353,0.0,0.0,191,2155,0.0814151747655584
rolling_origin,2023,2022,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_sum,defensive_value,-0.008137591349486632,negative,0.008137591349486632,0.020157356425273276,0.0,0.0,193,2153,0.08226768968456948
rolling_origin,2023,2022,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_lb_available,availability,-0.022388399072781468,negative,0.022388399072781468,-0.03197488180511044,0.0,0.0,193,2153,0.08226768968456948
rolling_origin,2023,2022,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_sum,defensive_value,-0.00489957950566481,negative,0.00489957950566481,0.003517973035101093,0.0,0.0,169,2177,0.07203751065643649
rolling_origin,2023,2022,P4,P4_D5_plus_all_position_groups,transfer_in_prior_defensive_impact_db_available,availability,0.017406345411885564,positive,0.017406345411885564,0.03377285600168378,0.0,0.0,169,2177,0.07203751065643649
rolling_origin,2024,2023,P1,P1_D5_plus_dl_edge,returning_pct_ppa,baseline,-0.22661601206416365,negative,0.22661601206416365,-0.014703263540247896,-0.009892911836724956,0.0,1282,1195,0.517561566410981
rolling_origin,2024,2023,P1,P1_D5_plus_dl_edge,transfer_in_prior_usage_sum,baseline,-0.05640344043470964,negative,0.05640344043470964,0.00407838705787969,0.0930177807649895,0.0,322,2155,0.12999596285829632
rolling_origin,2024,2023,P1,P1_D5_plus_dl_edge,transfer_in_prior_defensive_impact_dl_edge_sum,defensive_value,-0.003457332866672703,negative,0.003457332866672703,-0.0050221872075446984,0.0,0.0,276,2201,0.11142511102139685
